"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","kraj","orp","okres"
"Abertamy","1 413,00","118,00","259,00","514,00","472,00","26,00","24,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","4 875,00","685,00","732,00","1 590,00","1 577,00","159,00","132,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","108,00","29,00","11,00","35,00","27,00","3,00","3,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","526,00","48,00","72,00","182,00","186,00","20,00","18,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","526,00","39,00","78,00","202,00","180,00","14,00","13,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","510,00","61,00","78,00","185,00","166,00","12,00","8,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","3 994,00","487,00","651,00","1 376,00","1 281,00","94,00","105,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","1 060,00","206,00","145,00","345,00","315,00","24,00","25,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","842,00","155,00","110,00","276,00","248,00","27,00","26,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","338,00","49,00","59,00","108,00","100,00","13,00","9,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
"Albrechtičky","669,00","119,00","99,00","218,00","204,00","17,00","12,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Alojzov","221,00","33,00","27,00","69,00","73,00","7,00","12,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
