"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","kraj","orp","okres"
"Andělská Hora","369,00","39,00","48,00","134,00","127,00","9,00","12,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Andělská Hora","208,00","22,00","24,00","74,00","62,00","14,00","12,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Anenská Studánka","190,00","18,00","19,00","41,00","105,00","4,00","3,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Archlebov","899,00","175,00","126,00","278,00","277,00","27,00","16,00","Jihomoravský kraj","KYJOV","Hodonín"
"Arneštovice","76,00","25,00","4,00","20,00","22,00","3,00","2,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Arnolec","183,00","23,00","27,00","61,00","61,00","3,00","8,00","Vysočina","JIHLAVA","Jihlava"
"Arnoltice","306,00","27,00","51,00","116,00","99,00","7,00","6,00","Ústecký kraj","DĚČÍN","Děčín"
"Aš","12 814,00","1 382,00","2 028,00","4 305,00","4 404,00","373,00","322,00","Karlovarský kraj","AŠ","Cheb"
"Babice","198,00","33,00","27,00","66,00","58,00","7,00","7,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Babice","207,00","33,00","31,00","72,00","59,00","7,00","5,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Babice","77,00","16,00","15,00","26,00","15,00","2,00","3,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Babice","303,00","38,00","53,00","100,00","91,00","10,00","11,00","Středočeský kraj","ŘÍČANY","Praha-východ"
"Babice","1 752,00","226,00","268,00","591,00","569,00","57,00","41,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Babice","405,00","43,00","63,00","136,00","137,00","13,00","13,00","Olomoucký kraj","ŠTERNBERK","Olomouc"
"Babice nad Svitavou","881,00","132,00","144,00","275,00","274,00","23,00","33,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Babice u Rosic","543,00","92,00","93,00","169,00","155,00","23,00","11,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Babylon","278,00","29,00","43,00","102,00","85,00","9,00","10,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bačalky","163,00","36,00","17,00","51,00","51,00","5,00","3,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bačetín","367,00","53,00","52,00","127,00","117,00","11,00","7,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bačice","188,00","31,00","20,00","59,00","64,00","6,00","8,00","Vysočina","TŘEBÍČ","Třebíč"
"Bačkov","142,00","26,00","23,00","43,00","41,00","5,00","4,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bačkovice","123,00","28,00","14,00","44,00","33,00","2,00","2,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bácovice","47,00","12,00","6,00","14,00","11,00","4,00","0,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bakov nad Jizerou","4 498,00","708,00","674,00","1 465,00","1 416,00","130,00","105,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Baliny","117,00","28,00","17,00","39,00","29,00","3,00","1,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Balkova Lhota","122,00","22,00","20,00","37,00","36,00","4,00","3,00","Jihočeský kraj","TÁBOR","Tábor"
"Banín","308,00","45,00","53,00","98,00","95,00","9,00","8,00","Pardubický kraj","SVITAVY","Svitavy"
"Bánov","2 091,00","293,00","337,00","687,00","662,00","55,00","57,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Báňovice","109,00","21,00","22,00","33,00","29,00","3,00","1,00","Jihočeský kraj","DAČICE","Jindřichův Hradec"
"Bantice","233,00","22,00","48,00","78,00","74,00","5,00","6,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Barchov","242,00","44,00","30,00","70,00","83,00","9,00","6,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Barchov","154,00","22,00","20,00","60,00","44,00","2,00","6,00","Pardubický kraj","PARDUBICE","Pardubice"
"Barchovice","210,00","35,00","29,00","62,00","70,00","8,00","6,00","Středočeský kraj","KOLÍN","Kolín"
"Bařice-Velké Těšany","455,00","74,00","70,00","155,00","131,00","13,00","12,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bartošovice","1 598,00","171,00","258,00","557,00","533,00","37,00","42,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Bartošovice v Orlických horách","205,00","30,00","32,00","79,00","58,00","3,00","3,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Bartoušov","151,00","20,00","30,00","47,00","43,00","5,00","6,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Baška","3 260,00","441,00","523,00","1 042,00","1 026,00","118,00","110,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek"
"Bašnice","205,00","35,00","39,00","57,00","55,00","10,00","9,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bašť","519,00","77,00","82,00","164,00","170,00","13,00","13,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Batelov","2 380,00","359,00","403,00","781,00","735,00","55,00","47,00","Vysočina","JIHLAVA","Jihlava"
"Batňovice","685,00","105,00","117,00","218,00","201,00","23,00","21,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bavorov","1 440,00","228,00","181,00","488,00","455,00","48,00","40,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bavory","397,00","39,00","59,00","136,00","147,00","8,00","8,00","Jihomoravský kraj","MIKULOV","Břeclav"
"Bavoryně","178,00","16,00","34,00","61,00","61,00","3,00","3,00","Středočeský kraj","BEROUN","Beroun"
"Bdeněves","449,00","65,00","71,00","144,00","143,00","15,00","11,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Bdín","60,00","14,00","9,00","15,00","17,00","3,00","2,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Běchary","221,00","39,00","36,00","79,00","60,00","1,00","6,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bechlín","1 140,00","150,00","185,00","382,00","375,00","26,00","22,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Bechyně","5 695,00","893,00","865,00","1 905,00","1 779,00","150,00","103,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","73,00","17,00","6,00","25,00","17,00","3,00","5,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","108,00","23,00","16,00","34,00","27,00","4,00","4,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice"
"Bečov","2 040,00","153,00","478,00","693,00","655,00","37,00","24,00","Ústecký kraj","MOST","Most"
"Bečov nad Teplou","973,00","141,00","137,00","342,00","287,00","37,00","29,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bečváry","976,00","141,00","124,00","309,00","345,00","33,00","24,00","Středočeský kraj","KOLÍN","Kolín"
"Bedihošť","994,00","120,00","151,00","346,00","327,00","22,00","28,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bednárec","99,00","30,00","14,00","27,00","19,00","4,00","5,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bednáreček","205,00","38,00","41,00","57,00","63,00","5,00","1,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bedřichov","263,00","23,00","47,00","84,00","101,00","3,00","5,00","Liberecký kraj","JABLONEC NAD NISOU","Jablonec n.Nisou"
"Bedřichov","242,00","38,00","47,00","71,00","76,00","6,00","4,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Běhařov","154,00","19,00","24,00","48,00","52,00","6,00","5,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běhařovice","419,00","81,00","63,00","142,00","112,00","9,00","12,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bělá","258,00","44,00","33,00","86,00","82,00","5,00","8,00","Liberecký kraj","SEMILY","Semily"
"Bělá","698,00","117,00","96,00","238,00","212,00","21,00","14,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bělá","50,00","16,00","10,00","9,00","13,00","1,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bělá","197,00","34,00","23,00","70,00","45,00","14,00","11,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bělá nad Radbuzou","1 822,00","167,00","331,00","643,00","597,00","45,00","39,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bělá nad Svitavou","478,00","77,00","75,00","156,00","137,00","20,00","13,00","Pardubický kraj","SVITAVY","Svitavy"
"Bělá pod Bezdězem","4 876,00","661,00","734,00","1 648,00","1 571,00","137,00","125,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bělá pod Pradědem","2","2","2","2","2","2","2","Olomoucký kraj","JESENÍK","Jeseník"
"Bělá u Jevíčka","347,00","73,00","28,00","120,00","96,00","18,00","12,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bělčice","982,00","156,00","153,00","317,00","297,00","33,00","26,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Běleč","183,00","30,00","33,00","64,00","50,00","3,00","3,00","Jihočeský kraj","TÁBOR","Tábor"
"Běleč","310,00","34,00","59,00","114,00","87,00","8,00","8,00","Středočeský kraj","KLADNO","Kladno"
"Běleč","2","2","2","2","2","2","2","Jihomoravský kraj","TIŠNOV","Blansko"
"Běleč nad Orlicí","234,00","30,00","42,00","81,00","67,00","7,00","7,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bělkovice-Lašťany","1 932,00","248,00","313,00","659,00","605,00","64,00","43,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Běloky","120,00","21,00","12,00","48,00","34,00","2,00","3,00","Středočeský kraj","KLADNO","Kladno"
"Bělotín","1 623,00","159,00","301,00","561,00","500,00","57,00","45,00","Olomoucký kraj","HRANICE","Přerov"
"Bělov","2","2","2","2","2","2","2","Zlínský kraj","OTROKOVICE","Kroměříž"
"Bělušice","178,00","24,00","19,00","57,00","64,00","7,00","7,00","Ústecký kraj","MOST","Most"
"Bělušice","248,00","39,00","34,00","84,00","73,00","11,00","7,00","Středočeský kraj","KOLÍN","Kolín"
"Benátky","94,00","11,00","18,00","34,00","28,00","2,00","1,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Benátky","314,00","41,00","60,00","96,00","108,00","6,00","3,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Benátky nad Jizerou","6 879,00","929,00","1 062,00","2 259,00","2 257,00","199,00","173,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Benecko","1 124,00","179,00","186,00","359,00","338,00","34,00","28,00","Liberecký kraj","JILEMNICE","Semily"
"Benešov","16 208,00","2 108,00","2 368,00","5 440,00","5 466,00","425,00","401,00","Středočeský kraj","BENEŠOV","Benešov"
"Benešov","624,00","90,00","100,00","221,00","182,00","18,00","13,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Benešov nad Černou","1 374,00","163,00","216,00","407,00","534,00","26,00","28,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Benešov nad Ploučnicí","4 028,00","485,00","651,00","1 400,00","1 307,00","97,00","88,00","Ústecký kraj","DĚČÍN","Děčín"
"Benešov u Semil","839,00","110,00","160,00","263,00","267,00","23,00","16,00","Liberecký kraj","SEMILY","Semily"
"Benešovice","177,00","27,00","31,00","51,00","57,00","6,00","5,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Benetice","188,00","21,00","31,00","67,00","57,00","4,00","8,00","Vysočina","TŘEBÍČ","Třebíč"
"Beňov","644,00","114,00","80,00","221,00","189,00","22,00","18,00","Olomoucký kraj","PŘEROV","Přerov"
"Bernardov","165,00","36,00","18,00","47,00","52,00","4,00","8,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bernartice","1 264,00","252,00","177,00","403,00","367,00","29,00","36,00","Jihočeský kraj","MILEVSKO","Písek"
"Bernartice","229,00","44,00","28,00","72,00","73,00","6,00","6,00","Středočeský kraj","VLAŠIM","Benešov"
"Bernartice","2","2","2","2","2","2","2","Olomoucký kraj","JESENÍK","Jeseník"
"Bernartice","925,00","108,00","159,00","311,00","291,00","27,00","29,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bernartice nad Odrou","814,00","111,00","141,00","265,00","256,00","19,00","22,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Beroun","17 646,00","2 412,00","2 534,00","5 787,00","5 860,00","594,00","459,00","Středočeský kraj","BEROUN","Beroun"
"Beřovice","295,00","45,00","44,00","102,00","93,00","4,00","7,00","Středočeský kraj","SLANÝ","Kladno"
"Běrunice","897,00","159,00","133,00","293,00","282,00","17,00","13,00","Středočeský kraj","PODĚBRADY","Nymburk"
"Besednice","842,00","113,00","146,00","259,00","284,00","22,00","18,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Běšiny","800,00","115,00","118,00","272,00","246,00","21,00","28,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běštín","289,00","53,00","34,00","96,00","92,00","5,00","9,00","Středočeský kraj","HOŘOVICE","Beroun"
"Běstovice","413,00","47,00","82,00","141,00","126,00","11,00","6,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Běstvina","505,00","96,00","72,00","165,00","139,00","17,00","16,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bezděčí u Trnávky","226,00","31,00","36,00","70,00","71,00","5,00","13,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bezdědovice","312,00","47,00","41,00","101,00","95,00","15,00","13,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Bezděkov","239,00","39,00","32,00","86,00","71,00","6,00","5,00","Pardubický kraj","PARDUBICE","Pardubice"
"Bezděkov","864,00","106,00","145,00","293,00","273,00","25,00","22,00","Plzeňský kraj","KLATOVY","Klatovy"
"Bezděkov","243,00","45,00","30,00","74,00","76,00","11,00","7,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Bezděkov","94,00","16,00","11,00","31,00","28,00","4,00","4,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Bezděkov nad Metují","501,00","73,00","80,00","164,00","147,00","19,00","18,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Bezděkov pod Třemšínem","157,00","22,00","21,00","52,00","52,00","6,00","4,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bezděz","271,00","38,00","35,00","94,00","85,00","11,00","8,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bezdružice","1 005,00","98,00","182,00","333,00","325,00","38,00","29,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Bezkov","215,00","36,00","40,00","59,00","62,00","11,00","7,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bezměrov","544,00","71,00","86,00","180,00","180,00","18,00","9,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bezno","867,00","101,00","154,00","273,00","288,00","23,00","28,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bezuchov","174,00","26,00","32,00","55,00","50,00","8,00","3,00","Olomoucký kraj","PŘEROV","Přerov"
"Bezvěrov","670,00","74,00","114,00","237,00","208,00","24,00","13,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílá","298,00","45,00","43,00","99,00","85,00","12,00","14,00","Moravskoslezský kraj","FRÝDLANT N. OSTRAVICÍ","Frýdek-Místek"
"Bílá","791,00","97,00","126,00","276,00","264,00","13,00","15,00","Liberecký kraj","LIBEREC","Liberec"
"Bílá Hlína","100,00","15,00","17,00","31,00","31,00","5,00","1,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Bílá Lhota","1 084,00","171,00","161,00","347,00","330,00","36,00","39,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílá Třemešná","1 347,00","185,00","226,00","434,00","414,00","44,00","44,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílá Voda","2","2","2","2","2","2","2","Olomoucký kraj","JESENÍK","Jeseník"
"Bílčice","254,00","35,00","44,00","91,00","72,00","5,00","7,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Bílé Podolí","572,00","103,00","93,00","173,00","172,00","19,00","12,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Bílé Poličany","155,00","29,00","25,00","50,00","40,00","3,00","8,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílence","211,00","25,00","44,00","71,00","68,00","3,00","0,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Bílichov","141,00","26,00","7,00","50,00","43,00","7,00","8,00","Středočeský kraj","SLANÝ","Kladno"
"Bílina","15 714,00","1 667,00","2 719,00","5 198,00","5 225,00","468,00","437,00","Ústecký kraj","BÍLINA","Teplice"
"Bílov","545,00","59,00","91,00","190,00","178,00","12,00","15,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílov","85,00","20,00","14,00","22,00","24,00","1,00","4,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílovec","7 489,00","901,00","1 261,00","2 483,00","2 410,00","229,00","205,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílovice","1 658,00","237,00","257,00","554,00","522,00","58,00","30,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Bílovice nad Svitavou","2 784,00","356,00","471,00","942,00","847,00","98,00","70,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Bílovice-Lutotín","512,00","69,00","95,00","167,00","157,00","9,00","15,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bílsko","211,00","26,00","40,00","64,00","68,00","4,00","9,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bílsko","215,00","31,00","26,00","77,00","75,00","1,00","5,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílsko u Hořic","110,00","23,00","19,00","25,00","36,00","2,00","5,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bílý Kámen","195,00","20,00","35,00","71,00","64,00","3,00","2,00","Vysočina","JIHLAVA","Jihlava"
"Bílý Kostel nad Nisou","847,00","80,00","144,00","302,00","273,00","23,00","25,00","Liberecký kraj","LIBEREC","Liberec"
"Bílý Potok","643,00","97,00","115,00","215,00","181,00","19,00","16,00","Liberecký kraj","FRÝDLANT","Liberec"
"Bílý Újezd","614,00","99,00","95,00","210,00","181,00","12,00","17,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Biřkov","137,00","24,00","22,00","37,00","47,00","2,00","5,00","Plzeňský kraj","KLATOVY","Klatovy"
"Biskoupky","176,00","31,00","20,00","60,00","58,00","2,00","5,00","Jihomoravský kraj","IVANČICE","Brno-venkov"
"Biskupice","242,00","38,00","36,00","78,00","75,00","9,00","6,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Biskupice","758,00","95,00","130,00","252,00","246,00","20,00","15,00","Zlínský kraj","LUHAČOVICE","Zlín"
"Biskupice","47,00","8,00","7,00","11,00","20,00","0,00","1,00","Pardubický kraj","CHRUDIM","Chrudim"
"Biskupice-Pulkov","290,00","61,00","46,00","91,00","75,00","9,00","8,00","Vysočina","TŘEBÍČ","Třebíč"
"Bítouchov","288,00","45,00","49,00","92,00","81,00","8,00","13,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bítov","416,00","66,00","50,00","150,00","131,00","11,00","8,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bítov","157,00","33,00","17,00","53,00","45,00","4,00","5,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bítovany","411,00","65,00","62,00","133,00","125,00","12,00","14,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bítovčice","410,00","66,00","61,00","140,00","120,00","11,00","12,00","Vysočina","JIHLAVA","Jihlava"
"Bitozeves","353,00","29,00","76,00","125,00","101,00","15,00","7,00","Ústecký kraj","ŽATEC","Louny"
"Blanné","96,00","17,00","12,00","34,00","28,00","2,00","3,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blansko","20 290,00","3 060,00","2 833,00","6 537,00","6 738,00","619,00","503,00","Jihomoravský kraj","BLANSKO","Blansko"
"Blatce","59,00","4,00","10,00","22,00","14,00","3,00","6,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blatec","578,00","71,00","95,00","199,00","186,00","15,00","12,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Blatná","6 690,00","982,00","1 008,00","2 121,00","2 174,00","199,00","206,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Blatnice","367,00","54,00","64,00","129,00","104,00","11,00","5,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Blatnice","677,00","107,00","90,00","236,00","206,00","19,00","19,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blatnice pod Svatým Antonínkem","2 135,00","327,00","300,00","735,00","670,00","50,00","53,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatnička","439,00","66,00","58,00","149,00","142,00","10,00","14,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatno","353,00","48,00","40,00","135,00","104,00","12,00","14,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Blatno","535,00","75,00","87,00","174,00","176,00","12,00","11,00","Ústecký kraj","PODBOŘANY","Louny"
"Blažejov","289,00","38,00","50,00","100,00","79,00","12,00","10,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Blažejovice","97,00","17,00","9,00","36,00","26,00","6,00","3,00","Středočeský kraj","VLAŠIM","Benešov"
"Blazice","205,00","47,00","18,00","68,00","65,00","4,00","3,00","Zlínský kraj","BYSTŘICE POD HOSTÝNEM","Kroměříž"
"Blažim","71,00","10,00","12,00","27,00","21,00","1,00","0,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blažim","234,00","10,00","58,00","79,00","78,00","7,00","2,00","Ústecký kraj","ŽATEC","Louny"
"Blažkov","297,00","40,00","50,00","104,00","87,00","8,00","8,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Blažovice","1 089,00","167,00","169,00","365,00","338,00","28,00","22,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Blešno","310,00","36,00","44,00","108,00","99,00","11,00","12,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Blevice","287,00","44,00","47,00","90,00","85,00","11,00","10,00","Středočeský kraj","KLADNO","Kladno"
"Blížejov","1 066,00","142,00","162,00","377,00","330,00","25,00","30,00","Plzeňský kraj","HORŠOVSKÝ TÝN","Domažlice"
"Blíževedly","626,00","59,00","100,00","228,00","202,00","19,00","18,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blízkov","335,00","50,00","57,00","107,00","97,00","12,00","12,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Blížkovice","1 250,00","151,00","224,00","423,00","407,00","22,00","23,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blovice","3 922,00","597,00","620,00","1 238,00","1 253,00","117,00","97,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Blšany","931,00","153,00","146,00","297,00","278,00","29,00","28,00","Ústecký kraj","PODBOŘANY","Louny"
"Blšany u Loun","219,00","34,00","33,00","69,00","71,00","9,00","3,00","Ústecký kraj","LOUNY","Louny"
"Blučina","2 041,00","303,00","311,00","674,00","647,00","55,00","51,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov"
"Bludov","25,00","2,00","1,00","12,00","8,00","1,00","1,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bobnice","776,00","112,00","109,00","264,00","253,00","16,00","22,00","Středočeský kraj","NYMBURK","Nymburk"
"Bobrová","960,00","144,00","163,00","318,00","305,00","20,00","10,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bobrůvka","230,00","44,00","40,00","72,00","58,00","10,00","6,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bocanovice","434,00","54,00","83,00","136,00","145,00","9,00","7,00","Moravskoslezský kraj","JABLUNKOV","Frýdek-Místek"
"Bochoř","1 007,00","168,00","196,00","297,00","294,00","33,00","19,00","Olomoucký kraj","PŘEROV","Přerov"
"Bochov","1 986,00","214,00","380,00","677,00","603,00","59,00","53,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bochovice","154,00","31,00","20,00","53,00","44,00","3,00","3,00","Vysočina","TŘEBÍČ","Třebíč"
"Boháňka","210,00","35,00","27,00","73,00","64,00","6,00","5,00","Královéhradecký kraj","HOŘICE","Jičín"
"Boharyně","524,00","67,00","92,00","163,00","173,00","14,00","15,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bohaté Málkovice","265,00","33,00","42,00","92,00","82,00","10,00","6,00","Jihomoravský kraj","BUČOVICE","Vyškov"
"Bohatice","144,00","19,00","23,00","48,00","47,00","3,00","4,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bohdalec","291,00","45,00","53,00","95,00","87,00","3,00","8,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
