"obce","Počet obyvatel dle Sčítání lidu 1950","kraj","orp","okres"
"Abertamy","2 261,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","2 090,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","231,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","437,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","789,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","439,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","1 602,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","908,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","1 711,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","827,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
"Albrechtičky","1 009,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Alojzov","215,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Andělská Hora","514,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Andělská Hora","221,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Anenská Studánka","247,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Archlebov","1 192,00","Jihomoravský kraj","KYJOV","Hodonín"
"Arneštovice","180,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Arnolec","247,00","Vysočina","JIHLAVA","Jihlava"
"Arnoltice","308,00","Ústecký kraj","DĚČÍN","Děčín"
"Aš","12 484,00","Karlovarský kraj","AŠ","Cheb"
"Babice","279,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Babice","302,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Babice","160,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Babice","361,00","Středočeský kraj","ŘÍČANY","Praha-východ"
"Babice","1 440,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Babice","440,00","Olomoucký kraj","ŠTERNBERK","Olomouc"
"Babice nad Svitavou","1 063,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Babice u Rosic","808,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Babylon","318,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bačalky","383,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bačetín","338,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bačice","343,00","Vysočina","TŘEBÍČ","Třebíč"
"Bačkov","171,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bačkovice","226,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bácovice","125,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bakov nad Jizerou","4 733,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Baliny","158,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Balkova Lhota","184,00","Jihočeský kraj","TÁBOR","Tábor"
"Banín","367,00","Pardubický kraj","SVITAVY","Svitavy"
"Bánov","2 181,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Báňovice","141,00","Jihočeský kraj","DAČICE","Jindřichův Hradec"
"Bantice","309,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Barchov","296,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Barchov","270,00","Pardubický kraj","PARDUBICE","Pardubice"
"Barchovice","479,00","Středočeský kraj","KOLÍN","Kolín"
"Bařice-Velké Těšany","601,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bartošovice","1 844,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Bartošovice v Orlických horách","267,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Bartoušov","243,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Baška","3 034,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek"
"Bašnice","323,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bašť","666,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Batelov","2 293,00","Vysočina","JIHLAVA","Jihlava"
"Batňovice","891,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bavorov","2 057,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bavory","342,00","Jihomoravský kraj","MIKULOV","Břeclav"
"Bavoryně","253,00","Středočeský kraj","BEROUN","Beroun"
"Bdeněves","450,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Bdín","145,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Běchary","455,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bechlín","1 275,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Bechyně","2 746,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","123,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","198,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice"
"Bečov","1 333,00","Ústecký kraj","MOST","Most"
"Bečov nad Teplou","1 238,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bečváry","1 276,00","Středočeský kraj","KOLÍN","Kolín"
"Bedihošť","1 198,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bednárec","215,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bednáreček","350,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bedřichov","540,00","Liberecký kraj","JABLONEC NAD NISOU","Jablonec n.Nisou"
"Bedřichov","341,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Běhařov","306,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běhařovice","764,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bělá","432,00","Liberecký kraj","SEMILY","Semily"
"Bělá","504,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bělá","133,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bělá","301,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bělá nad Radbuzou","2 020,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bělá nad Svitavou","693,00","Pardubický kraj","SVITAVY","Svitavy"
"Bělá pod Bezdězem","4 334,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bělá pod Pradědem","2 096,00","Olomoucký kraj","JESENÍK","Jeseník"
