"obce","Počet obyvatel dle Sčítání lidu 1950","kraj","orp","okres"
"Bělá u Jevíčka","630,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bělčice","1 614,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Běleč","287,00","Jihočeský kraj","TÁBOR","Tábor"
"Běleč","369,00","Středočeský kraj","KLADNO","Kladno"
"Běleč","309,00","Jihomoravský kraj","TIŠNOV","Blansko"
"Běleč nad Orlicí","239,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bělkovice-Lašťany","1 645,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Běloky","174,00","Středočeský kraj","KLADNO","Kladno"
"Bělotín","2 013,00","Olomoucký kraj","HRANICE","Přerov"
"Bělov","372,00","Zlínský kraj","OTROKOVICE","Kroměříž"
"Bělušice","344,00","Ústecký kraj","MOST","Most"
"Bělušice","381,00","Středočeský kraj","KOLÍN","Kolín"
"Benátky","169,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Benátky","325,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Benátky nad Jizerou","5 278,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Benecko","2 072,00","Liberecký kraj","JILEMNICE","Semily"
"Benešov","10 387,00","Středočeský kraj","BENEŠOV","Benešov"
"Benešov","837,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Benešov nad Černou","1 764,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Benešov nad Ploučnicí","3 286,00","Ústecký kraj","DĚČÍN","Děčín"
"Benešov u Semil","1 055,00","Liberecký kraj","SEMILY","Semily"
"Benešovice","265,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Benetice","159,00","Vysočina","TŘEBÍČ","Třebíč"
"Beňov","730,00","Olomoucký kraj","PŘEROV","Přerov"
"Bernardov","223,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bernartice","2 025,00","Jihočeský kraj","MILEVSKO","Písek"
"Bernartice","450,00","Středočeský kraj","VLAŠIM","Benešov"
"Bernartice","1 200,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bernartice","1 322,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bernartice nad Odrou","691,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Beroun","13 802,00","Středočeský kraj","BEROUN","Beroun"
"Beřovice","463,00","Středočeský kraj","SLANÝ","Kladno"
"Běrunice","1 357,00","Středočeský kraj","PODĚBRADY","Nymburk"
"Besednice","761,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Běšiny","1 023,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běštín","482,00","Středočeský kraj","HOŘOVICE","Beroun"
"Běstovice","298,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Běstvina","876,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bezděčí u Trnávky","279,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bezdědovice","403,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Bezděkov","342,00","Pardubický kraj","PARDUBICE","Pardubice"
"Bezděkov","945,00","Plzeňský kraj","KLATOVY","Klatovy"
"Bezděkov","293,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Bezděkov","164,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Bezděkov nad Metují","602,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Bezděkov pod Třemšínem","161,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bezděz","339,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bezdružice","983,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Bezkov","276,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bezměrov","609,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bezno","821,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bezuchov","254,00","Olomoucký kraj","PŘEROV","Přerov"
"Bezvěrov","801,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílá","729,00","Moravskoslezský kraj","FRÝDLANT N. OSTRAVICÍ","Frýdek-Místek"
"Bílá","1 068,00","Liberecký kraj","LIBEREC","Liberec"
"Bílá Hlína","150,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Bílá Lhota","1 653,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílá Třemešná","1 510,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílá Voda","465,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bílčice","421,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Bílé Podolí","1 109,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Bílé Poličany","329,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílence","369,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Bílichov","262,00","Středočeský kraj","SLANÝ","Kladno"
"Bílina","11 862,00","Ústecký kraj","BÍLINA","Teplice"
"Bílov","595,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílov","148,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílovec","5 404,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílovice","1 447,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Bílovice nad Svitavou","2 545,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Bílovice-Lutotín","669,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bílsko","372,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bílsko","199,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílsko u Hořic","153,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bílý Kámen","106,00","Vysočina","JIHLAVA","Jihlava"
"Bílý Kostel nad Nisou","943,00","Liberecký kraj","LIBEREC","Liberec"
"Bílý Potok","852,00","Liberecký kraj","FRÝDLANT","Liberec"
"Bílý Újezd","795,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Biřkov","203,00","Plzeňský kraj","KLATOVY","Klatovy"
"Biskoupky","254,00","Jihomoravský kraj","IVANČICE","Brno-venkov"
"Biskupice","321,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Biskupice","541,00","Zlínský kraj","LUHAČOVICE","Zlín"
"Biskupice","167,00","Pardubický kraj","CHRUDIM","Chrudim"
"Biskupice-Pulkov","661,00","Vysočina","TŘEBÍČ","Třebíč"
"Bítouchov","427,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bítov","394,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bítov","217,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bítovany","561,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bítovčice","511,00","Vysočina","JIHLAVA","Jihlava"
"Bitozeves","679,00","Ústecký kraj","ŽATEC","Louny"
"Blanné","119,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blansko","8 883,00","Jihomoravský kraj","BLANSKO","Blansko"
"Blatce","286,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blatec","511,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Blatná","4 355,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Blatnice","444,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Blatnice","822,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blatnice pod Svatým Antonínkem","2 228,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatnička","494,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatno","422,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Blatno","593,00","Ústecký kraj","PODBOŘANY","Louny"
"Blažejov","593,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Blažejovice","274,00","Středočeský kraj","VLAŠIM","Benešov"
"Blazice","287,00","Zlínský kraj","BYSTŘICE POD HOSTÝNEM","Kroměříž"
"Blažim","111,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blažim","251,00","Ústecký kraj","ŽATEC","Louny"
"Blažkov","272,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Blažovice","1 012,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Blešno","309,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Blevice","419,00","Středočeský kraj","KLADNO","Kladno"
"Blížejov","1 467,00","Plzeňský kraj","HORŠOVSKÝ TÝN","Domažlice"
"Blíževedly","769,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blízkov","444,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Blížkovice","1 210,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blovice","3 576,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Blšany","1 410,00","Ústecký kraj","PODBOŘANY","Louny"
"Blšany u Loun","307,00","Ústecký kraj","LOUNY","Louny"
"Blučina","1 802,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov"
"Bludov","92,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bobnice","940,00","Středočeský kraj","NYMBURK","Nymburk"
"Bobrová","943,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bobrůvka","304,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bocanovice","385,00","Moravskoslezský kraj","JABLUNKOV","Frýdek-Místek"
"Bochoř","1 375,00","Olomoucký kraj","PŘEROV","Přerov"
"Bochov","2 304,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bochovice","270,00","Vysočina","TŘEBÍČ","Třebíč"
"Boháňka","386,00","Královéhradecký kraj","HOŘICE","Jičín"
"Boharyně","681,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bohaté Málkovice","379,00","Jihomoravský kraj","BUČOVICE","Vyškov"
"Bohatice","195,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bohdalec","344,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
"Bohdalice-Pavlovice","802,00","Jihomoravský kraj","VYŠKOV","Vyškov"
"Bohdalín","311,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bohdalov","851,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
"Bohdalovice","239,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Bohdaneč","862,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bohdašín","310,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bohdíkov","1 633,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Bohostice","366,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bohumilice","380,00","Jihočeský kraj","VIMPERK","Prachatice"
"Bohumín","19 705,00","Moravskoslezský kraj","BOHUMÍN","Karviná"
"Bohunice","120,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Bohuňov","240,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Bohuňov","305,00","Pardubický kraj","SVITAVY","Svitavy"
"Bohuňovice","1 870,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Bohuňovice","185,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Bohušice","222,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bohuslavice","317,00","Olomoucký kraj","KONICE","Prostějov"
"Bohuslavice","1 204,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bohuslavice","148,00","Vysočina","TELČ","Jihlava"
"Bohuslavice","448,00","Olomoucký kraj","ZÁBŘEH","Šumperk"
"Bohuslavice nad Vláří","515,00","Zlínský kraj","LUHAČOVICE","Zlín"
"Bohuslavice u Zlína","721,00","Zlínský kraj","ZLÍN","Zlín"
"Bohuslávky","376,00","Olomoucký kraj","LIPNÍK NAD BEČVOU","Přerov"
"Bohušov","703,00","Moravskoslezský kraj","KRNOV","Bruntál"
"Bohušovice nad Ohří","1 619,00","Ústecký kraj","LITOMĚŘICE","Litoměřice"
"Bohutice","669,00","Jihomoravský kraj","MORAVSKÝ KRUMLOV","Znojmo"
"Bohutín","991,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bohutín","415,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Bohy","203,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bojanov","914,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bojanovice","674,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Bojanovice","246,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bojiště","430,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bojkovice","4 021,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Bolatice","2 495,00","Moravskoslezský kraj","KRAVAŘE","Opava"
"Boleboř","239,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Bolehošť","762,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Boleradice","1 045,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Bolešiny","793,00","Plzeňský kraj","KLATOVY","Klatovy"
"Boletice","877,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Bolkov","144,00","Plzeňský kraj","PŘEŠTICE","Plzeň-jih"
"Boňkov","152,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bor","2 970,00","Plzeňský kraj","TACHOV","Tachov"
"Bor u Skutče","242,00","Pardubický kraj","CHRUDIM","Chrudim"
"Borač","427,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Bořanovice","514,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Bordovice","511,00","Moravskoslezský kraj","FRENŠTÁT P. RADHOŠTĚM","Nový Jičín"
"Boreč","233,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Borek","158,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Mělník"
"Borek","200,00","Pardubický kraj","PARDUBICE","Pardubice"
"Borek","198,00","Královéhradecký kraj","HOŘICE","Jičín"
"Borek","304,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Borek","247,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Bořenovice","265,00","Zlínský kraj","HOLEŠOV","Kroměříž"
"Bořetice","1 291,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Bořetice","120,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bořetín","200,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bořetín","237,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bořice","330,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bořislav","556,00","Ústecký kraj","TEPLICE","Teplice"
"Bořitov","1 217,00","Jihomoravský kraj","BLANSKO","Blansko"
"Borkovany","1 166,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Borkovice","350,00","Jihočeský kraj","SOBĚSLAV","Tábor"
"Borohrádek","1 752,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Borotice","637,00","Středočeský kraj","DOBŘÍŠ","Příbram"
"Borotice","409,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Borotín","925,00","Jihočeský kraj","TÁBOR","Tábor"
"Borotín","547,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Borová","388,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Borová","894,00","Pardubický kraj","POLIČKA","Svitavy"
"Borová Lada","317,00","Jihočeský kraj","VIMPERK","Prachatice"
"Borovany","308,00","Jihočeský kraj","MILEVSKO","Písek"
"Borovany","2 529,00","Jihočeský kraj","TRHOVÉ SVINY","České Budějovice"
"Borovná","139,00","Vysočina","TELČ","Jihlava"
"Borovnice","383,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Borovnice","142,00","Středočeský kraj","VLAŠIM","Benešov"
"Borovnice","511,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Borovnice","716,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Borovnice","107,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Borovnička","528,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Borovník","114,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Borovno","176,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Borovy","360,00","Plzeňský kraj","PŘEŠTICE","Klatovy"
"Boršice","1 755,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Boršice u Blatnice","923,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Boršov","187,00","Vysočina","JIHLAVA","Jihlava"
"Boršov nad Vltavou","952,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Borušov","277,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bory","734,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Boseň","612,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Bošice","528,00","Jihočeský kraj","VIMPERK","Prachatice"
"Bošilec","299,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Bošín","141,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Boskovice","7 244,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Boskovštejn","317,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bošovice","1 131,00","Jihomoravský kraj","SLAVKOV U BRNA","Vyškov"
"Boudy","342,00","Jihočeský kraj","PÍSEK","Písek"
"Bousín","286,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bousov","292,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bouzov","1 953,00","Olomoucký kraj","LITOVEL","Olomouc"
"Božanov","599,00","Královéhradecký kraj","BROUMOV","Náchod"
"Božejov","519,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Božetice","585,00","Jihočeský kraj","MILEVSKO","Písek"
"Boží Dar","910,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Božičany","800,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Božice","1 366,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bozkov","703,00","Liberecký kraj","SEMILY","Semily"
"Brada-Rybníček","161,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bradáčov","225,00","Jihočeský kraj","TÁBOR","Tábor"
"Bradlec","212,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bradlecká Lhota","267,00","Liberecký kraj","SEMILY","Semily"
"Brambory","92,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Braňany","1 077,00","Ústecký kraj","MOST","Most"
"Brandov","393,00","Ústecký kraj","LITVÍNOV","Most"
"Brandýs nad Labem-Stará Boleslav","12 243,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Brandýs nad Orlicí","1 528,00","Pardubický kraj","ÚSTÍ NAD ORLICÍ","Ústí nad Orlicí"
"Brandýsek","2 031,00","Středočeský kraj","KLADNO","Kladno"
"Branice","276,00","Jihočeský kraj","MILEVSKO","Písek"
"Braníškov","219,00","Jihomoravský kraj","TIŠNOV","Brno-venkov"
"Branišov","175,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Branka u Opavy","691,00","Moravskoslezský kraj","OPAVA","Opava"
"Brankovice","1 026,00","Jihomoravský kraj","BUČOVICE","Vyškov"
"Branky","895,00","Zlínský kraj","VALAŠSKÉ MEZIŘÍČÍ","Vsetín"
"Branná","521,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Branov","363,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Bransouze","350,00","Vysočina","TŘEBÍČ","Třebíč"
"Brantice","1 376,00","Moravskoslezský kraj","KRNOV","Bruntál"
"Branžež","296,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Braškov","878,00","Středočeský kraj","KLADNO","Kladno"
"Břasy","3 224,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Bratčice","850,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov"
