"obce","Běžné výdaje","Celková plocha území obce","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet gymnázií","Počet lůžek v ubytovacích zařízeních","Počet mateřských škol","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet pokojů v ubytovacích zařízeních","Počet SOŠ a praktických škol","Počet SOU","Počet ubytovacích zařízení","Počet uchazečů o zaměstnání","Počet základních škol s 1. st.","Počet základních škol s 2. st.","Počet základních škol úplných","Počet žáků v gymnáziích","Počet žáků v mateřských školách","Počet žáků v SOŠ a praktických školách","Počet žáků v SOU","Počet žáků v základních školách s 1. st.","Počet žáků v základních školách s 2. st.","Počet žáků v základních školách úplných","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Výměra chmelnic","Výměra lesní půdy","Výměra orné půdy","Výměra ostatních ploch","Výměra ovocných sadů","Výměra trvalých travních porostů","Výměra vinic","Výměra vodních ploch","Výměra zahrad","Výměra zastavěných ploch","Výměra zemědělské půdy","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres","Ordinace gynekologa","Ordinace praktického lékaře","Ordinace praktického lékaře pro děti a dorost","Ordinace specialisty","Ordinace stomatologa","Počet lékáren","Domovy pro seniory","Domovy pro seniory - počet míst","Domovy pro osoby se zdravotním postižením","Domovy pro osoby se zdravotním postižením - počet míst","Počet nemocnic","Počet lůžek v nemocnicích"
"Albrechtičky","7 646,19","395,61","8 130,32","1 095,99","79,00","3 282,26","1 974,02","588,94","1,00","0,00",NA,"1,00","695,00","135,00","108,00","208,00","187,00","27,00","30,00",NA,"0,00","0,00","1,00","18,00","1,00","0,00","0,00","0,00","24,00","0,00","0,00","24,00","0,00","0,00","1 684,94","11 868,28","21,00","939,83","10 183,35","10 928,45","0,00","25,83","158,34","141,72","0,00","17,18","0,00","19,79","21,35","11,39","196,87","12,00","10,00","10,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alojzov","3 847,31","463,92","4 324,59","0,00","166,00","796,69","455,80","324,10","2,00","0,00",NA,"0,00","248,00","50,00","45,00","60,00","67,00","11,00","15,00",NA,"0,00","0,00",NA,"6,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","324,10","5 270,48","6,00","626,49","4 946,39","4 644,00","0,00","310,36","109,21","11,53","0,77","8,33","0,00","0,81","18,54","4,37","136,85","6,00","7,00","1,00","Olomoucký kraj","PROSTĚJOV","Prostějov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andělská Hora","10 277,87","1 590,07","6 750,89","506,88","309,53","1 378,35","2 215,66","3 583,49","0,00","0,00",NA,"0,00","356,00","57,00","55,00","115,00","95,00","21,00","13,00",NA,"0,00","0,00","2,00","24,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","125,00","4 090,36","13 366,44","9,00","1 710,23","9 276,08","11 656,22","0,00","1 164,53","5,75","50,34","0,00","347,43","0,00","4,04","9,62","8,36","362,80","7,00","9,00","4,00","Moravskoslezský kraj","BRUNTÁL","Bruntál",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andělská Hora","6 956,14","808,13","4 296,87","0,00","406,69","214,04","627,59","2 271,72","1,00","0,00",NA,"0,00","360,00","69,00","68,00","96,00","104,00","12,00","11,00",NA,"0,00","0,00",NA,"9,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2 271,72","7 602,87","14,00","432,69","5 331,15","7 170,17","0,00","261,30","170,71","119,56","0,00","225,46","0,00","18,23","5,65","7,22","401,82","11,00","4,00","7,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anenská Studánka","3 162,50","790,40","2 575,84","0,00","278,05","578,90","494,47","1 022,05","0,00","0,00",NA,"0,00","176,00","33,00","28,00","36,00","62,00","14,00","3,00",NA,"0,00","0,00",NA,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1 022,05","4 370,40","1,00","629,00","3 348,36","3 741,40","0,00","323,66","256,45","31,48","3,32","157,03","0,00","0,96","13,05","4,45","429,85","2,00","5,00","2,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí",NA,NA,NA,NA,NA,NA,NA,NA,"1,00","75,00",NA,NA
"Archlebov","11 709,97","1 333,16","12 482,05","0,00","2,02","312,52","900,73","1 485,82","2,00","0,00",NA,"1,00","874,00","184,00","106,00","266,00","244,00","33,00","41,00",NA,"0,00","0,00",NA,"30,00","0,00","0,00","1,00","0,00","20,00","0,00","0,00","0,00","0,00","78,00","1 485,82","14 870,62","9,00","2 848,14","13 384,80","12 022,48","0,00","442,06","692,56","49,54","19,36","20,14","66,71","11,30","13,32","18,18","812,08","29,00","7,00","14,00","Jihomoravský kraj","KYJOV","Hodonín",NA,NA,"1,00",NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Arneštovice","1 141,67","542,23","1 426,57","0,00","9,60","83,44","68,42","188,10","0,00","0,00",NA,"0,00","84,00","10,00","14,00","24,00","30,00","1,00","5,00",NA,"0,00","0,00","1,00","4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","188,10","1 692,68","1,00","467,57","1 504,58","1 225,11","0,00","131,15","304,46","28,20","0,00","64,56","0,00","5,51","4,90","3,45","373,92","3,00","1,00","3,00","Vysočina","PELHŘIMOV","Pelhřimov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arnolec","2 405,10","1 135,85","2 919,14","120,00","0,00","841,27","1 583,70","78,56","5,00","0,00",NA,"0,00","170,00","35,00","35,00","42,00","42,00","7,00","9,00",NA,"0,00","0,00",NA,"6,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","198,56","4 701,40","5,00","1 455,03","4 502,84","3 246,37","0,00","583,06","384,66","31,82","0,00","112,39","0,00","13,12","3,63","7,19","500,68","0,00","1,00","6,00","Vysočina","JIHLAVA","Jihlava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arnoltice","6 827,34","553,55","5 113,05","244,34","0,00","592,42","1 121,36","1 632,21","2,00","0,00",NA,"2,00","410,00","64,00","76,00","126,00","111,00","14,00","19,00",NA,"0,00","0,00","1,00","19,00","0,00","0,00","0,00","0,00","53,00","0,00","0,00","0,00","0,00","0,00","1 876,55","8 110,96","20,00","691,20","6 234,41","7 419,76","0,00","299,34","144,15","30,32","0,00","58,89","0,00","2,61","13,56","4,67","216,60","4,00","4,00","2,00","Ústecký kraj","DĚČÍN","Děčín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aš","201 041,81","5 585,61","240 490,35","250,00","5 567,45","52 015,59","22 741,39","25 874,87","3,00","1,00",NA,"4,00","13 245,00","2 298,00","2 272,00","3 972,00","3 826,00","444,00","433,00",NA,"1,00","0,00","3,00","195,00","0,00","0,00","4,00","214,00","417,00","9,00","0,00","0,00","0,00","1 293,00","26 124,87","294 924,06","300,00","41 866,66","268 799,19","253 057,40","0,00","3 162,14","671,88","634,70","0,86","860,28","0,00","31,42","126,86","97,47","1 659,88","269,00","156,00","143,00","Karlovarský kraj","AŠ","Cheb","5,00","6,00","3,00","3,00","5,00","5,00","1,00","32,00",NA,NA,NA,NA
"Babice","1 368,45","255,14","2 456,85","94,30","0,00","290,45","143,33","76,27","0,00","0,00",NA,"0,00","189,00","36,00","17,00","71,00","54,00","3,00","8,00",NA,"0,00","0,00",NA,"6,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","170,57","2 770,75","6,00","1 111,85","2 600,18","1 658,90","0,00","0,00","188,27","17,85","0,68","19,48","0,00","11,15","9,98","7,73","218,41","14,00","2,00","4,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babice","2 612,26","956,94","3 196,20","0,00","65,61","1,00","650,69","265,05","0,00","0,00",NA,"0,00","201,00","43,00","28,00","61,00","49,00","11,00","9,00",NA,"0,00","0,00","1,00","4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","265,05","4 177,54","4,00","1 564,28","3 912,49","2 613,26","0,00","373,81","472,15","39,10","0,00","44,99","0,00","8,80","10,35","7,74","527,50","2,00","3,00","1,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babice","1 041,33","579,72","1 807,54","75,00","74,47","777,87","195,37","79,80","3,00","0,00",NA,"0,00","122,00","13,00","32,00","33,00","35,00","6,00","3,00",NA,"0,00","0,00",NA,"5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","154,80","2 232,18","13,00","412,98","2 077,38","1 819,20","0,00","27,10","340,85","34,03","0,00","160,84","0,00","7,44","4,51","4,94","506,21","3,00","0,00","1,00","Jihočeský kraj","PRACHATICE","Prachatice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babice","9 726,21","556,71","13 227,70","1 430,00","1 046,75","4 308,32","845,47","593,61","15,00","1,00",NA,"1,00","1 141,00","113,00","301,00","331,00","349,00","22,00","25,00",NA,"0,00","0,00",NA,"8,00","1,00","0,00","0,00","253,00","48,00","0,00","0,00","94,00","0,00","0,00","2 023,61","17 143,53","93,00","3 109,00","15 119,92","14 034,53","0,00","287,13","181,63","20,91","0,14","19,81","0,00","4,48","29,65","12,97","231,23","41,00","6,00","16,00","Středočeský kraj","ŘÍČANY","Praha-východ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babice","17 516,64","661,34","24 858,09","253,00","15,10","8 091,31","4 110,84","1 552,03","4,00","0,00",NA,"1,00","1 793,00","313,00","237,00","577,00","552,00","56,00","58,00",NA,"0,00","0,00",NA,"38,00","0,00","0,00","1,00","0,00","70,00","0,00","0,00","0,00","0,00","191,00","1 805,03","30 789,05","50,00","5 181,11","28 984,03","25 607,95","0,00","1,72","434,20","70,27","6,67","34,38","1,29","44,76","38,11","29,94","514,64","63,00","14,00","19,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště",NA,"1,00",NA,NA,"1,00","1,00",NA,NA,NA,NA,NA,NA
"Babice","4 515,38","594,65","6 456,97","0,00","74,50","267,60","543,85","211,47","2,00","0,00",NA,"1,00","466,00","84,00","79,00","148,00","133,00","11,00","11,00",NA,"0,00","0,00",NA,"7,00","1,00","0,00","0,00","0,00","24,00","0,00","0,00","30,00","0,00","0,00","211,47","7 286,79","20,00","2 503,81","7 075,32","4 782,97","0,00","80,22","400,27","62,84","0,00","16,55","0,00","13,64","9,22","11,91","426,04","12,00","8,00","3,00","Olomoucký kraj","ŠTERNBERK","Olomouc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babice nad Svitavou","10 689,22","1 741,97","15 356,38","250,00","125,70","3 497,67","847,99","700,21","21,00","0,00",NA,"1,00","1 259,00","211,00","252,00","353,00","368,00","32,00","43,00",NA,"0,00","0,00",NA,"15,00","1,00","0,00","0,00","0,00","46,00","0,00","0,00","77,00","0,00","0,00","950,21","17 280,28","68,00","3 093,39","16 330,07","14 186,88","0,00","1 448,42","192,19","36,53","4,82","10,35","0,00","8,65","26,65","14,37","234,00","32,00","6,00","21,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babice u Rosic","9 190,28","568,79","8 662,14","0,00","205,95","880,08","379,67","402,69","1,00","0,00",NA,"0,00","741,00","110,00","152,00","225,00","228,00","14,00","12,00",NA,"0,00","0,00",NA,"16,00","0,00","0,00","0,00","0,00","47,00","0,00","0,00","0,00","0,00","0,00","402,69","9 650,45","17,00","-419,91","9 247,76","10 070,36","0,00","266,30","222,42","51,38","1,01","4,72","0,00","1,69","12,20","9,06","240,35","18,00","6,00","4,00","Jihomoravský kraj","ROSICE","Brno-venkov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babylon","4 690,54","665,17","4 924,55","705,00","18,60","1 551,53","770,98","206,80","1,00","0,00",NA,"1,00","309,00","57,00","48,00","98,00","83,00","10,00","13,00",NA,"0,00","0,00","4,00","2,00","0,00","0,00","0,00","0,00","20,00","0,00","0,00","0,00","0,00","0,00","911,80","6 625,93","13,00","383,86","5 714,13","6 242,07","0,00","541,84","8,51","48,36","0,00","25,26","0,00","24,90","10,08","6,21","43,85","17,00","2,00","5,00","Plzeňský kraj","DOMAŽLICE","Domažlice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bačalky","4 150,61","569,90","2 439,50","0,00","11,26","0,00","354,14","838,99","0,00","0,00",NA,"0,00","156,00","35,00","18,00","48,00","41,00","5,00","9,00",NA,"0,00","0,00",NA,"3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","838,99","3 643,90","7,00","-506,71","2 804,90","4 150,61","0,00","98,56","358,72","22,67","4,26","51,52","0,00","4,63","17,95","11,59","432,45","4,00","0,00","0,00","Královéhradecký kraj","JIČÍN","Jičín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bačetín","4 646,38","813,16","5 317,91","799,00","1,18","5 199,79","478,05","445,87","1,00","0,00",NA,"1,00","398,00","70,00","72,00","122,00","105,00","15,00","14,00",NA,"0,00","0,00",NA,"1,00","0,00","0,00","0,00","0,00","20,00","0,00","0,00","0,00","0,00","0,00","1 244,87","7 042,00","2,00","-2 804,17","5 797,14","9 846,17","0,00","148,71","463,41","33,98","0,38","127,47","0,00","6,75","18,89","13,57","610,15","8,00","6,00","7,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bačice","9 123,30","532,53","2 839,75","5 106,00","140,00","427,35","281,18","901,43","0,00","0,00",NA,"0,00","202,00","52,00","30,00","54,00","54,00","6,00","6,00",NA,"0,00","0,00",NA,"9,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","6 007,43","9 268,35","4,00","-282,29","3 260,92","9 550,64","0,00","18,68","455,53","20,02","8,32","9,40","0,00","4,48","8,05","8,05","481,30","4,00","3,00","3,00","Vysočina","TŘEBÍČ","Třebíč",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bačkov","1 797,86","313,99","1 629,69","0,00","0,00","30,25","146,48","185,77","0,00","0,00",NA,"0,00","123,00","24,00","14,00","41,00","35,00","5,00","4,00",NA,"0,00","0,00",NA,"4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","185,77","1 961,94","5,00","133,83","1 776,18","1 828,11","0,00","26,94","215,04","18,75","0,00","41,62","0,00","3,72","3,22","4,69","259,88","1,00","1,00","1,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bačkovice","1 259,56","639,28","1 837,53","0,00","0,00","138,35","148,13","188,99","0,00","0,00",NA,"0,00","100,00","20,00","12,00","33,00","28,00","1,00","6,00",NA,"0,00","0,00",NA,"2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","188,99","2 174,65","1,00","776,74","1 985,66","1 397,92","0,00","100,07","441,70","43,83","0,00","36,20","0,00","7,12","4,64","5,72","482,54","4,00","1,00","1,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bácovice","1 588,05","472,22","1 327,56","0,00","6,12","0,00","155,97","198,54","1,00","0,00",NA,"0,00","88,00","13,00","20,00","29,00","24,00","1,00","1,00",NA,"0,00","0,00",NA,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","198,54","1 688,18","5,00","100,13","1 489,65","1 588,05","0,00","134,95","250,95","17,33","0,69","58,77","0,00","2,09","4,09","3,35","314,50","2,00","2,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bakov nad Jizerou","62 903,93","2 700,82","68 311,66","7 068,09","482,57","19 137,96","11 451,81","4 221,59","4,00","0,00",NA,"2,00","5 148,00","948,00","830,00","1 615,00","1 415,00","174,00","166,00",NA,"0,00","0,00","2,00","69,00","0,00","0,00","1,00","0,00","206,00","0,00","0,00","0,00","0,00","430,00","11 289,68","91 535,72","141,00","9 493,83","80 246,04","82 041,89","0,00","540,90","1 348,27","276,80","6,77","318,38","0,00","68,39","70,98","70,32","1 744,40","143,00","57,00","49,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav",NA,"3,00","1,00",NA,"1,00","1,00",NA,NA,NA,NA,NA,NA
