"obce","Běžné výdaje","Celková plocha území obce","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet gymnázií","Počet lůžek v ubytovacích zařízeních","Počet mateřských škol","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet pokojů v ubytovacích zařízeních","Počet SOŠ a praktických škol","Počet SOU","Počet ubytovacích zařízení","Počet uchazečů o zaměstnání","Počet základních škol s 1. st.","Počet základních škol s 2. st.","Počet základních škol úplných","Počet žáků v gymnáziích","Počet žáků v mateřských školách","Počet žáků v SOŠ a praktických školách","Počet žáků v SOU","Počet žáků v základních školách s 1. st.","Počet žáků v základních školách s 2. st.","Počet žáků v základních školách úplných","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Výměra chmelnic","Výměra lesní půdy","Výměra orné půdy","Výměra ostatních ploch","Výměra ovocných sadů","Výměra trvalých travních porostů","Výměra vinic","Výměra vodních ploch","Výměra zahrad","Výměra zastavěných ploch","Výměra zemědělské půdy","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres","Ordinace gynekologa","Ordinace praktického lékaře","Ordinace praktického lékaře pro děti a dorost","Ordinace specialisty","Ordinace stomatologa","Počet lékáren","Domovy pro seniory","Domovy pro seniory - počet míst","Domovy pro osoby se zdravotním postižením","Domovy pro osoby se zdravotním postižením - počet míst","Počet nemocnic","Počet lůžek v nemocnicích"
"Horka II","4 143,69","1 022,58","5 642,34","0,00","94,20","834,85","883,62","411,28","2,00","0,00","156,00","0,00","403,00","90,00","46,00","124,00","115,00","14,00","14,00","39,00","0,00","0,00","3,00","6,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","411,28","7 031,44","18,00","2 052,91","6 620,16","4 978,53","0,00","241,54","433,12","79,67","0,44","113,01","0,00","113,01","29,17","12,62","575,74","14,00","3,00","8,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horka nad Moravou","21 120,65","1 193,83","32 941,10","1 200,00","0,00","26 887,43","5 122,57","1 767,65","11,00","0,00","94,00","1,00","2 472,00","468,00","458,00","737,00","668,00","75,00","66,00","37,00","0,00","0,00","3,00","58,00","0,00","0,00","1,00","0,00","103,00","0,00","0,00","0,00","0,00","433,00","2 967,65","41 031,32","64,00","-6 976,76","38 063,67","48 008,09","0,00","269,97","560,40","93,23","0,00","110,25","0,00","92,58","37,90","29,52","708,54","48,00","19,00","27,00","Olomoucký kraj","OLOMOUC","Olomouc",NA,"1,00","1,00",NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Horka u Staré Paky","2 792,42","202,92","3 383,58","564,68","50,81","1 110,04","885,55","101,80","2,00","0,00",NA,"0,00","249,00","50,00","44,00","73,00","67,00","6,00","9,00",NA,"0,00","0,00",NA,"6,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","666,48","4 986,43","11,00","1 083,97","4 319,94","3 902,46","0,00","22,75","93,18","25,84","1,28","45,59","0,00","1,96","6,24","6,07","146,30","5,00","6,00","2,00","Liberecký kraj","JILEMNICE","Semily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horky","2 408,12","235,35","4 709,83","163,35","491,19","2 398,51","462,10","74,64","1,00","0,00",NA,"0,00","412,00","70,00","78,00","121,00","119,00","8,00","16,00",NA,"0,00","0,00",NA,"17,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","237,99","5 901,11","30,00","1 094,47","5 663,12","4 806,64","0,00","0,00","174,05","39,06","1,42","1,34","0,00","1,48","10,88","7,12","187,68","17,00","3,00","4,00","Středočeský kraj","ČÁSLAV","Kutná Hora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horky","1 379,57","267,31","1 628,47","0,00","10,91","534,64","42,60","227,55","0,00","0,00",NA,"0,00","121,00","19,00","26,00","38,00","34,00","2,00","2,00",NA,"0,00","0,00",NA,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","227,55","1 909,52","5,00","-4,69","1 681,97","1 914,21","0,00","30,84","174,35","15,08","0,00","30,89","0,00","4,26","8,22","3,67","213,45","3,00","0,00","0,00","Pardubický kraj","LITOMYŠL","Svitavy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horky nad Jizerou","5 151,83","415,02","6 748,86","0,00","2 503,58","4 482,56","931,24","104,40","1,00","0,00",NA,"0,00","570,00","79,00","107,00","181,00","173,00","9,00","21,00",NA,"1,00","1,00","1,00","16,00","0,00","0,00","0,00","0,00","0,00","10,00","239,00","0,00","0,00","0,00","104,40","10 288,08","35,00","653,68","10 183,67","9 634,40","0,00","15,25","285,93","48,13","6,81","37,01","0,00","7,42","6,17","8,30","335,92","10,00","0,00","5,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Bečva","38 663,47","4 240,78","35 820,78","8 530,06","196,77","24 403,30","10 693,57","1 766,37","7,00","0,00","1 387,00","1,00","2 460,00","542,00","360,00","723,00","664,00","76,00","95,00","472,00","0,00","0,00","24,00","84,00","0,00","0,00","1,00","0,00","74,00","0,00","0,00","0,00","0,00","220,00","10 296,42","57 007,54","40,00","-6 059,23","46 711,11","63 066,77","0,00","2 788,72","133,27","236,50","0,93","967,13","0,00","31,26","43,17","39,80","1 144,50","34,00","32,00","31,00","Zlínský kraj","ROŽNOV POD RADHOŠTĚM","Vsetín",NA,"1,00",NA,"2,00","1,00","1,00",NA,NA,NA,NA,NA,NA
"Horní Bělá","5 296,13","1 839,80","7 615,67","0,00","19,76","1 278,28","377,06","519,43","2,00","0,00",NA,"0,00","566,00","121,00","74,00","190,00","146,00","16,00","19,00",NA,"0,00","0,00",NA,"8,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","519,43","8 531,92","8,00","1 957,51","8 012,49","6 574,41","0,00","1 046,12","573,54","55,57","0,00","111,38","0,00","8,90","27,81","16,48","712,73","7,00","4,00","6,00","Plzeňský kraj","KRALOVICE","Plzeň-sever",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Benešov","37 684,21","2 039,77","46 936,55","349,98","2 215,35","11 619,32","8 622,48","4 561,60","2,00","0,00",NA,"1,00","2 235,00","442,00","343,00","685,00","621,00","85,00","59,00",NA,"0,00","0,00",NA,"135,00","0,00","0,00","1,00","0,00","74,00","0,00","0,00","0,00","0,00","226,00","4 911,58","62 685,97","75,00","13 382,44","57 774,39","49 303,52","0,00","328,03","1 040,44","287,21","0,76","292,98","0,00","11,52","41,79","37,04","1 375,98","76,00","34,00","17,00","Moravskoslezský kraj","BRUNTÁL","Bruntál",NA,"2,00","1,00",NA,"1,00","1,00",NA,NA,NA,NA,NA,NA
"Horní Beřkovice","12 774,87","509,77","12 969,22","0,00","12 453,55","2 277,40","2 175,70","1 962,25","2,00","0,00",NA,"1,00","932,00","199,00","141,00","263,00","261,00","38,00","30,00",NA,"0,00","0,00",NA,"11,00","0,00","0,00","1,00","0,00","48,00","0,00","0,00","0,00","0,00","182,00","1 962,25","29 560,72","35,00","14 508,44","27 598,47","15 052,27","26,05","109,91","268,91","46,57","18,65","1,37","0,00","2,51","20,49","15,32","335,47","20,00","11,00","7,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice",NA,"1,00",NA,"1,00",NA,NA,NA,NA,NA,NA,NA,NA
"Horní Bezděkov","4 624,49","458,21","6 867,60","0,00","4,80","915,47","1 251,00","313,73","4,00","0,00",NA,"0,00","631,00","124,00","109,00","173,00","190,00","17,00","18,00",NA,"0,00","0,00","1,00","8,00","0,00","0,00","0,00","0,00","21,00","0,00","0,00","0,00","0,00","0,00","313,73","8 437,13","26,00","2 897,18","8 123,40","5 539,95","0,00","303,53","99,00","13,49","1,34","17,05","0,00","1,19","13,39","9,21","130,78","18,00","7,00","4,00","Středočeský kraj","KLADNO","Kladno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Blatná","8 472,34","562,65","5 306,05","981,03","775,06","1 040,38","1 414,20","1 634,96","0,00","0,00","105,00","1,00","420,00","67,00","53,00","148,00","129,00","13,00","10,00","45,00","0,00","0,00","4,00","6,00","1,00","0,00","0,00","0,00","11,00","0,00","0,00","17,00","0,00","0,00","2 615,99","10 111,30","10,00","598,58","7 495,31","9 512,72","0,00","218,22","0,00","49,72","0,00","281,26","0,00","3,26","3,04","7,15","284,30","28,00","5,00","4,00","Karlovarský kraj","OSTROV","Karlovy Vary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Bludovice","22 069,57","898,08","27 727,68","0,00","550,02","4 682,16","1 310,29","2 197,01","19,00","0,00",NA,"1,00","2 385,00","354,00","384,00","748,00","737,00","82,00","80,00",NA,"0,00","0,00",NA,"78,00","1,00","0,00","0,00","0,00","28,00","0,00","0,00","49,00","0,00","0,00","2 197,01","31 785,00","104,00","5 033,27","29 587,99","26 751,73","0,00","101,15","521,19","58,82","0,67","133,58","0,00","11,69","43,21","27,78","698,64","62,00","22,00","25,00","Moravskoslezský kraj","HAVÍŘOV","Frýdek-Místek",NA,"1,00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Bojanovice","7 274,98","836,81","8 635,36","0,00","378,75","998,84","679,79","1 168,83","2,00","0,00",NA,"1,00","658,00","130,00","97,00","185,00","197,00","23,00","26,00",NA,"0,00","0,00","1,00","20,00","0,00","0,00","0,00","0,00","22,00","0,00","0,00","0,00","0,00","0,00","1 168,83","10 862,73","6,00","2 588,90","9 693,90","8 273,82","0,00","124,29","330,96","47,70","135,43","50,31","125,70","4,50","6,61","11,32","649,01","21,00","8,00","9,00","Jihomoravský kraj","HUSTOPEČE","Břeclav",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Bradlo","8 021,03","2 033,39","7 714,33","100,00","85,00","1 020,29","2 346,44","543,99","0,00","0,00","468,00","1,00","450,00","110,00","61,00","117,00","114,00","18,00","30,00","137,00","0,00","0,00","4,00","18,00","1,00","0,00","0,00","0,00","14,00","0,00","0,00","24,00","0,00","0,00","643,99","10 789,76","10,00","1 748,44","10 145,77","9 041,33","0,00","1 207,42","323,50","78,42","4,39","364,05","0,00","17,36","20,15","18,12","712,08","14,00","1,00","1,00","Pardubický kraj","CHRUDIM","Chrudim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Branná","24 740,08","2 086,37","24 397,29","319,53","0,00","8 516,14","7 262,36","1 592,15","4,00","0,00","94,00","1,00","1 876,00","342,00","322,00","569,00","526,00","54,00","63,00","23,00","0,00","0,00","3,00","46,00","0,00","0,00","1,00","0,00","62,00","0,00","0,00","0,00","0,00","191,00","1 911,68","33 571,33","36,00","315,11","31 659,65","33 256,22","0,00","664,81","578,95","139,00","4,68","600,98","0,00","13,34","61,28","23,32","1 245,89","35,00","19,00","21,00","Liberecký kraj","JILEMNICE","Semily",NA,NA,NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Horní Břečkov","3 991,09","2 109,13","4 697,11","35,00","0,00","90,29","323,83","472,86","0,00","0,00",NA,"0,00","251,00","39,00","37,00","75,00","78,00","8,00","14,00",NA,"0,00","0,00",NA,"15,00","0,00","0,00","0,00","0,00","17,00","0,00","0,00","0,00","0,00","0,00","507,86","5 528,79","11,00","1 447,42","5 020,94","4 081,38","0,00","1 222,40","622,09","112,36","5,58","98,25","0,00","23,37","13,19","11,88","739,12","13,00","6,00","1,00","Jihomoravský kraj","ZNOJMO","Znojmo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Bříza","51 155,78","1 454,51","55 212,28","496,87","4 405,76","14 544,89","10 745,72","3 609,67","3,00","0,00",NA,"2,00","4 237,00","771,00","628,00","1 322,00","1 240,00","137,00","139,00",NA,"1,00","1,00",NA,"75,00","0,00","0,00","1,00","0,00","161,00","6,00","89,00","0,00","0,00","365,00","4 106,54","74 470,29","124,00","8 769,62","70 363,75","65 700,67","0,00","866,55","255,73","182,61","1,37","59,34","0,00","8,33","41,22","39,36","357,66","122,00","50,00","34,00","Plzeňský kraj","NÝŘANY","Plzeň-sever","2,00","3,00","1,00","2,00","3,00","1,00",NA,NA,"1,00","190,00",NA,NA
"Horní Brusnice","4 804,86","1 409,51","6 260,91","0,00","5,78","1 181,11","2 356,74","359,02","0,00","0,00",NA,"1,00","435,00","87,00","56,00","137,00","120,00","16,00","19,00",NA,"0,00","0,00","1,00","14,00","0,00","0,00","0,00","0,00","26,00","0,00","0,00","0,00","0,00","0,00","359,02","8 982,45","11,00","2 996,48","8 623,43","5 985,98","0,00","360,64","454,96","78,75","0,55","466,89","0,00","7,11","27,05","13,57","949,44","8,00","8,00","2,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Bukovina","3 294,01","554,15","3 683,34","4 500,00","8,52","4 493,09","1 156,88","61,01","0,00","0,00",NA,"0,00","248,00","45,00","44,00","70,00","70,00","7,00","12,00",NA,"0,00","0,00","2,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4 561,01","9 409,74","1,00","1 622,65","4 848,73","7 787,10","0,00","82,67","385,62","23,07","0,68","42,56","0,00","2,03","10,44","7,08","439,30","5,00","4,00","2,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Cerekev","33 747,21","3 198,06","28 230,35","513,50","840,39","15 257,03","8 620,60","2 455,17","3,00","0,00","197,00","1,00","1 841,00","359,00","257,00","577,00","518,00","64,00","66,00","66,00","0,00","0,00","3,00","19,00","0,00","0,00","1,00","0,00","58,00","0,00","0,00","0,00","0,00","157,00","2 968,67","40 660,01","55,00","-8 344,23","37 691,34","49 004,24","0,00","784,34","1 491,01","191,43","0,30","523,03","0,00","117,84","51,51","38,61","2 065,85","51,00","21,00","18,00","Vysočina","PELHŘIMOV","Pelhřimov",NA,NA,"1,00","1,00","1,00",NA,NA,NA,NA,NA,NA,NA
"Horní Čermná","9 491,60","1 767,08","13 966,50","0,00","9,15","10 831,51","1 696,80","967,48","1,00","0,00",NA,"1,00","1 022,00","206,00","147,00","321,00","295,00","25,00","28,00",NA,"0,00","0,00",NA,"21,00","0,00","0,00","1,00","0,00","37,00","0,00","0,00","0,00","0,00","117,00","967,48","16 639,92","32,00","-3 683,19","15 672,44","20 323,11","0,00","828,14","475,94","72,70","5,31","308,49","0,00","9,30","53,68","13,52","843,41","15,00","9,00","9,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Domaslavice","6 599,34","506,47","9 065,63","1 117,23","0,00","2 895,95","451,27","624,71","15,00","0,00",NA,"1,00","820,00","103,00","159,00","272,00","248,00","18,00","20,00",NA,"0,00","0,00",NA,"12,00","0,00","0,00","0,00","0,00","25,00","0,00","0,00","0,00","0,00","0,00","1 741,94","11 258,84","59,00","1 763,54","9 516,90","9 495,30","0,00","61,41","284,12","34,29","0,00","77,87","0,00","5,57","32,76","10,44","394,75","26,00","13,00","11,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Dubenky","8 775,73","996,59","8 476,95","5 283,65","92,66","11 742,37","5 148,24","1 257,55","0,00","0,00",NA,"1,00","608,00","150,00","103,00","163,00","160,00","15,00","17,00",NA,"0,00","0,00",NA,"7,00","1,00","0,00","0,00","0,00","15,00","0,00","0,00","29,00","0,00","0,00","6 541,20","20 259,05","18,00","-259,06","13 717,85","20 518,11","0,00","524,26","250,52","40,96","0,00","152,03","0,00","8,73","9,54","10,55","412,09","26,00","7,00","7,00","Vysočina","JIHLAVA","Jihlava",NA,NA,NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Horní Dubňany","3 272,71","673,74","4 120,31","0,00","1 927,44","2 127,54","391,94","84,69","0,00","0,00",NA,"0,00","300,00","68,00","34,00","93,00","81,00","10,00","14,00",NA,"0,00","0,00",NA,"10,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","84,69","6 524,39","5,00","1 124,14","6 439,70","5 400,25","0,00","7,01","583,23","52,58","2,16","7,27","0,00","6,04","4,98","10,47","597,63","4,00","4,00","0,00","Jihomoravský kraj","MORAVSKÝ KRUMLOV","Znojmo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Dunajovice","5 702,90","1 004,90","8 929,91","877,14","223,96","1 838,48","534,01","760,64","3,00","0,00",NA,"1,00","624,00","116,00","84,00","199,00","186,00","20,00","19,00",NA,"0,00","0,00","1,00","26,00","1,00","0,00","0,00","0,00","28,00","0,00","0,00","26,00","0,00","0,00","1 637,78","11 325,66","25,00","3 784,27","9 687,88","7 541,38","0,00","71,68","724,79","67,97","3,20","10,69","82,32","11,63","16,51","16,10","837,51","9,00","5,00","6,00","Jihomoravský kraj","ZNOJMO","Znojmo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Dvořiště","10 704,92","1 358,55","6 555,17","3 969,27","16,76","1 460,93","3 892,89","282,62","0,00","0,00",NA,"1,00","466,00","71,00","66,00","152,00","147,00","11,00","19,00",NA,"0,00","0,00",NA,"22,00","1,00","0,00","0,00","0,00","16,00","0,00","0,00","22,00","0,00","0,00","4 251,89","14 716,71","23,00","2 550,86","10 464,82","12 165,85","0,00","580,93","102,05","91,63","0,00","551,33","0,00","17,44","9,31","5,86","662,69","17,00","5,00","1,00","Jihočeský kraj","KAPLICE","Český Krumlov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Habartice","5 879,01","726,94","5 168,59","0,00","19,35","2 527,90","953,33","955,66","0,00","0,00",NA,"1,00","402,00","96,00","62,00","125,00","92,00","20,00","7,00",NA,"0,00","0,00",NA,"17,00","0,00","0,00","0,00","0,00","23,00","0,00","0,00","0,00","0,00","0,00","955,66","7 096,92","10,00","-1 309,99","6 141,27","8 406,91","0,00","181,15","247,17","55,92","0,00","212,79","0,00","3,67","18,41","7,82","478,38","15,00","2,00","5,00","Ústecký kraj","DĚČÍN","Děčín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Heřmanice","1 745,27","494,08","1 888,69","0,00","29,45","251,54","84,09","391,60","0,00","0,00",NA,"0,00","138,00","28,00","29,00","37,00","30,00","8,00","6,00",NA,"0,00","0,00",NA,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","391,60","2 393,83","1,00","397,03","2 002,23","1 996,80","0,00","144,55","259,11","20,66","0,00","58,12","0,00","3,57","4,20","3,87","321,43","5,00","0,00","3,00","Vysočina","TŘEBÍČ","Třebíč",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Heřmanice","6 481,61","1 572,78","7 052,68","0,00","6,33","218,70","1 103,02","1 283,42","1,00","0,00",NA,"1,00","481,00","116,00","71,00","143,00","127,00","11,00","13,00",NA,"0,00","0,00",NA,"3,00","1,00","0,00","0,00","0,00","20,00","0,00","0,00","24,00","0,00","0,00","1 283,42","9 445,45","7,00","2 745,14","8 162,03","6 700,31","0,00","431,27","637,44","74,31","1,49","383,95","0,00","1,75","30,87","11,71","1 053,74","20,00","2,00","4,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Jelení","23 479,96","2 447,76","28 359,64","4 230,00","2 929,30","16 914,04","5 353,98","1 364,22","6,00","0,00",NA,"1,00","2 052,00","406,00","328,00","614,00","571,00","69,00","64,00",NA,"0,00","0,00","1,00","38,00","0,00","0,00","1,00","0,00","77,00","0,00","0,00","0,00","0,00","241,00","5 594,22","42 237,15","67,00","1 843,15","36 642,92","40 394,00","0,00","1 792,47","236,27","88,07","1,73","247,74","0,00","26,60","29,07","25,81","514,81","43,00","21,00","18,00","Pardubický kraj","HOLICE","Pardubice",NA,"1,00","1,00",NA,NA,"1,00",NA,NA,"1,00","4,00",NA,NA
"Horní Jiřetín","34 597,35","3 985,88","41 014,25","0,00","44,20","30 438,34","15 226,04","2 361,79","3,00","0,00",NA,"1,00","2 237,00","374,00","402,00","717,00","609,00","69,00","66,00",NA,"0,00","0,00",NA,"87,00","0,00","0,00","1,00","0,00","63,00","0,00","0,00","0,00","0,00","179,00","2 361,79","58 646,29","78,00","-6 389,40","56 284,50","65 035,68","0,00","1 531,75","131,51","2 002,58","44,27","63,30","0,00","97,98","75,32","39,16","314,40","116,00","20,00","19,00","Ústecký kraj","LITVÍNOV","Most",NA,"1,00",NA,"1,00","1,00",NA,NA,NA,NA,NA,NA,NA
"Horní Kalná","4 991,36","891,77","4 699,96","165,41","35,00","0,80","503,49","324,48","0,00","0,00",NA,"1,00","372,00","68,00","69,00","113,00","102,00","9,00","11,00",NA,"0,00","0,00",NA,"5,00","0,00","0,00","0,00","0,00","20,00","0,00","0,00","0,00","0,00","0,00","489,90","5 728,35","6,00","736,19","5 238,45","4 992,16","0,00","165,79","460,27","34,76","0,29","198,59","0,00","8,80","10,00","13,28","669,15","3,00","2,00","6,00","Královéhradecký kraj","VRCHLABÍ","Trutnov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Kamenice","3 886,26","385,06","2 871,73","80,00","9,90","484,83","1 285,61","518,01","1,00","0,00",NA,"0,00","247,00","47,00","43,00","69,00","72,00","5,00","11,00",NA,"0,00","0,00",NA,"5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","598,01","4 765,25","17,00","394,17","4 167,25","4 371,08","0,00","134,43","166,08","27,90","3,44","32,19","0,00","9,09","6,56","5,37","208,27","6,00","7,00","2,00","Plzeňský kraj","STOD","Domažlice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Kněžeklady","1 766,81","784,72","1 977,80","0,00","0,00","0,40","380,53","282,68","0,00","0,00",NA,"0,00","108,00","28,00","9,00","34,00","30,00","5,00","2,00",NA,"0,00","0,00",NA,"3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","282,68","2 641,01","2,00","873,80","2 358,33","1 767,21","0,00","228,78","389,70","29,63","0,00","109,61","0,00","9,63","9,63","7,73","508,95","0,00","2,00","1,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Kounice","3 629,83","1 237,48","4 759,62","65,00","15,62","254,83","671,14","428,52","1,00","0,00",NA,"0,00","315,00","66,00","58,00","86,00","87,00","10,00","8,00",NA,"0,00","0,00",NA,"12,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","493,52","5 939,90","7,00","2 055,23","5 446,38","3 884,66","0,00","442,83","679,54","44,17","1,41","34,91","0,00","19,60","4,64","10,38","720,50","4,00","6,00","2,00","Jihomoravský kraj","MORAVSKÝ KRUMLOV","Znojmo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Kozolupy","4 173,27","2 275,80","4 676,21","37,18","31,86","223,39","194,49","895,00","0,00","0,00",NA,"0,00","256,00","56,00","44,00","81,00","60,00","5,00","10,00",NA,"0,00","0,00",NA,"14,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","932,18","5 834,74","13,00","1 438,07","4 902,56","4 396,67","0,00","961,52","1 087,64","68,12","10,28","99,59","0,00","18,18","19,06","11,42","1 216,57","10,00","5,00","1,00","Plzeňský kraj","STŘÍBRO","Tachov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Krupá","4 419,42","1 130,28","7 356,02","916,14","24,60","6 382,60","724,88","280,57","4,00","0,00",NA,"1,00","567,00","78,00","117,00","179,00","169,00","11,00","13,00",NA,"0,00","0,00","1,00","17,00","0,00","0,00","0,00","0,00","24,00","0,00","0,00","0,00","0,00","0,00","1 196,70","9 302,19","12,00","-1 499,82","8 105,49","10 802,02","0,00","325,23","516,88","47,43","1,60","192,66","0,00","19,86","13,52","13,10","724,66","11,00","5,00","10,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Kruty","6 339,99","1 434,29","8 348,52","0,00","0,00","617,44","948,36","434,54","0,00","0,00",NA,"1,00","519,00","83,00","84,00","147,00","166,00","16,00","23,00",NA,"0,00","0,00",NA,"17,00","1,00","0,00","0,00","0,00","25,00","0,00","0,00","46,00","0,00","0,00","434,54","9 731,42","11,00","2 773,99","9 296,88","6 957,43","0,00","54,84","1 154,52","74,13","16,53","84,61","0,00","7,21","17,98","24,47","1 273,64","17,00","5,00","4,00","Středočeský kraj","KOLÍN","Kolín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Lapač","1 455,55","79,47","2 925,04","0,00","0,00","351,61","91,85","82,80","1,00","0,00",NA,"0,00","271,00","42,00","56,00","87,00","73,00","6,00","7,00",NA,"0,00","0,00",NA,"4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","82,80","3 099,69","9,00","1 292,54","3 016,89","1 807,15","0,00","0,00","53,57","6,66","1,96","0,19","0,00","1,43","10,48","5,17","66,21","10,00","3,00","2,00","Zlínský kraj","HOLEŠOV","Kroměříž",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Lhota","5 530,75","1 265,38","7 572,84","0,00","37,00","661,53","870,74","356,56","0,00","0,00",NA,"1,00","588,00","78,00","105,00","188,00","178,00","20,00","19,00",NA,"0,00","0,00",NA,"17,00","0,00","0,00","0,00","0,00","27,00","0,00","0,00","12,00","0,00","0,00","356,56","8 837,14","8,00","2 644,86","8 480,58","6 192,28","0,00","932,65","95,57","39,29","14,75","164,44","0,00","3,61","7,08","8,00","281,84","1,00","7,00","10,00","Zlínský kraj","LUHAČOVICE","Zlín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horní Libchava","6 805,26","1 037,65","10 115,87","0,00","659,00","159,87","149,53","1 345,81","3,00","0,00",NA,"1,00","744,00","75,00","144,00","252,00","233,00","19,00","21,00",NA,"0,00","0,00",NA,"7,00","1,00","0,00","0,00","0,00","38,00","0,00","0,00","28,00","0,00","0,00","1 345,81","12 270,20","26,00","5 305,08","10 924,40","6 965,13","0,00","171,32","439,45","82,16","0,84","281,95","0,00","34,40","16,55","10,96","738,80","33,00","5,00","9,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
