"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres","Domy s pečovatelskou službou","Domy s pečovatelskou službou - počet bytů"
"Přelovice","2 368,07","1 535,63","221,70","0,00","497,57","422,64","143,28","0,00","195,00","32,00","22,00","67,00","60,00","7,00","7,00","36,00","9,00","364,98","2 323,24","3,00","-542,35","1 958,27","2 865,59","6,00","1,00","1,00","Pardubický kraj","PŘELOUČ","Pardubice",NA,NA
"Přemyslovice","10 084,22","10 334,22","7 655,16","1,05","10 382,57","2 009,05","2 248,55","4,00","1 277,00","230,00","179,00","413,00","386,00","38,00","31,00","200,00","92,00","9 903,71","22 248,03","22,00","1 781,24","12 344,32","20 466,79","22,00","26,00","14,00","Olomoucký kraj","PROSTĚJOV","Prostějov",NA,NA
"Přepeře","1 717,24","1 419,98","0,00","5,00","74,51","77,72","80,80","0,00","137,00","25,00","14,00","45,00","40,00","6,00","7,00","35,00","5,00","80,80","1 583,50","8,00","-208,25","1 502,70","1 791,75","3,00","1,00","0,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav",NA,NA
"Přepychy","5 655,65","5 354,29","0,00","4,00","2 688,68","993,32","789,15","1,00","591,00","95,00","83,00","185,00","185,00","25,00","18,00","131,00","14,00","789,15","7 140,76","16,00","-1 203,57","6 351,61","8 344,33","19,00","7,00","9,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou","1,00","16,00"
"Přepychy","642,02","700,74","300,00","26,64","516,09","53,46","167,70","1,00","88,00","16,00","11,00","33,00","25,00","2,00","1,00","24,00","1,00","467,70","1 248,54","7,00","90,46","780,84","1 158,07","0,00","0,00","2,00","Pardubický kraj","PŘELOUČ","Pardubice",NA,NA
"Přerov","893 014,50","512 521,59","79 593,16","97 674,34","310 728,82","140 703,92","358 283,83","25,00","45 778,00","8 029,00","5 919,00","14 469,00","13 948,00","1 910,00","1 503,00","9 766,00","3 035,00","437 876,99","1 188 776,84","555,00","-14 966,48","750 899,85","1 203 743,32","1 052,00","450,00","471,00","Olomoucký kraj","PŘEROV","Přerov","8,00","308,00"
"Přerov nad Labem","8 526,76","9 225,66","2 743,35","1 457,70","16 034,70","1 245,55","761,24","4,00","1 128,00","162,00","195,00","365,00","338,00","28,00","40,00","304,00","34,00","3 504,59","15 433,50","34,00","-9 127,96","11 928,91","24 561,46","18,00","8,00","23,00","Středočeský kraj","LYSÁ NAD LABEM","Nymburk",NA,NA
"Přerubenice","560,77","667,82","0,00","0,00","0,00","37,68","101,04","0,00","74,00","12,00","13,00","23,00","20,00","2,00","4,00","17,00","3,00","101,04","806,54","1,00","245,77","705,50","560,77","1,00","0,00","2,00","Středočeský kraj","RAKOVNÍK","Rakovník",NA,NA
"Přeskače","2 164,90","2 716,27","733,90","6,16","384,46","349,27","428,27","1,00","106,00","19,00","13,00","35,00","33,00","4,00","2,00","21,00","9,00","1 162,17","4 233,87","9,00","1 684,51","3 071,70","2 549,36","0,00","2,00","0,00","Jihomoravský kraj","ZNOJMO","Znojmo",NA,NA
"Přešovice","1 019,28","1 548,93","111,00","0,00","978,01","428,87","206,62","0,00","139,00","40,00","10,00","47,00","32,00","5,00","5,00","21,00","19,00","317,62","2 295,42","10,00","298,13","1 977,80","1 997,29","9,00","2,00","0,00","Vysočina","TŘEBÍČ","Třebíč",NA,NA
"Přestanov","6 826,46","3 524,48","0,00","7 937,90","816,05","2 769,19","1 004,51","2,00","399,00","51,00","79,00","123,00","123,00","8,00","15,00","75,00","22,00","1 004,51","15 236,08","34,00","7 593,57","14 231,57","7 642,51","12,00","2,00","6,00","Ústecký kraj","ÚSTÍ NAD LABEM","Ústí nad Labem",NA,NA
"Přestavlky","1 899,74","2 044,21","0,00","121,92","306,37","306,16","296,06","0,00","256,00","29,00","46,00","81,00","87,00","7,00","6,00","46,00","20,00","296,06","2 768,35","17,00","562,24","2 472,29","2 206,11","34,00","2,00","6,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice",NA,NA
"Přestavlky","2 512,63","1 707,19","0,00","0,00","270,67","82,87","232,93","0,00","208,00","21,00","29,00","74,00","63,00","8,00","13,00","35,00","18,00","232,93","2 022,98","4,00","-760,29","1 790,06","2 783,28","4,00","3,00","2,00","Pardubický kraj","CHRUDIM","Chrudim",NA,NA
"Přestavlky","2 217,23","2 202,09","0,00","0,00","946,49","348,51","135,45","0,00","220,00","39,00","25,00","79,00","59,00","7,00","11,00","45,00","9,00","135,45","2 686,05","5,00","-477,67","2 550,60","3 163,72","2,00","1,00","3,00","Plzeňský kraj","STOD","Plzeň-jih",NA,NA
"Přestavlky","3 861,99","2 004,81","0,00","580,63","78,98","164,22","496,72","0,00","261,00","51,00","33,00","88,00","74,00","7,00","8,00","35,00","18,00","496,72","3 246,38","12,00","-694,59","2 749,66","3 940,97","8,00","0,00","4,00","Olomoucký kraj","PŘEROV","Přerov",NA,NA
"Přestavlky u Čerčan","1 835,93","2 552,46","0,00","74,06","457,96","85,11","109,25","6,00","307,00","38,00","45,00","100,00","95,00","11,00","18,00","101,00","9,00","109,25","2 820,88","27,00","526,99","2 711,63","2 293,89","5,00","3,00","4,00","Středočeský kraj","BENEŠOV","Benešov",NA,NA
"Přeštěnice","2 415,62","2 579,69","407,32","0,00","438,00","1 037,52","453,56","1,00","293,00","40,00","37,00","96,00","92,00","17,00","11,00","75,00","8,00","860,88","4 478,09","7,00","1 624,47","3 617,21","2 853,62","1,00","3,00","2,00","Jihočeský kraj","MILEVSKO","Písek",NA,NA
"Přeštice","136 479,64","64 794,46","3 944,79","14 662,72","36 847,69","34 770,67","61 021,46","22,00","6 998,00","1 077,00","957,00","2 337,00","2 121,00","248,00","258,00","1 560,00","247,00","64 966,25","179 194,10","183,00","5 866,77","114 227,85","173 327,33","242,00","56,00","65,00","Plzeňský kraj","PŘEŠTICE","Plzeň-jih","1,00","16,00"
"Přešťovice","3 808,67","4 078,69","91,11","227,06","0,00","418,79","938,94","1,00","415,00","87,00","56,00","126,00","111,00","15,00","20,00","85,00","32,00","1 030,05","5 754,59","5,00","1 945,92","4 724,54","3 808,67","9,00","8,00","4,00","Jihočeský kraj","STRAKONICE","Strakonice",NA,NA
"Převýšov","2 105,60","2 395,69","0,00","0,00","487,01","441,83","376,37","0,00","334,00","64,00","45,00","102,00","102,00","9,00","12,00","61,00","23,00","376,37","3 213,89","16,00","621,28","2 837,52","2 592,61","18,00","3,00","2,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové",NA,NA
"Přezletice","17 610,86","9 392,78","0,00","1 636,87","843,20","2 206,68","3 902,55","143,00","1 038,00","137,00","176,00","309,00","313,00","54,00","49,00","273,00","19,00","3 902,55","17 138,88","151,00","-1 315,18","13 236,33","18 454,06","23,00","9,00","15,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ",NA,NA
"Přibice","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Jihomoravský kraj","POHOŘELICE","Brno-venkov",NA,NA
"Příbor","124 110,80","72 248,97","3 530,84","9 185,72","58 506,25","36 525,15","24 746,35","17,00","8 716,00","1 405,00","1 254,00","2 849,00","2 695,00","261,00","252,00","1 622,00","484,00","28 277,19","146 237,03","134,00","-36 380,02","117 959,84","182 617,05","172,00","83,00","90,00","Moravskoslezský kraj","KOPŘIVNICE","Nový Jičín","3,00","70,00"
"Příbram","577 052,57","359 741,89","85 274,45","94 203,00","80 568,66","68 010,34","168 062,45","39,00","34 068,00","5 341,00","4 580,00","10 828,00","10 828,00","1 296,00","1 195,00","9 815,00","2 254,00","253 336,90","775 292,11","633,00","117 670,98","521 955,23","657 621,13","804,00","341,00","363,00","Středočeský kraj","PŘÍBRAM","Příbram","5,00","330,00"
"Příbram na Moravě","4 001,45","4 643,21","0,00","77,17","1 080,14","556,87","323,93","1,00","584,00","121,00","94,00","166,00","157,00","22,00","24,00","77,00","32,00","323,93","5 601,18","9,00","519,59","5 277,25","5 081,59","9,00","9,00","14,00","Jihomoravský kraj","ROSICE","Brno-venkov",NA,NA
"Příbraz","1 896,71","2 367,64","160,00","2,05","408,14","184,41","122,81","1,00","244,00","61,00","32,00","80,00","54,00","7,00","10,00","41,00","12,00","282,81","2 836,91","3,00","532,06","2 554,10","2 304,85","6,00","5,00","1,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec",NA,NA
"Přibyslav","39 973,21","57 746,30","5 175,03","2 421,59","75 879,54","2 712,80","17 343,61","16,00","3 948,00","593,00","608,00","1 280,00","1 204,00","139,00","124,00","686,00","168,00","22 518,64","85 399,33","61,00","-30 453,42","62 880,69","115 852,75","95,00","37,00","62,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod","4,00","68,00"
"Přibyslav","1 134,48","1 313,69","0,00","9,40","0,00","110,28","118,54","2,00","186,00","20,00","20,00","66,00","69,00","5,00","6,00","63,00","11,00","118,54","1 551,89","4,00","417,43","1 433,37","1 134,47","0,00","0,00","0,00","Královéhradecký kraj","NOVÉ MĚSTO NAD METUJÍ","Náchod",NA,NA
"Přibyslavice","2 579,67","3 592,50","160,00","106,20","2 406,41","898,74","282,76","0,00","458,00","76,00","61,00","152,00","146,00","12,00","11,00","59,00","28,00","442,76","5 040,20","6,00","54,12","4 597,44","4 986,08","10,00","5,00","11,00","Jihomoravský kraj","ROSICE","Brno-venkov",NA,NA
