"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres","Domy s pečovatelskou službou","Domy s pečovatelskou službou - počet bytů"
"Abertamy","19 572,03","10 508,35","31 958,89","3 876,33","43 929,74","5 128,04","909,30","0,00","1 323,00","118,00","232,00","482,00","420,00","36,00","35,00","471,00","122,00","32 868,19","52 380,91","46,00","-11 120,86","19 512,72","63 501,77","68,00","14,00","20,00","Karlovarský kraj","OSTROV","Karlovy Vary",NA,NA
"Adamov","46 667,77","35 283,50","16 192,33","1 173,26","30 378,52","15 476,06","6 274,38","19,00","4 684,00","773,00","638,00","1 500,00","1 436,00","173,00","164,00","819,00","287,00","22 466,71","74 399,53","141,00","-2 646,76","51 932,82","77 046,29","159,00","47,00","58,00","Jihomoravský kraj","BLANSKO","Blansko","1,00","27,00"
"Adamov","701,10","988,95","0,00","0,00","5,10","40,88","90,17","0,00","101,00","23,00","14,00","25,00","24,00","6,00","9,00","21,00","9,00","90,17","1 120,00","0,00","413,80","1 029,83","706,20","5,00","4,00","0,00","Středočeský kraj","ČÁSLAV","Kutná Hora",NA,NA
"Adamov","4 335,42","4 171,52","0,00","8 395,19","9 979,88","589,29","319,23","9,00","603,00","71,00","82,00","211,00","207,00","15,00","17,00","140,00","24,00","319,23","13 475,23","44,00","-840,07","13 156,00","14 315,30","8,00","7,00","6,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice",NA,NA
"Adršpach","17 431,35","6 356,17","500,00","506,41","2 204,75","13 006,30","241,97","0,00","542,00","66,00","54,00","193,00","187,00","18,00","24,00","111,00","28,00","741,97","20 610,85","17,00","974,75","19 868,88","19 636,10","8,00","3,00","8,00","Královéhradecký kraj","BROUMOV","Náchod",NA,NA
"Albrechtice","4 078,83","3 760,60","0,00","58,69","88,38","255,96","630,02","0,00","479,00","58,00","71,00","150,00","155,00","21,00","24,00","75,00","24,00","630,02","4 705,24","21,00","538,05","4 075,25","4 167,20","6,00","5,00","4,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí",NA,NA
"Albrechtice","35 006,90","30 572,21","2 949,54","139,43","7 284,11","5 870,26","4 284,12","6,00","3 979,00","526,00","558,00","1 344,00","1 290,00","146,00","115,00","553,00","271,00","7 233,66","43 815,57","104,00","1 524,56","36 581,90","42 291,01","99,00","44,00","27,00","Moravskoslezský kraj","HAVÍŘOV","Karviná","1,00","12,00"
"Albrechtice nad Orlicí","7 416,85","7 577,86","0,00","553,53","2 776,75","1 722,23","465,74","4,00","1 032,00","213,00","111,00","318,00","315,00","37,00","38,00","215,00","35,00","465,74","10 319,36","24,00","125,76","9 853,62","10 193,60","19,00","15,00","11,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou",NA,NA
"Albrechtice nad Vltavou","11 396,61","11 576,76","0,00","301,07","994,67","2 160,77","1 242,71","1,00","835,00","162,00","104,00","264,00","227,00","30,00","48,00","207,00","36,00","1 242,71","15 281,31","31,00","2 890,03","14 038,60","12 391,28","28,00","15,00","7,00","Jihočeský kraj","PÍSEK","Písek",NA,NA
"Albrechtice v Jizerských horách","11 417,90","4 668,92","0,00","5 014,50","1 008,74","1 723,79","442,50","7,00","344,00","57,00","47,00","106,00","106,00","13,00","15,00","135,00","21,00","442,50","11 849,71","19,00","-576,93","11 407,21","12 426,64","9,00","2,00","2,00","Liberecký kraj","TANVALD","Jablonec n.Nisou",NA,NA
"Albrechtičky","5 101,70","4 478,79","2 828,84","306,13","4 266,59","1 186,25","857,25","3,00","697,00","114,00","89,00","229,00","219,00","22,00","24,00","127,00","40,00","3 686,09","9 657,26","21,00","288,97","5 971,17","9 368,29","13,00","11,00","7,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín",NA,NA
"Alojzov","1 997,13","2 393,47","0,00","0,00","2,40","313,71","128,15","0,00","234,00","52,00","19,00","69,00","81,00","8,00","5,00","56,00","12,00","128,15","2 835,33","3,00","835,80","2 707,18","1 999,53","9,00","3,00","1,00","Olomoucký kraj","PROSTĚJOV","Prostějov",NA,NA
"Andělská Hora","8 300,55","3 492,34","3 729,74","20,83","59,86","1 857,58","3 172,76","5,00","366,00","42,00","52,00","123,00","126,00","12,00","11,00","82,00","41,00","6 902,50","12 273,25","10,00","3 912,84","5 370,75","8 360,41","14,00","3,00","4,00","Moravskoslezský kraj","BRUNTÁL","Bruntál",NA,NA
"Andělská Hora","3 156,47","2 254,33","322,00","836,99","1 622,96","962,16","718,27","6,00","260,00","46,00","40,00","78,00","79,00","7,00","10,00","67,00","21,00","1 040,27","5 093,75","19,00","314,32","4 053,48","4 779,43","9,00","0,00","1,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary",NA,NA
"Anenská Studánka","1 882,25","1 745,77","0,00","38,98","36,28","19,32","177,19","0,00","206,00","29,00","30,00","43,00","81,00","17,00","6,00","20,00","10,00","177,19","1 981,25","17,00","62,72","1 804,07","1 918,52","14,00","3,00","2,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí",NA,NA
"Archlebov","8 715,74","7 151,23","3 324,40","284,60","1 182,87","832,27","1 516,76","1,00","857,00","160,00","90,00","284,00","266,00","28,00","29,00","176,00","72,00","4 841,16","13 109,26","12,00","3 210,65","8 268,10","9 898,61","16,00","13,00","5,00","Jihomoravský kraj","KYJOV","Hodonín","1,00","4,00"
"Arneštovice","973,51","984,35","0,00","6,40","0,00","351,66","275,61","0,00","92,00","23,00","10,00","25,00","33,00","0,00","1,00","17,00","6,00","275,61","1 618,02","2,00","644,51","1 342,41","973,51","1,00","1,00","2,00","Vysočina","PELHŘIMOV","Pelhřimov",NA,NA
"Arnolec","1 665,77","1 807,38","111,00","0,40","408,67","514,13","104,12","0,00","181,00","26,00","34,00","52,00","53,00","9,00","7,00","26,00","7,00","215,12","2 537,03","4,00","462,59","2 321,91","2 074,44","7,00","4,00","3,00","Vysočina","JIHLAVA","Jihlava",NA,NA
"Arnoltice","5 371,17","2 836,09","0,00","158,00","0,00","1 153,15","1 653,85","5,00","353,00","30,00","61,00","124,00","109,00","14,00","15,00","112,00","38,00","1 653,85","5 801,09","33,00","429,92","4 147,24","5 371,17","6,00","4,00","2,00","Ústecký kraj","DĚČÍN","Děčín",NA,NA
"Aš","205 295,00","125 047,88","161 609,67","11 211,22","125 927,74","11 098,54","69 973,13","21,00","13 413,00","1 715,00","2 215,00","4 283,00","4 294,00","478,00","428,00","3 317,00","641,00","231 582,80","378 940,44","282,00","47 717,70","147 357,64","331 222,74","321,00","124,00","164,00","Karlovarský kraj","AŠ","Cheb","1,00","118,00"
"Babice","1 373,79","1 569,14","0,00","375,18","33,11","123,27","118,12","0,00","192,00","38,00","17,00","67,00","61,00","6,00","3,00","36,00","12,00","118,12","2 185,71","5,00","778,81","2 067,59","1 406,90","4,00","5,00","3,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové",NA,NA
"Babice","4 991,56","1 982,53","400,39","0,00","470,47","1 058,81","6 040,41","2,00","195,00","29,00","21,00","69,00","56,00","9,00","11,00","45,00","21,00","6 440,80","9 482,14","2,00","4 020,11","3 041,34","5 462,03","2,00","4,00","2,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč",NA,NA
"Babice","10 025,23","1 113,21","140,00","0,00","551,00","311,35","8 994,35","1,00","103,00","18,00","23,00","30,00","32,00","0,00","0,00","24,00","10,00","9 134,35","10 558,91","8,00","-17,32","1 424,56","10 576,23","0,00","0,00","1,00","Jihočeský kraj","PRACHATICE","Prachatice",NA,NA
"Babice","5 460,67","4 857,33","1 512,60","2 029,20","4 355,41","587,38","590,72","6,00","700,00","54,00","153,00","226,00","228,00","9,00","30,00","221,00","14,00","2 103,32","9 577,23","127,00","-238,85","7 473,91","9 816,08","39,00","4,00","10,00","Středočeský kraj","ŘÍČANY","Praha-východ",NA,NA
"Babice","16 209,56","13 609,42","453,00","846,84","3 373,73","3 464,20","2 629,66","5,00","1 802,00","273,00","216,00","613,00","591,00","58,00","51,00","388,00","96,00","3 082,66","21 003,12","38,00","1 419,83","17 920,46","19 583,29","27,00","11,00","12,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště","1,00","10,00"
"Babice","4 043,17","3 693,90","4 470,85","0,00","4 779,84","3 136,41","841,44","0,00","433,00","60,00","63,00","148,00","129,00","18,00","15,00","71,00","25,00","5 312,29","12 142,60","7,00","3 319,59","6 830,31","8 823,01","7,00","4,00","7,00","Olomoucký kraj","ŠTERNBERK","Olomouc",NA,NA
"Babice nad Svitavou","7 937,20","7 944,71","77,00","343,67","2 102,61","296,33","514,75","7,00","1 028,00","154,00","151,00","330,00","307,00","47,00","39,00","226,00","34,00","591,75","9 176,46","43,00","-863,35","8 584,71","10 039,81","10,00","8,00","12,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov",NA,NA
"Babice u Rosic","4 837,99","4 753,81","2 941,70","43,60","4 671,59","338,13","572,95","5,00","653,00","103,00","120,00","199,00","198,00","13,00","20,00","128,00","38,00","3 514,65","8 650,19","19,00","-859,39","5 135,54","9 509,58","11,00","2,00","9,00","Jihomoravský kraj","ROSICE","Brno-venkov",NA,NA
"Babylon","3 037,05","3 809,46","0,00","0,00","10 309,55","559,10","149,03","1,00","285,00","35,00","46,00","93,00","82,00","15,00","14,00","122,00","16,00","149,03","4 517,59","4,00","-8 829,01","4 368,56","13 346,60","17,00","2,00","4,00","Plzeňský kraj","DOMAŽLICE","Domažlice",NA,NA
"Bačalky","1 117,51","1 515,78","0,00","0,00","956,64","423,69","128,56","1,00","157,00","32,00","15,00","46,00","43,00","11,00","10,00","35,00","6,00","128,56","2 068,03","5,00","-6,12","1 939,47","2 074,15","6,00","3,00","1,00","Královéhradecký kraj","JIČÍN","Jičín",NA,NA
"Bačetín","3 504,73","3 325,13","1 485,97","269,83","355,92","277,60","856,39","1,00","412,00","65,00","65,00","135,00","125,00","12,00","10,00","85,00","17,00","2 342,36","6 214,92","7,00","2 354,27","3 872,56","3 860,65","7,00","3,00","4,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou",NA,NA
"Bačice","1 922,45","1 803,86","111,00","0,00","687,76","178,45","200,54","1,00","193,00","39,00","28,00","53,00","54,00","14,00","5,00","35,00","18,00","311,54","2 293,85","13,00","-316,36","1 982,31","2 610,21","3,00","5,00","2,00","Vysočina","TŘEBÍČ","Třebíč",NA,NA
"Bačkov","974,62","1 120,81","0,00","0,00","87,40","109,60","112,32","0,00","129,00","30,00","22,00","40,00","34,00","2,00","1,00","37,00","7,00","112,32","1 342,73","0,00","280,71","1 230,41","1 062,02","2,00","2,00","1,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod",NA,NA
"Bačkovice","1 323,34","1 371,04","0,00","0,00","0,00","29,67","279,76","0,00","116,00","25,00","11,00","37,00","34,00","4,00","5,00","21,00","5,00","279,76","1 680,47","0,00","357,13","1 400,71","1 323,34","3,00","1,00","1,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč",NA,NA
"Bácovice","724,78","736,50","2 261,35","4,58","19,42","661,75","220,68","0,00","69,00","12,00","16,00","20,00","19,00","1,00","1,00","15,00","1,00","2 482,03","3 884,86","4,00","3 140,66","1 402,83","744,20","2,00","2,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov",NA,NA
"Bakov nad Jizerou","43 203,66","39 472,35","22 930,70","253,76","12 143,61","8 774,01","5 286,26","24,00","5 004,00","739,00","762,00","1 667,00","1 506,00","173,00","157,00","1 270,00","151,00","28 216,96","76 717,08","203,00","21 369,81","48 500,12","55 347,27","155,00","51,00","61,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav","1,00","24,00"
"Baliny","940,64","1 094,02","0,00","0,00","173,18","68,83","280,95","0,00","126,00","23,00","21,00","37,00","35,00","3,00","7,00","22,00","7,00","280,95","1 443,80","2,00","329,98","1 162,85","1 113,82","3,00","3,00","2,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou",NA,NA
"Balkova Lhota","1 044,25","1 050,83","0,00","0,00","1,80","115,66","130,25","0,00","120,00","18,00","26,00","36,00","34,00","3,00","3,00","28,00","5,00","130,25","1 296,74","12,00","250,69","1 166,49","1 046,05","5,00","2,00","1,00","Jihočeský kraj","TÁBOR","Tábor",NA,NA
"Banín","2 683,19","3 183,34","100,00","0,00","968,13","647,60","252,82","0,00","311,00","45,00","39,00","106,00","104,00","9,00","8,00","59,00","29,00","352,82","4 183,77","8,00","532,49","3 830,94","3 651,28","8,00","6,00","4,00","Pardubický kraj","SVITAVY","Svitavy",NA,NA
"Bánov","18 152,79","16 972,74","3 657,15","148,75","7 426,88","4 190,10","3 293,68","4,00","2 130,00","316,00","323,00","705,00","641,00","77,00","68,00","533,00","97,00","6 950,83","28 262,42","35,00","2 682,75","21 311,59","25 579,67","27,00","34,00","18,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště","1,00","4,00"
"Báňovice","915,08","1 016,18","62,48","0,00","89,00","79,75","155,40","0,00","106,00","18,00","15,00","36,00","32,00","2,00","3,00","18,00","7,00","217,88","1 313,81","1,00","309,73","1 095,93","1 004,08","1,00","0,00","2,00","Jihočeský kraj","DAČICE","Jindřichův Hradec",NA,NA
"Bantice","2 813,04","2 697,30","0,00","129,41","1 762,01","1 120,87","625,01","1,00","294,00","32,00","65,00","96,00","85,00","11,00","5,00","73,00","21,00","625,01","4 572,59","7,00","-2,46","3 947,58","4 575,05","3,00","0,00","6,00","Jihomoravský kraj","ZNOJMO","Znojmo",NA,NA
"Barchov","1 528,87","2 124,04","250,00","15,72","33,85","213,83","117,79","2,00","288,00","34,00","32,00","105,00","101,00","6,00","10,00","60,00","8,00","367,79","2 721,38","41,00","1 158,66","2 353,59","1 562,72","5,00","5,00","4,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové",NA,NA
"Barchov","1 258,89","1 585,91","17 692,26","0,84","12 361,38","4 139,94","289,93","0,00","180,00","21,00","27,00","69,00","51,00","8,00","4,00","45,00","7,00","17 982,19","23 708,88","1,00","10 088,66","5 726,69","13 620,22","6,00","3,00","3,00","Pardubický kraj","PARDUBICE","Pardubice",NA,NA
"Barchovice","2 673,52","2 824,48","0,00","180,53","40,00","118,96","105,84","0,00","204,00","31,00","26,00","67,00","61,00","10,00","9,00","50,00","12,00","105,84","3 229,81","3,00","516,29","3 123,97","2 713,52","6,00","5,00","5,00","Středočeský kraj","KOLÍN","Kolín",NA,NA
"Bařice-Velké Těšany","3 560,69","4 068,31","347,00","50,00","1 387,74","856,47","478,20","2,00","477,00","75,00","42,00","183,00","144,00","18,00","15,00","97,00","26,00","825,20","5 799,98","19,00","851,55","4 974,78","4 948,43","31,00","3,00","2,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž",NA,NA
"Bartošovice","14 108,82","13 017,40","4 805,27","114,42","10 790,12","3 605,63","2 676,16","5,00","1 644,00","191,00","246,00","549,00","525,00","64,00","69,00","361,00","121,00","7 481,43","24 218,88","50,00","-680,06","16 737,45","24 898,94","29,00","20,00","23,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín",NA,NA
"Bartošovice v Orlických horách","4 714,74","4 400,04","833,07","201,60","1 766,05","1 169,11","288,26","0,00","217,00","22,00","36,00","81,00","61,00","8,00","9,00","51,00","13,00","1 121,33","6 892,08","20,00","411,29","5 770,75","6 480,79","6,00","2,00","3,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou",NA,NA
"Bartoušov","1 062,34","1 464,79","111,00","10,67","447,48","258,33","106,89","0,00","166,00","25,00","24,00","56,00","41,00","11,00","9,00","20,00","13,00","217,89","1 951,68","0,00","441,86","1 733,79","1 509,82","5,00","2,00","1,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod",NA,NA
"Baška","26 686,99","27 940,72","4 469,55","93,60","5 298,72","5 217,87","2 984,62","36,00","3 536,00","544,00","526,00","1 143,00","1 062,00","139,00","122,00","767,00","191,00","7 454,17","40 706,36","132,00","8 720,65","33 252,19","31 985,71","74,00","31,00","35,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek",NA,NA
"Bašnice","1 337,69","2 827,84","9 614,00","0,00","10 658,51","132,13","215,58","0,00","187,00","41,00","25,00","57,00","52,00","6,00","6,00","49,00","7,00","9 829,58","12 789,55","6,00","793,41","2 959,97","11 996,13","3,00","5,00","2,00","Královéhradecký kraj","HOŘICE","Jičín",NA,NA
"Bašť","9 041,94","9 761,29","20 655,10","539,00","4 604,39","4 726,60","1 071,49","36,00","1 414,00","97,00","299,00","470,00","473,00","33,00","42,00","363,00","30,00","21 726,59","36 753,48","156,00","23 107,15","15 026,89","13 646,33","50,00","6,00","25,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ",NA,NA
"Batelov","25 390,81","21 488,15","302,22","2 478,55","12 116,48","3 012,88","4 623,18","5,00","2 343,00","377,00","358,00","745,00","688,00","89,00","86,00","339,00","114,00","4 925,40","31 904,98","41,00","-5 602,31","26 979,58","37 507,29","34,00","25,00","19,00","Vysočina","JIHLAVA","Jihlava","1,00","15,00"
"Batňovice","6 359,19","5 091,36","1 103,19","223,07","2 246,22","2 100,06","1 152,53","3,00","748,00","129,00","108,00","246,00","208,00","29,00","28,00","172,00","48,00","2 255,72","9 670,20","19,00","1 064,80","7 414,49","8 605,40","21,00","8,00","10,00","Královéhradecký kraj","TRUTNOV","Trutnov",NA,NA
"Bavorov","27 719,71","13 900,50","0,00","500,09","3 540,04","4 068,94","10 957,38","0,00","1 498,00","245,00","215,00","494,00","444,00","51,00","49,00","324,00","89,00","10 957,38","29 426,91","42,00","-1 832,84","18 469,53","31 259,75","22,00","16,00","15,00","Jihočeský kraj","VODŇANY","Strakonice","1,00","14,00"
"Bavory","4 059,11","3 171,23","108,99","48,84","163,53","738,60","1 531,36","2,00","408,00","44,00","64,00","130,00","131,00","20,00","19,00","89,00","30,00","1 640,35","5 599,02","10,00","1 376,38","3 958,67","4 222,64","5,00","2,00","2,00","Jihomoravský kraj","MIKULOV","Břeclav",NA,NA
"Bavoryně","5 257,38","1 432,35","0,00","622,85","2 807,57","2 766,36","209,04","0,00","213,00","25,00","40,00","62,00","64,00","11,00","11,00","49,00","5,00","209,04","5 030,60","9,00","-3 034,35","4 821,56","8 064,95","5,00","0,00","0,00","Středočeský kraj","BEROUN","Beroun",NA,NA
"Bdeněves","3 729,64","4 148,72","7 149,30","21,65","527,08","624,29","459,42","6,00","606,00","83,00","109,00","194,00","184,00","22,00","14,00","119,00","28,00","7 608,72","12 403,38","25,00","8 146,66","4 794,66","4 256,72","13,00","4,00","12,00","Plzeňský kraj","NÝŘANY","Plzeň-sever",NA,NA
"Bdín","375,77","556,86","0,00","0,00","0,00","60,39","95,86","0,00","59,00","15,00","10,00","13,00","18,00","2,00","1,00","12,00","1,00","95,86","713,11","1,00","337,34","617,25","375,77","0,00","1,00","1,00","Středočeský kraj","RAKOVNÍK","Rakovník",NA,NA
"Běchary","2 668,15","2 615,95","2 689,99","0,00","1 676,36","406,26","184,46","0,00","225,00","38,00","32,00","78,00","66,00","5,00","6,00","39,00","19,00","2 874,45","5 896,66","5,00","1 552,15","3 022,21","4 344,51","3,00","1,00","0,00","Královéhradecký kraj","JIČÍN","Jičín",NA,NA
"Bechlín","13 591,20","9 828,04","146,00","5 091,63","5 879,17","977,16","1 888,56","1,00","1 227,00","156,00","222,00","376,00","380,00","41,00","52,00","240,00","63,00","2 034,56","17 931,39","21,00","-1 538,98","15 896,83","19 470,37","30,00","20,00","17,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice",NA,NA
"Bechyně","91 761,80","49 437,94","645,31","4 184,58","16 181,68","45 850,89","11 891,25","11,00","5 455,00","950,00","718,00","1 813,00","1 674,00","164,00","136,00","1 435,00","301,00","12 536,56","112 009,98","108,00","4 066,50","99 473,41","107 943,48","145,00","52,00","59,00","Jihočeský kraj","TÁBOR","Tábor","2,00","56,00"
"Bečice","512,78","709,78","0,00","0,00","60,00","110,99","131,24","0,00","75,00","19,00","7,00","28,00","16,00","3,00","2,00","22,00","5,00","131,24","952,01","6,00","379,23","820,77","572,78","1,00","0,00","1,00","Jihočeský kraj","TÁBOR","Tábor",NA,NA
"Bečice","1 768,64","1 103,62","0,00","92,92","230,40","513,29","260,93","0,00","103,00","26,00","12,00","37,00","22,00","4,00","2,00","23,00","2,00","260,93","1 970,76","0,00","-28,28","1 709,83","1 999,04","0,00","2,00","0,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice",NA,NA
"Bečov","46 488,89","20 742,86","0,00","1 666,60","6 089,90","28 224,03","3 620,72","2,00","1 857,00","158,00","392,00","613,00","583,00","48,00","63,00","205,00","222,00","3 620,72","54 254,21","42,00","1 675,42","50 633,49","52 578,79","103,00","11,00","26,00","Ústecký kraj","MOST","Most",NA,NA
"Bečov nad Teplou","13 863,62","8 408,12","328,86","365,58","518,46","822,75","1 554,39","1,00","1 021,00","167,00","143,00","336,00","285,00","48,00","42,00","254,00","51,00","1 883,25","11 479,70","32,00","-2 902,38","9 596,45","14 382,08","16,00","7,00","9,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary",NA,NA
"Bečváry","7 556,87","9 360,74","0,00","0,00","900,73","1 021,65","844,88","2,00","992,00","163,00","119,00","297,00","322,00","50,00","41,00","160,00","42,00","844,88","11 227,27","27,00","2 769,67","10 382,39","8 457,60","26,00","14,00","9,00","Středočeský kraj","KOLÍN","Kolín",NA,NA
"Bedihošť","7 882,94","8 428,46","0,00","928,35","545,34","1 898,21","1 678,31","0,00","1 052,00","141,00","161,00","352,00","326,00","38,00","34,00","255,00","61,00","1 678,31","12 933,34","35,00","4 505,04","11 255,02","8 428,30","22,00","4,00","9,00","Olomoucký kraj","PROSTĚJOV","Prostějov",NA,NA
"Bednárec","883,31","1 121,31","0,00","0,00","86,40","104,88","120,92","0,00","107,00","24,00","19,00","37,00","23,00","4,00","0,00","19,00","2,00","120,92","1 347,11","7,00","377,40","1 226,19","969,71","1,00","2,00","2,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec",NA,NA
"Bednáreček","1 827,77","1 682,30","0,00","4,59","16,44","391,65","256,43","0,00","204,00","32,00","36,00","59,00","60,00","7,00","10,00","38,00","9,00","256,43","2 334,97","10,00","490,76","2 078,54","1 844,21","8,00","1,00","4,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec",NA,NA
"Bedřichov","8 989,74","4 825,56","190,00","1 202,50","0,00","3 752,50","111,28","3,00","311,00","25,00","55,00","104,00","107,00","8,00","12,00","135,00","5,00","301,28","10 081,84","13,00","1 092,10","9 780,56","8 989,74","28,00","2,00","5,00","Liberecký kraj","JABLONEC NAD NISOU","Jablonec n.Nisou",NA,NA
"Bedřichov","2 305,13","2 035,68","388,24","6,04","623,25","171,19","123,54","2,00","249,00","36,00","42,00","77,00","79,00","6,00","9,00","43,00","11,00","511,78","2 724,69","6,00","-203,69","2 212,91","2 928,38","4,00","5,00","2,00","Jihomoravský kraj","BOSKOVICE","Blansko",NA,NA
"Běhařov","2 986,46","1 978,10","448,16","846,90","1 725,53","998,70","3 502,55","0,00","188,00","25,00","21,00","70,00","64,00","3,00","5,00","43,00","6,00","3 950,71","7 774,41","10,00","3 062,42","3 823,70","4 711,99","4,00","2,00","1,00","Plzeňský kraj","KLATOVY","Klatovy",NA,NA
"Běhařovice","4 167,61","3 991,83","750,64","0,00","1 458,50","730,79","640,25","0,00","393,00","74,00","51,00","130,00","98,00","22,00","18,00","76,00","33,00","1 390,89","6 113,51","7,00","487,40","4 722,62","5 626,11","7,00","5,00","6,00","Jihomoravský kraj","ZNOJMO","Znojmo",NA,NA
"Bělá","1 966,66","2 109,70","200,00","7,48","251,55","709,81","141,61","0,00","268,00","34,00","37,00","90,00","81,00","10,00","16,00","49,00","11,00","341,61","3 168,60","16,00","950,39","2 826,99","2 218,21","6,00","5,00","6,00","Liberecký kraj","SEMILY","Semily",NA,NA
"Bělá","5 453,47","4 725,74","3 963,64","64,40","11 037,60","381,80","1 034,63","1,00","669,00","116,00","83,00","230,00","211,00","19,00","10,00","91,00","48,00","4 998,27","10 170,21","10,00","-6 320,86","5 171,94","16 491,07","13,00","14,00","5,00","Moravskoslezský kraj","HLUČÍN","Opava",NA,NA
"Bělá","615,63","455,26","111,00","0,00","388,42","490,76","100,94","0,00","48,00","13,00","9,00","15,00","11,00","0,00","0,00","6,00","7,00","211,94","1 157,96","3,00","153,91","946,02","1 004,05","3,00","0,00","0,00","Vysočina","PELHŘIMOV","Pelhřimov",NA,NA
"Bělá","1 404,94","1 587,51","0,00","6,74","5 071,00","202,70","126,05","0,00","211,00","42,00","27,00","71,00","52,00","9,00","10,00","34,00","9,00","126,05","1 923,00","8,00","-4 552,94","1 796,95","6 475,94","4,00","3,00","4,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod",NA,NA
"Bělá nad Radbuzou","31 582,96","20 175,30","789,51","54,93","3 738,04","15 472,38","1 254,69","4,00","1 885,00","223,00","290,00","645,00","588,00","69,00","70,00","330,00","88,00","2 044,20","37 746,81","57,00","2 425,81","35 702,61","35 321,00","49,00","16,00","19,00","Plzeňský kraj","DOMAŽLICE","Domažlice","1,00","16,00"
"Bělá nad Svitavou","7 895,47","4 211,09","0,00","13,79","723,83","5 061,67","310,04","1,00","506,00","94,00","80,00","155,00","139,00","18,00","20,00","80,00","48,00","310,04","9 596,57","15,00","977,32","9 286,55","8 619,25","28,00","9,00","7,00","Pardubický kraj","SVITAVY","Svitavy",NA,NA
"Bělá pod Bezdězem","65 724,01","53 770,00","22 221,82","612,62","17 375,33","5 765,49","10 208,82","7,00","4 987,00","745,00","760,00","1 611,00","1 509,00","176,00","186,00","889,00","240,00","32 430,64","92 578,75","91,00","9 479,41","60 148,11","83 099,34","113,00","52,00","55,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav","1,00","23,00"
"Bělá pod Pradědem","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Olomoucký kraj","JESENÍK","Jeseník",NA,NA
"Bělá u Jevíčka","2 415,02","2 996,91","0,00","0,00","0,00","395,83","287,28","0,00","345,00","80,00","37,00","108,00","96,00","13,00","11,00","47,00","20,00","287,28","3 680,01","10,00","1 265,02","3 392,74","2 415,00","18,00","8,00","3,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy",NA,NA
"Bělčice","10 414,63","9 446,97","0,00","11,45","668,68","1 853,45","1 033,51","0,00","1 007,00","192,00","136,00","301,00","284,00","42,00","52,00","216,00","74,00","1 033,51","12 345,38","20,00","1 262,07","11 311,87","11 083,31","26,00","11,00","9,00","Jihočeský kraj","BLATNÁ","Strakonice",NA,NA
