"obce","Počet obyvatel dle Sčítání lidu 1991","kraj","orp","okres"
"Bednárec","124,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bednáreček","183,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bedřichov","163,00","Liberecký kraj","JABLONEC NAD NISOU","Jablonec n.Nisou"
"Bedřichov","221,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Běhařov","149,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běhařovice","465,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bělá","278,00","Liberecký kraj","SEMILY","Semily"
"Bělá","724,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bělá","44,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bělá","222,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bělá nad Radbuzou","1 707,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bělá nad Svitavou","498,00","Pardubický kraj","SVITAVY","Svitavy"
"Bělá pod Bezdězem","4 736,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bělá pod Pradědem","1 736,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bělá u Jevíčka","395,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bělčice","1 093,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Běleč","183,00","Jihočeský kraj","TÁBOR","Tábor"
"Běleč","330,00","Středočeský kraj","KLADNO","Kladno"
"Běleč","218,00","Jihomoravský kraj","TIŠNOV","Blansko"
"Běleč nad Orlicí","183,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bělkovice-Lašťany","1 819,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Běloky","134,00","Středočeský kraj","KLADNO","Kladno"
"Bělotín","1 535,00","Olomoucký kraj","HRANICE","Přerov"
"Bělov","242,00","Zlínský kraj","OTROKOVICE","Kroměříž"
"Bělušice","179,00","Ústecký kraj","MOST","Most"
"Bělušice","244,00","Středočeský kraj","KOLÍN","Kolín"
"Benátky","92,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Benátky","255,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Benátky nad Jizerou","6 614,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Benecko","1 075,00","Liberecký kraj","JILEMNICE","Semily"
"Benešov","15 892,00","Středočeský kraj","BENEŠOV","Benešov"
"Benešov","622,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Benešov nad Černou","1 150,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Benešov nad Ploučnicí","4 233,00","Ústecký kraj","DĚČÍN","Děčín"
"Benešov u Semil","695,00","Liberecký kraj","SEMILY","Semily"
"Benešovice","180,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Benetice","198,00","Vysočina","TŘEBÍČ","Třebíč"
"Beňov","656,00","Olomoucký kraj","PŘEROV","Přerov"
"Bernardov","201,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bernartice","1 239,00","Jihočeský kraj","MILEVSKO","Písek"
"Bernartice","246,00","Středočeský kraj","VLAŠIM","Benešov"
"Bernartice","884,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bernartice","888,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bernartice nad Odrou","730,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Beroun","18 005,00","Středočeský kraj","BEROUN","Beroun"
"Beřovice","302,00","Středočeský kraj","SLANÝ","Kladno"
"Běrunice","909,00","Středočeský kraj","PODĚBRADY","Nymburk"
"Besednice","770,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Běšiny","878,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běštín","284,00","Středočeský kraj","HOŘOVICE","Beroun"
"Běstovice","376,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Běstvina","518,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bezděčí u Trnávky","216,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bezdědovice","324,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Bezděkov","278,00","Pardubický kraj","PARDUBICE","Pardubice"
"Bezděkov","812,00","Plzeňský kraj","KLATOVY","Klatovy"
"Bezděkov","256,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Bezděkov","94,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Bezděkov nad Metují","482,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Bezděkov pod Třemšínem","142,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bezděz","279,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bezdružice","981,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Bezkov","194,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bezměrov","542,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bezno","834,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bezuchov","189,00","Olomoucký kraj","PŘEROV","Přerov"
"Bezvěrov","651,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílá","371,00","Moravskoslezský kraj","FRÝDLANT N. OSTRAVICÍ","Frýdek-Místek"
"Bílá","797,00","Liberecký kraj","LIBEREC","Liberec"
"Bílá Hlína","100,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Bílá Lhota","1 119,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílá Třemešná","1 217,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílá Voda","546,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bílčice","300,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Bílé Podolí","600,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Bílé Poličany","162,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílence","188,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Bílichov","152,00","Středočeský kraj","SLANÝ","Kladno"
"Bílina","17 025,00","Ústecký kraj","BÍLINA","Teplice"
"Bílov","475,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílov","75,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílovec","7 552,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílovice","1 590,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Bílovice nad Svitavou","2 043,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Bílovice-Lutotín","446,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bílsko","229,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bílsko","191,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílsko u Hořic","95,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bílý Kámen","118,00","Vysočina","JIHLAVA","Jihlava"
"Bílý Kostel nad Nisou","743,00","Liberecký kraj","LIBEREC","Liberec"
"Bílý Potok","597,00","Liberecký kraj","FRÝDLANT","Liberec"
"Bílý Újezd","602,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Biřkov","161,00","Plzeňský kraj","KLATOVY","Klatovy"
"Biskoupky","196,00","Jihomoravský kraj","IVANČICE","Brno-venkov"
"Biskupice","247,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Biskupice","684,00","Zlínský kraj","LUHAČOVICE","Zlín"
"Biskupice","51,00","Pardubický kraj","CHRUDIM","Chrudim"
"Biskupice-Pulkov","348,00","Vysočina","TŘEBÍČ","Třebíč"
"Bítouchov","247,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bítov","423,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
