"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","kraj","orp","okres"
"Bartošovice v Orlických horách","195,00","28,00","24,00","79,00","59,00","2,00","3,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Bartoušov","149,00","21,00","29,00","48,00","41,00","4,00","6,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Baška","3 302,00","451,00","516,00","1 046,00","1 051,00","114,00","124,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek"
"Bašnice","199,00","31,00","38,00","55,00","55,00","10,00","10,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bašť","548,00","76,00","89,00","178,00","180,00","13,00","12,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Batelov","2 344,00","364,00","386,00","771,00","719,00","54,00","50,00","Vysočina","JIHLAVA","Jihlava"
"Batňovice","696,00","114,00","114,00","219,00","203,00","23,00","23,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bavorov","1 447,00","216,00","194,00","490,00","452,00","53,00","42,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bavory","396,00","40,00","57,00","135,00","147,00","8,00","9,00","Jihomoravský kraj","MIKULOV","Břeclav"
"Bavoryně","184,00","16,00","37,00","61,00","60,00","6,00","4,00","Středočeský kraj","BEROUN","Beroun"
"Bdeněves","477,00","70,00","74,00","149,00","157,00","14,00","13,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Bdín","62,00","14,00","9,00","16,00","18,00","3,00","2,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Běchary","224,00","41,00","36,00","77,00","63,00","1,00","6,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bechlín","1 155,00","160,00","185,00","384,00","380,00","22,00","24,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Bechyně","5 681,00","916,00","847,00","1 882,00","1 776,00","137,00","123,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","70,00","17,00","5,00","23,00","16,00","4,00","5,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","107,00","27,00","16,00","34,00","26,00","1,00","3,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice"
"Bečov","2 015,00","156,00","470,00","685,00","643,00","37,00","24,00","Ústecký kraj","MOST","Most"
"Bečov nad Teplou","984,00","137,00","142,00","339,00","299,00","34,00","33,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bečváry","973,00","144,00","125,00","303,00","349,00","31,00","21,00","Středočeský kraj","KOLÍN","Kolín"
"Bedihošť","1 000,00","119,00","156,00","341,00","325,00","27,00","32,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bednárec","102,00","30,00","13,00","30,00","22,00","2,00","5,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bednáreček","210,00","38,00","39,00","59,00","66,00","4,00","4,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bedřichov","267,00","24,00","49,00","87,00","99,00","3,00","5,00","Liberecký kraj","JABLONEC NAD NISOU","Jablonec n.Nisou"
"Bedřichov","242,00","35,00","50,00","72,00","76,00","6,00","3,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Běhařov","156,00","18,00","26,00","49,00","50,00","8,00","5,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běhařovice","411,00","80,00","57,00","137,00","113,00","10,00","14,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bělá","249,00","43,00","28,00","84,00","79,00","8,00","7,00","Liberecký kraj","SEMILY","Semily"
"Bělá","700,00","130,00","85,00","240,00","223,00","11,00","11,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bělá","50,00","15,00","10,00","10,00","13,00","1,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bělá","198,00","36,00","20,00","72,00","48,00","12,00","10,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bělá nad Radbuzou","1 826,00","178,00","324,00","642,00","600,00","38,00","44,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bělá nad Svitavou","476,00","81,00","72,00","150,00","131,00","27,00","15,00","Pardubický kraj","SVITAVY","Svitavy"
"Bělá pod Bezdězem","4 910,00","678,00","717,00","1 672,00","1 562,00","152,00","129,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bělá pod Pradědem","2","2","2","2","2","2","2","Olomoucký kraj","JESENÍK","Jeseník"
"Bělá u Jevíčka","355,00","77,00","30,00","125,00","97,00","15,00","11,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bělčice","992,00","154,00","152,00","317,00","298,00","41,00","30,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Běleč","178,00","27,00","33,00","62,00","48,00","4,00","4,00","Jihočeský kraj","TÁBOR","Tábor"
"Běleč","317,00","34,00","58,00","118,00","90,00","10,00","7,00","Středočeský kraj","KLADNO","Kladno"
"Běleč","2","2","2","2","2","2","2","Jihomoravský kraj","TIŠNOV","Blansko"
"Běleč nad Orlicí","234,00","32,00","37,00","82,00","69,00","6,00","8,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bělkovice-Lašťany","1 974,00","266,00","316,00","668,00","619,00","60,00","45,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Běloky","122,00","20,00","15,00","46,00","34,00","3,00","4,00","Středočeský kraj","KLADNO","Kladno"
"Bělotín","1 613,00","178,00","289,00","542,00","503,00","52,00","49,00","Olomoucký kraj","HRANICE","Přerov"
"Bělov","2","2","2","2","2","2","2","Zlínský kraj","OTROKOVICE","Kroměříž"
"Bělušice","170,00","19,00","18,00","56,00","63,00","8,00","6,00","Ústecký kraj","MOST","Most"
"Bělušice","250,00","42,00","38,00","83,00","72,00","10,00","5,00","Středočeský kraj","KOLÍN","Kolín"
"Benátky","89,00","10,00","18,00","33,00","25,00","1,00","2,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Benátky","322,00","43,00","59,00","101,00","110,00","6,00","3,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Benátky nad Jizerou","6 931,00","943,00","1 076,00","2 242,00","2 270,00","210,00","190,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Benecko","1 106,00","185,00","174,00","354,00","337,00","25,00","31,00","Liberecký kraj","JILEMNICE","Semily"
"Benešov","16 245,00","2 146,00","2 277,00","5 475,00","5 503,00","434,00","410,00","Středočeský kraj","BENEŠOV","Benešov"
"Benešov","643,00","91,00","109,00","219,00","186,00","18,00","20,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Benešov nad Černou","1 446,00","159,00","215,00","430,00","591,00","23,00","28,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Benešov nad Ploučnicí","4 031,00","473,00","650,00","1 414,00","1 282,00","110,00","102,00","Ústecký kraj","DĚČÍN","Děčín"
"Benešov u Semil","826,00","106,00","152,00","266,00","259,00","24,00","19,00","Liberecký kraj","SEMILY","Semily"
"Benešovice","177,00","27,00","28,00","53,00","57,00","6,00","6,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Benetice","188,00","25,00","33,00","61,00","55,00","6,00","8,00","Vysočina","TŘEBÍČ","Třebíč"
"Beňov","652,00","111,00","81,00","224,00","195,00","19,00","22,00","Olomoucký kraj","PŘEROV","Přerov"
"Bernardov","161,00","33,00","18,00","47,00","51,00","5,00","7,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bernartice","1 254,00","258,00","159,00","402,00","364,00","37,00","34,00","Jihočeský kraj","MILEVSKO","Písek"
"Bernartice","228,00","42,00","25,00","76,00","73,00","6,00","6,00","Středočeský kraj","VLAŠIM","Benešov"
"Bernartice","2","2","2","2","2","2","2","Olomoucký kraj","JESENÍK","Jeseník"
"Bernartice","908,00","111,00","150,00","304,00","286,00","25,00","32,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bernartice nad Odrou","822,00","110,00","142,00","267,00","262,00","18,00","23,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Beroun","17 808,00","2 465,00","2 498,00","5 854,00","5 925,00","604,00","462,00","Středočeský kraj","BEROUN","Beroun"
"Beřovice","324,00","42,00","58,00","110,00","103,00","6,00","5,00","Středočeský kraj","SLANÝ","Kladno"
"Běrunice","894,00","152,00","126,00","293,00","285,00","20,00","18,00","Středočeský kraj","PODĚBRADY","Nymburk"
"Besednice","855,00","116,00","149,00","261,00","289,00","19,00","21,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Běšiny","802,00","113,00","112,00","275,00","250,00","23,00","29,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běštín","292,00","51,00","34,00","98,00","93,00","6,00","10,00","Středočeský kraj","HOŘOVICE","Beroun"
"Běstovice","421,00","47,00","82,00","142,00","131,00","11,00","8,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Běstvina","491,00","90,00","75,00","159,00","134,00","18,00","15,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bezděčí u Trnávky","221,00","31,00","30,00","71,00","69,00","7,00","13,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bezdědovice","317,00","48,00","43,00","109,00","94,00","12,00","11,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Bezděkov","251,00","36,00","43,00","84,00","74,00","8,00","6,00","Pardubický kraj","PARDUBICE","Pardubice"
"Bezděkov","872,00","110,00","144,00","290,00","279,00","26,00","23,00","Plzeňský kraj","KLATOVY","Klatovy"
"Bezděkov","242,00","45,00","33,00","73,00","73,00","9,00","9,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Bezděkov","101,00","18,00","12,00","35,00","28,00","5,00","3,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Bezděkov nad Metují","511,00","73,00","86,00","169,00","144,00","22,00","17,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Bezděkov pod Třemšínem","155,00","21,00","21,00","54,00","49,00","5,00","5,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bezděz","272,00","37,00","33,00","95,00","88,00","10,00","9,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bezdružice","1 002,00","110,00","168,00","344,00","323,00","32,00","25,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Bezkov","208,00","38,00","32,00","61,00","63,00","9,00","5,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bezměrov","556,00","73,00","89,00","182,00","185,00","16,00","11,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bezno","873,00","99,00","147,00","280,00","295,00","24,00","28,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bezuchov","178,00","27,00","32,00","54,00","52,00","9,00","4,00","Olomoucký kraj","PŘEROV","Přerov"
"Bezvěrov","682,00","71,00","126,00","232,00","209,00","25,00","19,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílá","292,00","44,00","40,00","101,00","81,00","12,00","14,00","Moravskoslezský kraj","FRÝDLANT N. OSTRAVICÍ","Frýdek-Místek"
"Bílá","803,00","101,00","131,00","275,00","268,00","11,00","17,00","Liberecký kraj","LIBEREC","Liberec"
"Bílá Hlína","108,00","14,00","16,00","37,00","35,00","5,00","1,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Bílá Lhota","1 088,00","177,00","164,00","344,00","331,00","39,00","33,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílá Třemešná","1 366,00","186,00","237,00","436,00","414,00","44,00","49,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílá Voda","2","2","2","2","2","2","2","Olomoucký kraj","JESENÍK","Jeseník"
"Bílčice","253,00","35,00","41,00","87,00","72,00","9,00","9,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Bílé Podolí","570,00","104,00","86,00","172,00","176,00","19,00","13,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Bílé Poličany","153,00","27,00","25,00","50,00","38,00","6,00","7,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílence","219,00","25,00","45,00","74,00","67,00","5,00","3,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Bílichov","141,00","22,00","8,00","53,00","42,00","7,00","9,00","Středočeský kraj","SLANÝ","Kladno"
"Bílina","15 669,00","1 714,00","2 697,00","5 150,00","5 182,00","475,00","451,00","Ústecký kraj","BÍLINA","Teplice"
"Bílov","555,00","67,00","96,00","186,00","176,00","17,00","13,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílov","87,00","20,00","14,00","23,00","24,00","2,00","4,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílovec","7 511,00","921,00","1 220,00","2 518,00","2 426,00","228,00","198,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílovice","1 674,00","233,00","266,00","559,00","524,00","57,00","35,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Bílovice nad Svitavou","2 699,00","367,00","492,00","845,00","810,00","110,00","75,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Bílovice-Lutotín","515,00","68,00","95,00","174,00","149,00","15,00","14,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bílsko","209,00","24,00","35,00","64,00","67,00","7,00","12,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bílsko","213,00","29,00","26,00","78,00","74,00","3,00","3,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílsko u Hořic","111,00","21,00","17,00","27,00","36,00","5,00","5,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bílý Kámen","203,00","20,00","35,00","76,00","66,00","3,00","3,00","Vysočina","JIHLAVA","Jihlava"
"Bílý Kostel nad Nisou","848,00","84,00","141,00","306,00","270,00","22,00","25,00","Liberecký kraj","LIBEREC","Liberec"
"Bílý Potok","645,00","99,00","111,00","211,00","186,00","19,00","19,00","Liberecký kraj","FRÝDLANT","Liberec"
"Bílý Újezd","617,00","100,00","93,00","212,00","182,00","12,00","18,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Biřkov","132,00","22,00","21,00","35,00","46,00","2,00","6,00","Plzeňský kraj","KLATOVY","Klatovy"
"Biskoupky","178,00","30,00","22,00","59,00","58,00","4,00","5,00","Jihomoravský kraj","IVANČICE","Brno-venkov"
"Biskupice","237,00","37,00","37,00","76,00","73,00","9,00","5,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Biskupice","760,00","99,00","125,00","254,00","248,00","17,00","17,00","Zlínský kraj","LUHAČOVICE","Zlín"
"Biskupice","48,00","8,00","8,00","12,00","19,00","0,00","1,00","Pardubický kraj","CHRUDIM","Chrudim"
"Biskupice-Pulkov","284,00","62,00","45,00","90,00","72,00","9,00","6,00","Vysočina","TŘEBÍČ","Třebíč"
"Bítouchov","295,00","45,00","47,00","95,00","84,00","8,00","16,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bítov","409,00","62,00","48,00","152,00","130,00","8,00","9,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bítov","157,00","35,00","16,00","53,00","44,00","4,00","5,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bítovany","406,00","64,00","58,00","133,00","123,00","12,00","16,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bítovčice","422,00","66,00","65,00","145,00","124,00","10,00","12,00","Vysočina","JIHLAVA","Jihlava"
"Bitozeves","344,00","36,00","69,00","116,00","105,00","9,00","9,00","Ústecký kraj","ŽATEC","Louny"
"Blanné","94,00","15,00","12,00","33,00","29,00","2,00","3,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blansko","20 557,00","3 143,00","2 797,00","6 630,00","6 823,00","642,00","522,00","Jihomoravský kraj","BLANSKO","Blansko"
"Blatce","65,00","6,00","10,00","24,00","16,00","3,00","6,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blatec","577,00","71,00","96,00","192,00","185,00","15,00","18,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Blatná","6 667,00","990,00","941,00","2 131,00","2 171,00","213,00","221,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Blatnice","374,00","52,00","63,00","133,00","110,00","9,00","7,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Blatnice","687,00","108,00","94,00","242,00","201,00","20,00","22,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blatnice pod Svatým Antonínkem","2 153,00","344,00","289,00","736,00","674,00","58,00","52,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatnička","426,00","62,00","53,00","148,00","139,00","12,00","12,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatno","354,00","55,00","43,00","130,00","101,00","12,00","13,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Blatno","525,00","73,00","80,00","175,00","174,00","12,00","11,00","Ústecký kraj","PODBOŘANY","Louny"
"Blažejov","297,00","40,00","51,00","102,00","81,00","11,00","12,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Blažejovice","99,00","17,00","8,00","40,00","24,00","7,00","3,00","Středočeský kraj","VLAŠIM","Benešov"
"Blazice","205,00","47,00","15,00","74,00","63,00","4,00","2,00","Zlínský kraj","BYSTŘICE POD HOSTÝNEM","Kroměříž"
"Blažim","65,00","7,00","13,00","23,00","21,00","1,00","0,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blažim","241,00","13,00","57,00","83,00","82,00","5,00","1,00","Ústecký kraj","ŽATEC","Louny"
"Blažkov","292,00","42,00","49,00","99,00","86,00","8,00","8,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Blažovice","1 076,00","174,00","151,00","371,00","334,00","25,00","21,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Blešno","310,00","33,00","46,00","106,00","99,00","13,00","13,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Blevice","281,00","41,00","49,00","88,00","83,00","12,00","8,00","Středočeský kraj","KLADNO","Kladno"
"Blížejov","1 193,00","141,00","194,00","417,00","381,00","27,00","33,00","Plzeňský kraj","HORŠOVSKÝ TÝN","Domažlice"
"Blíževedly","628,00","58,00","99,00","233,00","199,00","22,00","17,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blízkov","333,00","50,00","56,00","106,00","96,00","13,00","12,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Blížkovice","1 240,00","148,00","218,00","419,00","401,00","27,00","27,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blovice","3 933,00","603,00","611,00","1 248,00","1 241,00","130,00","100,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Blšany","919,00","151,00","145,00","294,00","274,00","30,00","25,00","Ústecký kraj","PODBOŘANY","Louny"
"Blšany u Loun","221,00","35,00","30,00","72,00","73,00","8,00","3,00","Ústecký kraj","LOUNY","Louny"
"Blučina","2 039,00","300,00","305,00","676,00","646,00","52,00","60,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov"
"Bludov","27,00","3,00","1,00","13,00","9,00","1,00","0,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bobnice","794,00","111,00","118,00","268,00","257,00","20,00","20,00","Středočeský kraj","NYMBURK","Nymburk"
"Bobrová","934,00","145,00","152,00","314,00","297,00","16,00","10,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bobrůvka","231,00","45,00","38,00","74,00","58,00","11,00","5,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bocanovice","435,00","51,00","81,00","137,00","151,00","9,00","6,00","Moravskoslezský kraj","JABLUNKOV","Frýdek-Místek"
"Bochoř","1 013,00","174,00","190,00","305,00","299,00","29,00","16,00","Olomoucký kraj","PŘEROV","Přerov"
"Bochov","1 973,00","219,00","382,00","661,00","606,00","57,00","48,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bochovice","149,00","27,00","20,00","56,00","42,00","2,00","2,00","Vysočina","TŘEBÍČ","Třebíč"
"Boháňka","215,00","33,00","29,00","73,00","66,00","6,00","8,00","Královéhradecký kraj","HOŘICE","Jičín"
"Boharyně","531,00","63,00","96,00","164,00","176,00","16,00","16,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bohaté Málkovice","257,00","35,00","35,00","91,00","81,00","8,00","7,00","Jihomoravský kraj","BUČOVICE","Vyškov"
"Bohatice","148,00","20,00","20,00","49,00","49,00","5,00","5,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bohdalec","293,00","46,00","48,00","99,00","88,00","6,00","6,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
