"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","kraj","orp","okres"
"Abertamy","1 425,00","119,00","254,00","523,00","479,00","27,00","23,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","4 859,00","712,00","723,00","1 590,00","1 554,00","153,00","127,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","103,00","27,00","11,00","33,00","27,00","2,00","3,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","515,00","49,00","66,00","177,00","188,00","18,00","17,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","526,00","38,00","76,00","199,00","176,00","20,00","17,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","489,00","59,00","67,00","177,00","164,00","12,00","10,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","3 954,00","485,00","608,00","1 366,00","1 294,00","92,00","109,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","1 071,00","205,00","141,00","345,00","329,00","23,00","28,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","838,00","157,00","105,00","279,00","244,00","30,00","23,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","334,00","49,00","58,00","108,00","99,00","12,00","8,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
"Albrechtičky","662,00","118,00","95,00","218,00","206,00","13,00","12,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Alojzov","229,00","36,00","27,00","70,00","76,00","10,00","10,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Andělská Hora","366,00","38,00","48,00","137,00","126,00","9,00","8,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Andělská Hora","224,00","27,00","28,00","79,00","69,00","11,00","10,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Anenská Studánka","195,00","17,00","22,00","40,00","106,00","6,00","4,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Archlebov","880,00","172,00","118,00","281,00","274,00","19,00","16,00","Jihomoravský kraj","KYJOV","Hodonín"
"Arneštovice","80,00","24,00","5,00","22,00","24,00","3,00","2,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Arnolec","179,00","20,00","25,00","59,00","63,00","3,00","9,00","Vysočina","JIHLAVA","Jihlava"
"Arnoltice","304,00","25,00","54,00","110,00","95,00","9,00","11,00","Ústecký kraj","DĚČÍN","Děčín"
"Aš","12 840,00","1 449,00","1 962,00","4 323,00","4 416,00","367,00","323,00","Karlovarský kraj","AŠ","Cheb"
"Babice","194,00","33,00","25,00","64,00","60,00","6,00","6,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Babice","202,00","32,00","26,00","73,00","59,00","6,00","6,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Babice","85,00","16,00","19,00","26,00","19,00","1,00","4,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Babice","343,00","40,00","58,00","118,00","105,00","11,00","11,00","Středočeský kraj","ŘÍČANY","Praha-východ"
"Babice","1 735,00","234,00","256,00","582,00","567,00","55,00","41,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Babice","411,00","45,00","61,00","142,00","138,00","13,00","12,00","Olomoucký kraj","ŠTERNBERK","Olomouc"
"Babice nad Svitavou","898,00","130,00","138,00","289,00","285,00","25,00","31,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Babice u Rosic","572,00","98,00","95,00","182,00","167,00","19,00","11,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Babylon","274,00","31,00","40,00","96,00","88,00","9,00","10,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bačalky","158,00","33,00","16,00","49,00","50,00","5,00","5,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bačetín","390,00","56,00","61,00","134,00","122,00","7,00","10,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bačice","195,00","29,00","21,00","61,00","65,00","7,00","12,00","Vysočina","TŘEBÍČ","Třebíč"
"Bačkov","138,00","24,00","23,00","41,00","39,00","7,00","4,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bačkovice","124,00","28,00","12,00","43,00","36,00","3,00","2,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bácovice","48,00","12,00","8,00","12,00","11,00","4,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bakov nad Jizerou","4 558,00","700,00","687,00","1 497,00","1 423,00","136,00","115,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Baliny","113,00","27,00","16,00","38,00","30,00","2,00","0,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Balkova Lhota","120,00","22,00","20,00","35,00","36,00","4,00","3,00","Jihočeský kraj","TÁBOR","Tábor"
"Banín","304,00","44,00","50,00","100,00","93,00","10,00","7,00","Pardubický kraj","SVITAVY","Svitavy"
"Bánov","2 080,00","284,00","330,00","688,00","661,00","59,00","58,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Báňovice","107,00","20,00","21,00","32,00","31,00","2,00","1,00","Jihočeský kraj","DAČICE","Jindřichův Hradec"
"Bantice","237,00","19,00","46,00","84,00","75,00","5,00","8,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Barchov","237,00","45,00","26,00","74,00","83,00","6,00","3,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Barchov","157,00","19,00","22,00","62,00","45,00","3,00","6,00","Pardubický kraj","PARDUBICE","Pardubice"
"Barchovice","205,00","31,00","27,00","65,00","71,00","6,00","5,00","Středočeský kraj","KOLÍN","Kolín"
"Bařice-Velké Těšany","452,00","71,00","60,00","157,00","139,00","12,00","13,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bartošovice","1 589,00","172,00","261,00","553,00","526,00","37,00","40,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
