"obce","Počet obyvatel dle Sčítání lidu 1961","kraj","orp","okres"
"Bělčice","1 586,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Běleč","279,00","Jihočeský kraj","TÁBOR","Tábor"
"Běleč","373,00","Středočeský kraj","KLADNO","Kladno"
"Běleč","323,00","Jihomoravský kraj","TIŠNOV","Blansko"
"Běleč nad Orlicí","245,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bělkovice-Lašťany","1 821,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Běloky","180,00","Středočeský kraj","KLADNO","Kladno"
"Bělotín","2 004,00","Olomoucký kraj","HRANICE","Přerov"
"Bělov","375,00","Zlínský kraj","OTROKOVICE","Kroměříž"
"Bělušice","304,00","Ústecký kraj","MOST","Most"
"Bělušice","338,00","Středočeský kraj","KOLÍN","Kolín"
"Benátky","172,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Benátky","308,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Benátky nad Jizerou","5 840,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Benecko","1 365,00","Liberecký kraj","JILEMNICE","Semily"
"Benešov","9 774,00","Středočeský kraj","BENEŠOV","Benešov"
"Benešov","872,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Benešov nad Černou","1 767,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Benešov nad Ploučnicí","3 570,00","Ústecký kraj","DĚČÍN","Děčín"
"Benešov u Semil","1 047,00","Liberecký kraj","SEMILY","Semily"
"Benešovice","260,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Benetice","185,00","Vysočina","TŘEBÍČ","Třebíč"
"Beňov","827,00","Olomoucký kraj","PŘEROV","Přerov"
"Bernardov","247,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bernartice","1 994,00","Jihočeský kraj","MILEVSKO","Písek"
"Bernartice","416,00","Středočeský kraj","VLAŠIM","Benešov"
"Bernartice","1 188,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bernartice","1 215,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bernartice nad Odrou","775,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Beroun","16 134,00","Středočeský kraj","BEROUN","Beroun"
"Beřovice","453,00","Středočeský kraj","SLANÝ","Kladno"
"Běrunice","1 365,00","Středočeský kraj","PODĚBRADY","Nymburk"
"Besednice","818,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Běšiny","1 075,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běštín","533,00","Středočeský kraj","HOŘOVICE","Beroun"
"Běstovice","335,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Běstvina","945,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bezděčí u Trnávky","276,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bezdědovice","409,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Bezděkov","294,00","Pardubický kraj","PARDUBICE","Pardubice"
"Bezděkov","940,00","Plzeňský kraj","KLATOVY","Klatovy"
"Bezděkov","315,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Bezděkov","171,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Bezděkov nad Metují","571,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Bezděkov pod Třemšínem","153,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bezděz","327,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bezdružice","1 055,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Bezkov","260,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bezměrov","689,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bezno","866,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bezuchov","255,00","Olomoucký kraj","PŘEROV","Přerov"
"Bezvěrov","822,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílá","670,00","Moravskoslezský kraj","FRÝDLANT N. OSTRAVICÍ","Frýdek-Místek"
"Bílá","954,00","Liberecký kraj","LIBEREC","Liberec"
"Bílá Hlína","144,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Bílá Lhota","1 705,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílá Třemešná","1 466,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílá Voda","673,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bílčice","384,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Bílé Podolí","1 044,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Bílé Poličany","265,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílence","385,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Bílichov","255,00","Středočeský kraj","SLANÝ","Kladno"
"Bílina","13 726,00","Ústecký kraj","BÍLINA","Teplice"
"Bílov","594,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílov","137,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílovec","6 380,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílovice","1 660,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Bílovice nad Svitavou","2 455,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Bílovice-Lutotín","632,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bílsko","326,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bílsko","212,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílsko u Hořic","194,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bílý Kámen","127,00","Vysočina","JIHLAVA","Jihlava"
"Bílý Kostel nad Nisou","959,00","Liberecký kraj","LIBEREC","Liberec"
"Bílý Potok","945,00","Liberecký kraj","FRÝDLANT","Liberec"
"Bílý Újezd","786,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Biřkov","198,00","Plzeňský kraj","KLATOVY","Klatovy"
"Biskoupky","272,00","Jihomoravský kraj","IVANČICE","Brno-venkov"
"Biskupice","308,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Biskupice","584,00","Zlínský kraj","LUHAČOVICE","Zlín"
"Biskupice","144,00","Pardubický kraj","CHRUDIM","Chrudim"
"Biskupice-Pulkov","598,00","Vysočina","TŘEBÍČ","Třebíč"
"Bítouchov","416,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bítov","442,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bítov","244,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bítovany","563,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bítovčice","500,00","Vysočina","JIHLAVA","Jihlava"
"Bitozeves","636,00","Ústecký kraj","ŽATEC","Louny"
"Blanné","119,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blansko","12 673,00","Jihomoravský kraj","BLANSKO","Blansko"
"Blatce","250,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blatec","544,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Blatná","4 722,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Blatnice","438,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Blatnice","896,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blatnice pod Svatým Antonínkem","2 393,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatnička","529,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatno","452,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Blatno","642,00","Ústecký kraj","PODBOŘANY","Louny"
"Blažejov","516,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Blažejovice","245,00","Středočeský kraj","VLAŠIM","Benešov"
"Blazice","330,00","Zlínský kraj","BYSTŘICE POD HOSTÝNEM","Kroměříž"
"Blažim","119,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blažim","267,00","Ústecký kraj","ŽATEC","Louny"
"Blažkov","301,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Blažovice","1 081,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Blešno","286,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Blevice","349,00","Středočeský kraj","KLADNO","Kladno"
"Blížejov","1 508,00","Plzeňský kraj","HORŠOVSKÝ TÝN","Domažlice"
"Blíževedly","739,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blízkov","435,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Blížkovice","1 271,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blovice","3 696,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Blšany","1 559,00","Ústecký kraj","PODBOŘANY","Louny"
"Blšany u Loun","304,00","Ústecký kraj","LOUNY","Louny"
"Blučina","1 989,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov"
"Bludov","83,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bobnice","979,00","Středočeský kraj","NYMBURK","Nymburk"
"Bobrová","1 013,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bobrůvka","328,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bocanovice","445,00","Moravskoslezský kraj","JABLUNKOV","Frýdek-Místek"
"Bochoř","1 416,00","Olomoucký kraj","PŘEROV","Přerov"
"Bochov","2 079,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bochovice","267,00","Vysočina","TŘEBÍČ","Třebíč"
"Boháňka","330,00","Královéhradecký kraj","HOŘICE","Jičín"
"Boharyně","649,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bohaté Málkovice","377,00","Jihomoravský kraj","BUČOVICE","Vyškov"
"Bohatice","197,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bohdalec","361,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
"Bohdalice-Pavlovice","955,00","Jihomoravský kraj","VYŠKOV","Vyškov"
"Bohdalín","321,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bohdalov","935,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
"Bohdalovice","454,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Bohdaneč","721,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bohdašín","299,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bohdíkov","1 692,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Bohostice","356,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bohumilice","394,00","Jihočeský kraj","VIMPERK","Prachatice"
"Bohumín","21 833,00","Moravskoslezský kraj","BOHUMÍN","Karviná"
"Bohunice","107,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Bohuňov","238,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Bohuňov","317,00","Pardubický kraj","SVITAVY","Svitavy"
"Bohuňovice","2 031,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Bohuňovice","174,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Bohušice","208,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bohuslavice","337,00","Olomoucký kraj","KONICE","Prostějov"
"Bohuslavice","1 429,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bohuslavice","121,00","Vysočina","TELČ","Jihlava"
"Bohuslavice","474,00","Olomoucký kraj","ZÁBŘEH","Šumperk"
"Bohuslavice nad Vláří","526,00","Zlínský kraj","LUHAČOVICE","Zlín"
"Bohuslavice u Zlína","793,00","Zlínský kraj","ZLÍN","Zlín"
"Bohuslávky","413,00","Olomoucký kraj","LIPNÍK NAD BEČVOU","Přerov"
"Bohušov","673,00","Moravskoslezský kraj","KRNOV","Bruntál"
"Bohušovice nad Ohří","1 739,00","Ústecký kraj","LITOMĚŘICE","Litoměřice"
"Bohutice","800,00","Jihomoravský kraj","MORAVSKÝ KRUMLOV","Znojmo"
"Bohutín","1 399,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bohutín","496,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Bohy","171,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bojanov","957,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bojanovice","562,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Bojanovice","244,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bojiště","294,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bojkovice","4 532,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Bolatice","3 256,00","Moravskoslezský kraj","KRAVAŘE","Opava"
"Boleboř","233,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Bolehošť","722,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Boleradice","1 093,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Bolešiny","737,00","Plzeňský kraj","KLATOVY","Klatovy"
"Boletice","329,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Bolkov","136,00","Plzeňský kraj","PŘEŠTICE","Plzeň-jih"
"Boňkov","130,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bor","3 460,00","Plzeňský kraj","TACHOV","Tachov"
"Bor u Skutče","248,00","Pardubický kraj","CHRUDIM","Chrudim"
"Borač","508,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Bořanovice","579,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Bordovice","601,00","Moravskoslezský kraj","FRENŠTÁT P. RADHOŠTĚM","Nový Jičín"
"Boreč","396,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Borek","174,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Mělník"
"Borek","207,00","Pardubický kraj","PARDUBICE","Pardubice"
"Borek","182,00","Královéhradecký kraj","HOŘICE","Jičín"
"Borek","296,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Borek","325,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Bořenovice","291,00","Zlínský kraj","HOLEŠOV","Kroměříž"
"Bořetice","1 473,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Bořetice","126,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bořetín","186,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bořetín","204,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bořice","288,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bořislav","453,00","Ústecký kraj","TEPLICE","Teplice"
"Bořitov","1 243,00","Jihomoravský kraj","BLANSKO","Blansko"
"Borkovany","1 132,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Borkovice","353,00","Jihočeský kraj","SOBĚSLAV","Tábor"
"Borohrádek","2 055,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Borotice","622,00","Středočeský kraj","DOBŘÍŠ","Příbram"
"Borotice","422,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Borotín","923,00","Jihočeský kraj","TÁBOR","Tábor"
"Borotín","575,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Borová","354,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Borová","887,00","Pardubický kraj","POLIČKA","Svitavy"
"Borová Lada","277,00","Jihočeský kraj","VIMPERK","Prachatice"
"Borovany","322,00","Jihočeský kraj","MILEVSKO","Písek"
"Borovany","2 740,00","Jihočeský kraj","TRHOVÉ SVINY","České Budějovice"
"Borovná","157,00","Vysočina","TELČ","Jihlava"
"Borovnice","361,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Borovnice","155,00","Středočeský kraj","VLAŠIM","Benešov"
"Borovnice","503,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Borovnice","723,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Borovnice","139,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Borovnička","418,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Borovník","115,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Borovno","157,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Borovy","354,00","Plzeňský kraj","PŘEŠTICE","Klatovy"
"Boršice","2 121,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Boršice u Blatnice","1 025,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Boršov","186,00","Vysočina","JIHLAVA","Jihlava"
"Boršov nad Vltavou","1 135,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Borušov","256,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bory","742,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Boseň","595,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Bošice","539,00","Jihočeský kraj","VIMPERK","Prachatice"
"Bošilec","317,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Bošín","133,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Boskovice","8 235,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Boskovštejn","363,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bošovice","1 201,00","Jihomoravský kraj","SLAVKOV U BRNA","Vyškov"
"Boudy","301,00","Jihočeský kraj","PÍSEK","Písek"
"Bousín","326,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bousov","279,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bouzov","2 030,00","Olomoucký kraj","LITOVEL","Olomouc"
"Božanov","553,00","Královéhradecký kraj","BROUMOV","Náchod"
"Božejov","522,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Božetice","497,00","Jihočeský kraj","MILEVSKO","Písek"
"Boží Dar","341,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Božičany","654,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Božice","1 606,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bozkov","726,00","Liberecký kraj","SEMILY","Semily"
"Brada-Rybníček","131,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bradáčov","192,00","Jihočeský kraj","TÁBOR","Tábor"
"Bradlec","244,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bradlecká Lhota","274,00","Liberecký kraj","SEMILY","Semily"
"Brambory","91,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Braňany","1 927,00","Ústecký kraj","MOST","Most"
"Brandov","453,00","Ústecký kraj","LITVÍNOV","Most"
"Brandýs nad Labem-Stará Boleslav","13 292,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Brandýs nad Orlicí","1 499,00","Pardubický kraj","ÚSTÍ NAD ORLICÍ","Ústí nad Orlicí"
"Brandýsek","2 089,00","Středočeský kraj","KLADNO","Kladno"
"Branice","298,00","Jihočeský kraj","MILEVSKO","Písek"
"Braníškov","229,00","Jihomoravský kraj","TIŠNOV","Brno-venkov"
"Branišov","190,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Branka u Opavy","638,00","Moravskoslezský kraj","OPAVA","Opava"
"Brankovice","1 001,00","Jihomoravský kraj","BUČOVICE","Vyškov"
"Branky","1 013,00","Zlínský kraj","VALAŠSKÉ MEZIŘÍČÍ","Vsetín"
"Branná","525,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Branov","347,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Bransouze","348,00","Vysočina","TŘEBÍČ","Třebíč"
"Brantice","1 467,00","Moravskoslezský kraj","KRNOV","Bruntál"
"Branžež","344,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Braškov","926,00","Středočeský kraj","KLADNO","Kladno"
"Břasy","3 293,00","Plzeňský kraj","ROKYCANY","Rokycany"
