"obce","Počet obyvatel dle Sčítání lidu 1961","kraj","orp","okres"
"Abertamy","1 715,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","3 139,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","226,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","441,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","660,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","517,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","2 184,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","1 052,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","1 528,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","684,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
"Albrechtičky","1 188,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Alojzov","237,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Andělská Hora","579,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Andělská Hora","287,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Anenská Studánka","311,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Archlebov","1 288,00","Jihomoravský kraj","KYJOV","Hodonín"
"Arneštovice","165,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Arnolec","271,00","Vysočina","JIHLAVA","Jihlava"
"Arnoltice","340,00","Ústecký kraj","DĚČÍN","Děčín"
"Aš","11 209,00","Karlovarský kraj","AŠ","Cheb"
"Babice","281,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Babice","319,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Babice","143,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Babice","348,00","Středočeský kraj","ŘÍČANY","Praha-východ"
"Babice","1 622,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Babice","465,00","Olomoucký kraj","ŠTERNBERK","Olomouc"
"Babice nad Svitavou","1 008,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Babice u Rosic","737,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Babylon","236,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bačalky","362,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bačetín","328,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bačice","346,00","Vysočina","TŘEBÍČ","Třebíč"
"Bačkov","130,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bačkovice","217,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bácovice","97,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bakov nad Jizerou","5 020,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Baliny","142,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Balkova Lhota","170,00","Jihočeský kraj","TÁBOR","Tábor"
"Banín","403,00","Pardubický kraj","SVITAVY","Svitavy"
"Bánov","2 391,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Báňovice","142,00","Jihočeský kraj","DAČICE","Jindřichův Hradec"
"Bantice","341,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Barchov","281,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Barchov","263,00","Pardubický kraj","PARDUBICE","Pardubice"
"Barchovice","398,00","Středočeský kraj","KOLÍN","Kolín"
"Bařice-Velké Těšany","595,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bartošovice","1 968,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Bartošovice v Orlických horách","359,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Bartoušov","248,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Baška","3 264,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek"
"Bašnice","285,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bašť","670,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Batelov","2 486,00","Vysočina","JIHLAVA","Jihlava"
"Batňovice","853,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bavorov","2 027,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bavory","375,00","Jihomoravský kraj","MIKULOV","Břeclav"
"Bavoryně","233,00","Středočeský kraj","BEROUN","Beroun"
"Bdeněves","441,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Bdín","125,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Běchary","368,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bechlín","1 376,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Bechyně","4 818,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","111,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","195,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice"
"Bečov","1 323,00","Ústecký kraj","MOST","Most"
"Bečov nad Teplou","1 512,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bečváry","1 386,00","Středočeský kraj","KOLÍN","Kolín"
"Bedihošť","1 239,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bednárec","239,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bednáreček","332,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bedřichov","255,00","Liberecký kraj","JABLONEC NAD NISOU","Jablonec n.Nisou"
"Bedřichov","344,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Běhařov","262,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běhařovice","757,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bělá","413,00","Liberecký kraj","SEMILY","Semily"
"Bělá","707,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bělá","115,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bělá","367,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bělá nad Radbuzou","1 765,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bělá nad Svitavou","736,00","Pardubický kraj","SVITAVY","Svitavy"
"Bělá pod Bezdězem","4 642,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bělá pod Pradědem","1 802,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bělá u Jevíčka","642,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
