"obce","Počet obyvatel dle Sčítání lidu 1980","kraj","orp","okres"
"Abertamy","1 156,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","5 088,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","152,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","387,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","609,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","507,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","3 616,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","1 000,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","1 079,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","390,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
"Albrechtičky","726,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Alojzov","243,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Andělská Hora","419,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Andělská Hora","215,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Anenská Studánka","237,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Archlebov","1 002,00","Jihomoravský kraj","KYJOV","Hodonín"
"Arneštovice","101,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Arnolec","241,00","Vysočina","JIHLAVA","Jihlava"
"Arnoltice","259,00","Ústecký kraj","DĚČÍN","Děčín"
"Aš","12 925,00","Karlovarský kraj","AŠ","Cheb"
"Babice","205,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Babice","256,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Babice","65,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Babice","236,00","Středočeský kraj","ŘÍČANY","Praha-východ"
"Babice","1 615,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Babice","373,00","Olomoucký kraj","ŠTERNBERK","Olomouc"
"Babice nad Svitavou","908,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Babice u Rosic","559,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Babylon","205,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bačalky","215,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bačetín","314,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bačice","276,00","Vysočina","TŘEBÍČ","Třebíč"
"Bačkov","176,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bačkovice","190,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bácovice","82,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bakov nad Jizerou","4 601,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Baliny","128,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Balkova Lhota","122,00","Jihočeský kraj","TÁBOR","Tábor"
"Banín","328,00","Pardubický kraj","SVITAVY","Svitavy"
"Bánov","2 159,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Báňovice","115,00","Jihočeský kraj","DAČICE","Jindřichův Hradec"
"Bantice","225,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Barchov","258,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Barchov","225,00","Pardubický kraj","PARDUBICE","Pardubice"
"Barchovice","260,00","Středočeský kraj","KOLÍN","Kolín"
"Bařice-Velké Těšany","446,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bartošovice","1 605,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Bartošovice v Orlických horách","249,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Bartoušov","183,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Baška","3 076,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek"
"Bašnice","259,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bašť","614,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Batelov","2 363,00","Vysočina","JIHLAVA","Jihlava"
"Batňovice","757,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bavorov","1 670,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bavory","374,00","Jihomoravský kraj","MIKULOV","Břeclav"
"Bavoryně","188,00","Středočeský kraj","BEROUN","Beroun"
"Bdeněves","426,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Bdín","104,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Běchary","264,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bechlín","1 145,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Bechyně","5 689,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","69,00","Jihočeský kraj","TÁBOR","Tábor"
