"obce","Počet obyvatel dle Sčítání lidu 1980","kraj","orp","okres"
"Bečice","144,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice"
"Bečov","1 989,00","Ústecký kraj","MOST","Most"
"Bečov nad Teplou","1 138,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bečváry","1 148,00","Středočeský kraj","KOLÍN","Kolín"
"Bedihošť","1 109,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bednárec","142,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bednáreček","209,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bedřichov","165,00","Liberecký kraj","JABLONEC NAD NISOU","Jablonec n.Nisou"
"Bedřichov","268,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Běhařov","179,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běhařovice","512,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bělá","304,00","Liberecký kraj","SEMILY","Semily"
"Bělá","768,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bělá","60,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bělá","279,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bělá nad Radbuzou","1 573,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bělá nad Svitavou","605,00","Pardubický kraj","SVITAVY","Svitavy"
"Bělá pod Bezdězem","4 923,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bělá pod Pradědem","1 711,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bělá u Jevíčka","476,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bělčice","1 275,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Běleč","230,00","Jihočeský kraj","TÁBOR","Tábor"
"Běleč","346,00","Středočeský kraj","KLADNO","Kladno"
"Běleč","249,00","Jihomoravský kraj","TIŠNOV","Blansko"
"Běleč nad Orlicí","196,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bělkovice-Lašťany","1 905,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Běloky","147,00","Středočeský kraj","KLADNO","Kladno"
"Bělotín","1 792,00","Olomoucký kraj","HRANICE","Přerov"
"Bělov","299,00","Zlínský kraj","OTROKOVICE","Kroměříž"
"Bělušice","249,00","Ústecký kraj","MOST","Most"
"Bělušice","271,00","Středočeský kraj","KOLÍN","Kolín"
"Benátky","118,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Benátky","288,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Benátky nad Jizerou","7 104,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Benecko","1 171,00","Liberecký kraj","JILEMNICE","Semily"
"Benešov","14 258,00","Středočeský kraj","BENEŠOV","Benešov"
"Benešov","710,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Benešov nad Černou","1 246,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Benešov nad Ploučnicí","4 758,00","Ústecký kraj","DĚČÍN","Děčín"
"Benešov u Semil","839,00","Liberecký kraj","SEMILY","Semily"
"Benešovice","213,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Benetice","193,00","Vysočina","TŘEBÍČ","Třebíč"
"Beňov","767,00","Olomoucký kraj","PŘEROV","Přerov"
"Bernardov","215,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bernartice","1 416,00","Jihočeský kraj","MILEVSKO","Písek"
"Bernartice","271,00","Středočeský kraj","VLAŠIM","Benešov"
"Bernartice","898,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bernartice","982,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bernartice nad Odrou","747,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Beroun","17 387,00","Středočeský kraj","BEROUN","Beroun"
"Beřovice","326,00","Středočeský kraj","SLANÝ","Kladno"
"Běrunice","1 067,00","Středočeský kraj","PODĚBRADY","Nymburk"
"Besednice","814,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Běšiny","893,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běštín","360,00","Středočeský kraj","HOŘOVICE","Beroun"
"Běstovice","323,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Běstvina","691,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bezděčí u Trnávky","224,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bezdědovice","323,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Bezděkov","271,00","Pardubický kraj","PARDUBICE","Pardubice"
"Bezděkov","836,00","Plzeňský kraj","KLATOVY","Klatovy"
"Bezděkov","264,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Bezděkov","109,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Bezděkov nad Metují","486,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Bezděkov pod Třemšínem","174,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bezděz","295,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bezdružice","1 007,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Bezkov","212,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bezměrov","573,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bezno","837,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bezuchov","202,00","Olomoucký kraj","PŘEROV","Přerov"
"Bezvěrov","688,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílá","481,00","Moravskoslezský kraj","FRÝDLANT N. OSTRAVICÍ","Frýdek-Místek"
"Bílá","769,00","Liberecký kraj","LIBEREC","Liberec"
"Bílá Hlína","137,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Bílá Lhota","1 295,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílá Třemešná","1 342,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílá Voda","588,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bílčice","293,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Bílé Podolí","728,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Bílé Poličany","196,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílence","283,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Bílichov","155,00","Středočeský kraj","SLANÝ","Kladno"
"Bílina","18 836,00","Ústecký kraj","BÍLINA","Teplice"
"Bílov","542,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílov","96,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílovec","7 215,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílovice","1 663,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Bílovice nad Svitavou","2 253,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Bílovice-Lutotín","506,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bílsko","258,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bílsko","196,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílsko u Hořic","136,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bílý Kámen","110,00","Vysočina","JIHLAVA","Jihlava"
"Bílý Kostel nad Nisou","874,00","Liberecký kraj","LIBEREC","Liberec"
"Bílý Potok","749,00","Liberecký kraj","FRÝDLANT","Liberec"
"Bílý Újezd","673,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Biřkov","190,00","Plzeňský kraj","KLATOVY","Klatovy"
"Biskoupky","212,00","Jihomoravský kraj","IVANČICE","Brno-venkov"
"Biskupice","293,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Biskupice","635,00","Zlínský kraj","LUHAČOVICE","Zlín"
"Biskupice","76,00","Pardubický kraj","CHRUDIM","Chrudim"
"Biskupice-Pulkov","392,00","Vysočina","TŘEBÍČ","Třebíč"
"Bítouchov","315,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bítov","443,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bítov","194,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bítovany","448,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bítovčice","430,00","Vysočina","JIHLAVA","Jihlava"
"Bitozeves","424,00","Ústecký kraj","ŽATEC","Louny"
"Blanné","124,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blansko","18 912,00","Jihomoravský kraj","BLANSKO","Blansko"
"Blatce","94,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blatec","576,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Blatná","6 208,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Blatnice","416,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Blatnice","749,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blatnice pod Svatým Antonínkem","2 106,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatnička","542,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatno","305,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Blatno","592,00","Ústecký kraj","PODBOŘANY","Louny"
"Blažejov","333,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Blažejovice","174,00","Středočeský kraj","VLAŠIM","Benešov"
"Blazice","232,00","Zlínský kraj","BYSTŘICE POD HOSTÝNEM","Kroměříž"
"Blažim","104,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blažim","290,00","Ústecký kraj","ŽATEC","Louny"
"Blažkov","311,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Blažovice","1 092,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Blešno","272,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Blevice","316,00","Středočeský kraj","KLADNO","Kladno"
"Blížejov","1 200,00","Plzeňský kraj","HORŠOVSKÝ TÝN","Domažlice"
"Blíževedly","606,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blízkov","399,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Blížkovice","1 122,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blovice","3 732,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Blšany","1 207,00","Ústecký kraj","PODBOŘANY","Louny"
"Blšany u Loun","270,00","Ústecký kraj","LOUNY","Louny"
"Blučina","1 881,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov"
"Bludov","35,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bobnice","821,00","Středočeský kraj","NYMBURK","Nymburk"
"Bobrová","863,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bobrůvka","282,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bocanovice","396,00","Moravskoslezský kraj","JABLUNKOV","Frýdek-Místek"
"Bochoř","1 053,00","Olomoucký kraj","PŘEROV","Přerov"
"Bochov","1 937,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bochovice","221,00","Vysočina","TŘEBÍČ","Třebíč"
"Boháňka","259,00","Královéhradecký kraj","HOŘICE","Jičín"
"Boharyně","589,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bohaté Málkovice","301,00","Jihomoravský kraj","BUČOVICE","Vyškov"
"Bohatice","157,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bohdalec","312,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
"Bohdalice-Pavlovice","837,00","Jihomoravský kraj","VYŠKOV","Vyškov"
"Bohdalín","279,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bohdalov","999,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
"Bohdalovice","324,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Bohdaneč","513,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bohdašín","256,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bohdíkov","1 516,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Bohostice","256,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bohumilice","347,00","Jihočeský kraj","VIMPERK","Prachatice"
"Bohumín","25 177,00","Moravskoslezský kraj","BOHUMÍN","Karviná"
"Bohunice","77,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Bohuňov","230,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Bohuňov","255,00","Pardubický kraj","SVITAVY","Svitavy"
"Bohuňovice","2 144,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Bohuňovice","148,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Bohušice","153,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bohuslavice","286,00","Olomoucký kraj","KONICE","Prostějov"
"Bohuslavice","1 494,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bohuslavice","103,00","Vysočina","TELČ","Jihlava"
"Bohuslavice","464,00","Olomoucký kraj","ZÁBŘEH","Šumperk"
"Bohuslavice nad Vláří","428,00","Zlínský kraj","LUHAČOVICE","Zlín"
"Bohuslavice u Zlína","840,00","Zlínský kraj","ZLÍN","Zlín"
"Bohuslávky","418,00","Olomoucký kraj","LIPNÍK NAD BEČVOU","Přerov"
"Bohušov","579,00","Moravskoslezský kraj","KRNOV","Bruntál"
"Bohušovice nad Ohří","2 149,00","Ústecký kraj","LITOMĚŘICE","Litoměřice"
"Bohutice","701,00","Jihomoravský kraj","MORAVSKÝ KRUMLOV","Znojmo"
"Bohutín","1 344,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bohutín","953,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Bohy","95,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bojanov","777,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bojanovice","455,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Bojanovice","210,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bojiště","252,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bojkovice","4 629,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Bolatice","3 892,00","Moravskoslezský kraj","KRAVAŘE","Opava"
"Boleboř","222,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Bolehošť","634,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Boleradice","860,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Bolešiny","653,00","Plzeňský kraj","KLATOVY","Klatovy"
"Boletice","226,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Bolkov","111,00","Plzeňský kraj","PŘEŠTICE","Plzeň-jih"
"Boňkov","104,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bor","3 832,00","Plzeňský kraj","TACHOV","Tachov"
"Bor u Skutče","201,00","Pardubický kraj","CHRUDIM","Chrudim"
"Borač","348,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Bořanovice","532,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Bordovice","581,00","Moravskoslezský kraj","FRENŠTÁT P. RADHOŠTĚM","Nový Jičín"
"Boreč","268,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Borek","181,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Mělník"
"Borek","189,00","Pardubický kraj","PARDUBICE","Pardubice"
"Borek","118,00","Královéhradecký kraj","HOŘICE","Jičín"
"Borek","167,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Borek","852,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Bořenovice","196,00","Zlínský kraj","HOLEŠOV","Kroměříž"
"Bořetice","1 334,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Bořetice","103,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bořetín","128,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bořetín","148,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bořice","214,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bořislav","332,00","Ústecký kraj","TEPLICE","Teplice"
"Bořitov","1 222,00","Jihomoravský kraj","BLANSKO","Blansko"
"Borkovany","919,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Borkovice","301,00","Jihočeský kraj","SOBĚSLAV","Tábor"
"Borohrádek","2 258,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Borotice","408,00","Středočeský kraj","DOBŘÍŠ","Příbram"
"Borotice","414,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Borotín","634,00","Jihočeský kraj","TÁBOR","Tábor"
"Borotín","623,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Borová","233,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Borová","846,00","Pardubický kraj","POLIČKA","Svitavy"
"Borová Lada","243,00","Jihočeský kraj","VIMPERK","Prachatice"
"Borovany","266,00","Jihočeský kraj","MILEVSKO","Písek"
"Borovany","3 045,00","Jihočeský kraj","TRHOVÉ SVINY","České Budějovice"
"Borovná","112,00","Vysočina","TELČ","Jihlava"
"Borovnice","270,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Borovnice","146,00","Středočeský kraj","VLAŠIM","Benešov"
"Borovnice","406,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Borovnice","555,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Borovnice","88,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Borovnička","315,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Borovník","84,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Borovno","140,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Borovy","264,00","Plzeňský kraj","PŘEŠTICE","Klatovy"
"Boršice","2 266,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Boršice u Blatnice","966,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Boršov","131,00","Vysočina","JIHLAVA","Jihlava"
"Boršov nad Vltavou","995,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Borušov","199,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bory","692,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Boseň","443,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Bošice","352,00","Jihočeský kraj","VIMPERK","Prachatice"
"Bošilec","267,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Bošín","94,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Boskovice","11 045,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Boskovštejn","237,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bošovice","1 095,00","Jihomoravský kraj","SLAVKOV U BRNA","Vyškov"
"Boudy","232,00","Jihočeský kraj","PÍSEK","Písek"
"Bousín","217,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bousov","227,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bouzov","1 621,00","Olomoucký kraj","LITOVEL","Olomouc"
"Božanov","347,00","Královéhradecký kraj","BROUMOV","Náchod"
"Božejov","618,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Božetice","406,00","Jihočeský kraj","MILEVSKO","Písek"
"Boží Dar","128,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Božičany","650,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Božice","1 362,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bozkov","634,00","Liberecký kraj","SEMILY","Semily"
"Brada-Rybníček","72,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bradáčov","138,00","Jihočeský kraj","TÁBOR","Tábor"
"Bradlec","207,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bradlecká Lhota","225,00","Liberecký kraj","SEMILY","Semily"
"Brambory","137,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Braňany","1 429,00","Ústecký kraj","MOST","Most"
"Brandov","269,00","Ústecký kraj","LITVÍNOV","Most"
"Brandýs nad Labem-Stará Boleslav","14 412,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Brandýs nad Orlicí","1 465,00","Pardubický kraj","ÚSTÍ NAD ORLICÍ","Ústí nad Orlicí"
"Brandýsek","1 696,00","Středočeský kraj","KLADNO","Kladno"
"Branice","331,00","Jihočeský kraj","MILEVSKO","Písek"
"Braníškov","198,00","Jihomoravský kraj","TIŠNOV","Brno-venkov"
"Branišov","154,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Branka u Opavy","781,00","Moravskoslezský kraj","OPAVA","Opava"
"Brankovice","883,00","Jihomoravský kraj","BUČOVICE","Vyškov"
"Branky","882,00","Zlínský kraj","VALAŠSKÉ MEZIŘÍČÍ","Vsetín"
"Branná","430,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Branov","270,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Bransouze","326,00","Vysočina","TŘEBÍČ","Třebíč"
"Brantice","1 200,00","Moravskoslezský kraj","KRNOV","Bruntál"
"Branžež","254,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Braškov","813,00","Středočeský kraj","KLADNO","Kladno"
"Břasy","2 600,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Bratčice","711,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov"
