"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","kraj","orp","okres"
"Abertamy","1 315,00","116,00","266,00","449,00","434,00","28,00","22,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","4 871,00","672,00","743,00","1 595,00","1 575,00","154,00","132,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","112,00","29,00","12,00","36,00","28,00","4,00","3,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","509,00","47,00","69,00","175,00","188,00","13,00","17,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","527,00","35,00","84,00","200,00","180,00","15,00","13,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","516,00","57,00","80,00","191,00","168,00","9,00","11,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","4 019,00","480,00","677,00","1 380,00","1 287,00","96,00","99,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","1 063,00","206,00","153,00","343,00","312,00","27,00","22,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","822,00","155,00","105,00","270,00","246,00","22,00","24,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","326,00","45,00","60,00","102,00","94,00","15,00","10,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
"Albrechtičky","674,00","119,00","103,00","216,00","206,00","16,00","14,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Alojzov","222,00","32,00","24,00","71,00","74,00","7,00","14,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Andělská Hora","362,00","39,00","54,00","126,00","123,00","10,00","10,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Andělská Hora","203,00","21,00","22,00","75,00","60,00","12,00","13,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Anenská Studánka","188,00","19,00","18,00","37,00","106,00","6,00","2,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Archlebov","894,00","175,00","122,00","278,00","274,00","31,00","14,00","Jihomoravský kraj","KYJOV","Hodonín"
"Arneštovice","76,00","23,00","6,00","19,00","22,00","5,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Arnolec","181,00","25,00","22,00","69,00","60,00","3,00","2,00","Vysočina","JIHLAVA","Jihlava"
"Arnoltice","302,00","23,00","55,00","114,00","98,00","7,00","5,00","Ústecký kraj","DĚČÍN","Děčín"
"Aš","12 866,00","1 358,00","2 102,00","4 294,00","4 425,00","359,00","328,00","Karlovarský kraj","AŠ","Cheb"
"Babice","204,00","35,00","30,00","68,00","60,00","4,00","7,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Babice","211,00","34,00","32,00","72,00","62,00","6,00","5,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Babice","71,00","16,00","12,00","24,00","15,00","1,00","3,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Babice","299,00","39,00","53,00","96,00","93,00","6,00","12,00","Středočeský kraj","ŘÍČANY","Praha-východ"
"Babice","1 754,00","213,00","293,00","584,00","567,00","53,00","44,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Babice","405,00","39,00","63,00","137,00","139,00","10,00","17,00","Olomoucký kraj","ŠTERNBERK","Olomouc"
"Babice nad Svitavou","861,00","130,00","146,00","273,00","262,00","23,00","27,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Babice u Rosic","532,00","89,00","93,00","166,00","151,00","20,00","13,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Babylon","275,00","30,00","42,00","100,00","88,00","6,00","9,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bačalky","165,00","39,00","17,00","52,00","50,00","4,00","3,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bačetín","364,00","52,00","55,00","126,00","115,00","9,00","7,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bačice","192,00","35,00","20,00","59,00","65,00","5,00","8,00","Vysočina","TŘEBÍČ","Třebíč"
"Bačkov","147,00","25,00","24,00","44,00","43,00","6,00","5,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bačkovice","127,00","28,00","17,00","43,00","34,00","3,00","2,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bácovice","47,00","13,00","5,00","14,00","12,00","3,00","0,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bakov nad Jizerou","4 417,00","698,00","674,00","1 427,00","1 398,00","120,00","100,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Baliny","116,00","27,00","17,00","37,00","30,00","4,00","1,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Balkova Lhota","122,00","21,00","18,00","37,00","38,00","5,00","3,00","Jihočeský kraj","TÁBOR","Tábor"
"Banín","312,00","41,00","55,00","102,00","98,00","10,00","6,00","Pardubický kraj","SVITAVY","Svitavy"
"Bánov","2 095,00","292,00","335,00","705,00","667,00","47,00","49,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
