"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","kraj","orp","okres"
"Báňovice","111,00","20,00","24,00","34,00","29,00","3,00","1,00","Jihočeský kraj","DAČICE","Jindřichův Hradec"
"Bantice","216,00","20,00","46,00","75,00","63,00","7,00","5,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Barchov","233,00","40,00","29,00","66,00","81,00","10,00","7,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Barchov","156,00","24,00","18,00","60,00","46,00","3,00","5,00","Pardubický kraj","PARDUBICE","Pardubice"
"Barchovice","206,00","39,00","29,00","59,00","65,00","8,00","6,00","Středočeský kraj","KOLÍN","Kolín"
"Bařice-Velké Těšany","471,00","77,00","72,00","162,00","138,00","11,00","11,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bartošovice","1 596,00","175,00","257,00","561,00","528,00","40,00","35,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Bartošovice v Orlických horách","213,00","33,00","33,00","82,00","61,00","1,00","3,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Bartoušov","155,00","19,00","34,00","47,00","46,00","5,00","4,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Baška","3 222,00","423,00","526,00","1 028,00","1 011,00","119,00","115,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek"
"Bašnice","205,00","35,00","36,00","62,00","59,00","6,00","7,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bašť","503,00","70,00","82,00","160,00","164,00","12,00","15,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Batelov","2 388,00","353,00","406,00","793,00","735,00","52,00","49,00","Vysočina","JIHLAVA","Jihlava"
"Batňovice","687,00","105,00","123,00","218,00","199,00","24,00","18,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bavorov","1 401,00","223,00","181,00","478,00","437,00","44,00","38,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bavory","398,00","40,00","57,00","141,00","150,00","7,00","3,00","Jihomoravský kraj","MIKULOV","Břeclav"
"Bavoryně","180,00","17,00","35,00","62,00","60,00","3,00","3,00","Středočeský kraj","BEROUN","Beroun"
"Bdeněves","424,00","63,00","68,00","137,00","130,00","15,00","11,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Bdín","62,00","13,00","10,00","15,00","18,00","4,00","2,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Běchary","219,00","39,00","32,00","81,00","59,00","4,00","4,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bechlín","1 150,00","152,00","186,00","395,00","371,00","27,00","19,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Bechyně","5 755,00","869,00","905,00","1 932,00","1 801,00","153,00","95,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","75,00","15,00","5,00","27,00","19,00","3,00","6,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","104,00","22,00","14,00","35,00","26,00","4,00","3,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice"
"Bečov","2 072,00","151,00","489,00","701,00","671,00","29,00","31,00","Ústecký kraj","MOST","Most"
"Bečov nad Teplou","976,00","130,00","135,00","350,00","301,00","32,00","28,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bečváry","982,00","140,00","126,00","311,00","347,00","31,00","27,00","Středočeský kraj","KOLÍN","Kolín"
"Bedihošť","1 002,00","122,00","159,00","346,00","328,00","20,00","27,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bednárec","98,00","31,00","12,00","29,00","18,00","4,00","4,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bednáreček","199,00","37,00","36,00","58,00","60,00","5,00","3,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bedřichov","271,00","23,00","55,00","89,00","97,00","3,00","4,00","Liberecký kraj","JABLONEC NAD NISOU","Jablonec n.Nisou"
"Bedřichov","248,00","41,00","54,00","72,00","72,00","6,00","3,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Běhařov","156,00","16,00","27,00","50,00","49,00","7,00","7,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běhařovice","419,00","81,00","63,00","146,00","112,00","9,00","8,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bělá","254,00","40,00","32,00","88,00","80,00","7,00","7,00","Liberecký kraj","SEMILY","Semily"
"Bělá","705,00","111,00","103,00","241,00","209,00","23,00","18,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bělá","49,00","15,00","9,00","9,00","13,00","2,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bělá","194,00","29,00","24,00","71,00","45,00","15,00","10,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bělá nad Radbuzou","1 812,00","169,00","350,00","632,00","582,00","38,00","41,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bělá nad Svitavou","477,00","76,00","70,00","160,00","139,00","19,00","13,00","Pardubický kraj","SVITAVY","Svitavy"
"Bělá pod Bezdězem","4 855,00","647,00","738,00","1 642,00","1 575,00","127,00","126,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bělá pod Pradědem","2","2","2","2","2","2","2","Olomoucký kraj","JESENÍK","Jeseník"
"Bělá u Jevíčka","361,00","75,00","33,00","127,00","98,00","16,00","12,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bělčice","991,00","162,00","159,00","313,00","300,00","32,00","25,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Běleč","183,00","35,00","31,00","65,00","49,00","2,00","1,00","Jihočeský kraj","TÁBOR","Tábor"
"Běleč","317,00","35,00","61,00","113,00","93,00","6,00","9,00","Středočeský kraj","KLADNO","Kladno"
"Běleč","2","2","2","2","2","2","2","Jihomoravský kraj","TIŠNOV","Blansko"
"Běleč nad Orlicí","226,00","34,00","38,00","78,00","66,00","4,00","6,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bělkovice-Lašťany","1 908,00","245,00","299,00","655,00","609,00","55,00","45,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Běloky","120,00","19,00","14,00","48,00","34,00","3,00","2,00","Středočeský kraj","KLADNO","Kladno"
"Bělotín","1 630,00","163,00","319,00","545,00","505,00","49,00","49,00","Olomoucký kraj","HRANICE","Přerov"
"Bělov","2","2","2","2","2","2","2","Zlínský kraj","OTROKOVICE","Kroměříž"
"Bělušice","181,00","23,00","20,00","63,00","61,00","9,00","5,00","Ústecký kraj","MOST","Most"
"Bělušice","240,00","39,00","32,00","80,00","72,00","8,00","9,00","Středočeský kraj","KOLÍN","Kolín"
"Benátky","96,00","10,00","18,00","35,00","29,00","3,00","1,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Benátky","316,00","43,00","57,00","99,00","108,00","8,00","1,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Benátky nad Jizerou","6 818,00","906,00","1 053,00","2 255,00","2 263,00","181,00","160,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Benecko","1 142,00","184,00","201,00","359,00","337,00","36,00","25,00","Liberecký kraj","JILEMNICE","Semily"
"Benešov","16 257,00","2 059,00","2 428,00","5 503,00","5 506,00","411,00","350,00","Středočeský kraj","BENEŠOV","Benešov"
"Benešov","609,00","91,00","92,00","216,00","178,00","19,00","13,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Benešov nad Černou","1 259,00","161,00","206,00","384,00","456,00","26,00","26,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Benešov nad Ploučnicí","4 043,00","491,00","653,00","1 409,00","1 311,00","101,00","78,00","Ústecký kraj","DĚČÍN","Děčín"
"Benešov u Semil","834,00","105,00","161,00","258,00","273,00","17,00","20,00","Liberecký kraj","SEMILY","Semily"
"Benešovice","173,00","28,00","32,00","49,00","55,00","5,00","4,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Benetice","191,00","22,00","29,00","68,00","62,00","3,00","7,00","Vysočina","TŘEBÍČ","Třebíč"
"Beňov","650,00","118,00","82,00","218,00","194,00","21,00","17,00","Olomoucký kraj","PŘEROV","Přerov"
"Bernardov","165,00","38,00","23,00","47,00","47,00","3,00","7,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bernartice","1 260,00","257,00","184,00","394,00","367,00","24,00","34,00","Jihočeský kraj","MILEVSKO","Písek"
"Bernartice","227,00","43,00","30,00","70,00","71,00","7,00","6,00","Středočeský kraj","VLAŠIM","Benešov"
"Bernartice","2","2","2","2","2","2","2","Olomoucký kraj","JESENÍK","Jeseník"
"Bernartice","902,00","101,00","168,00","298,00","273,00","33,00","29,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bernartice nad Odrou","794,00","107,00","141,00","254,00","254,00","20,00","18,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Beroun","17 550,00","2 389,00","2 562,00","5 793,00","5 806,00","565,00","435,00","Středočeský kraj","BEROUN","Beroun"
"Beřovice","300,00","47,00","42,00","102,00","98,00","5,00","6,00","Středočeský kraj","SLANÝ","Kladno"
"Běrunice","876,00","159,00","132,00","282,00","273,00","18,00","12,00","Středočeský kraj","PODĚBRADY","Nymburk"
"Besednice","838,00","112,00","142,00","266,00","282,00","17,00","19,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Běšiny","810,00","117,00","122,00","276,00","253,00","18,00","24,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běštín","291,00","52,00","37,00","95,00","91,00","9,00","7,00","Středočeský kraj","HOŘOVICE","Beroun"
"Běstovice","402,00","48,00","73,00","143,00","121,00","9,00","8,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Běstvina","508,00","93,00","77,00","164,00","140,00","17,00","17,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bezděčí u Trnávky","231,00","29,00","38,00","76,00","75,00","5,00","8,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bezdědovice","307,00","51,00","39,00","109,00","94,00","10,00","4,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Bezděkov","247,00","39,00","34,00","89,00","73,00","7,00","5,00","Pardubický kraj","PARDUBICE","Pardubice"
"Bezděkov","871,00","105,00","147,00","295,00","280,00","23,00","21,00","Plzeňský kraj","KLATOVY","Klatovy"
"Bezděkov","242,00","44,00","29,00","80,00","76,00","8,00","5,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Bezděkov","95,00","14,00","12,00","31,00","29,00","3,00","6,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Bezděkov nad Metují","503,00","67,00","84,00","166,00","152,00","16,00","18,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Bezděkov pod Třemšínem","154,00","21,00","21,00","52,00","51,00","6,00","3,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bezděz","275,00","38,00","40,00","96,00","80,00","12,00","9,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bezdružice","1 004,00","96,00","185,00","333,00","324,00","36,00","30,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Bezkov","211,00","34,00","40,00","59,00","62,00","10,00","6,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bezměrov","561,00","75,00","94,00","184,00","186,00","15,00","7,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bezno","842,00","103,00","142,00","270,00","281,00","19,00","27,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bezuchov","174,00","27,00","33,00","55,00","51,00","6,00","2,00","Olomoucký kraj","PŘEROV","Přerov"
"Bezvěrov","659,00","69,00","111,00","239,00","210,00","16,00","14,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílá","324,00","45,00","49,00","104,00","104,00","9,00","13,00","Moravskoslezský kraj","FRÝDLANT N. OSTRAVICÍ","Frýdek-Místek"
"Bílá","812,00","104,00","141,00","274,00","268,00","13,00","12,00","Liberecký kraj","LIBEREC","Liberec"
"Bílá Hlína","97,00","13,00","16,00","30,00","31,00","4,00","3,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Bílá Lhota","1 091,00","170,00","169,00","351,00","328,00","35,00","38,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílá Třemešná","1 345,00","185,00","225,00","438,00","421,00","39,00","37,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílá Voda","2","2","2","2","2","2","2","Olomoucký kraj","JESENÍK","Jeseník"
"Bílčice","251,00","32,00","44,00","89,00","71,00","7,00","8,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Bílé Podolí","584,00","110,00","90,00","176,00","178,00","18,00","12,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Bílé Poličany","154,00","31,00","24,00","50,00","39,00","4,00","6,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílence","206,00","27,00","45,00","69,00","62,00","3,00","0,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Bílichov","138,00","28,00","8,00","49,00","44,00","4,00","5,00","Středočeský kraj","SLANÝ","Kladno"
"Bílina","15 738,00","1 637,00","2 729,00","5 244,00","5 267,00","452,00","409,00","Ústecký kraj","BÍLINA","Teplice"
"Bílov","534,00","56,00","89,00","183,00","181,00","11,00","14,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílov","84,00","20,00","13,00","24,00","24,00","1,00","2,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílovec","7 486,00","872,00","1 302,00","2 474,00","2 440,00","210,00","188,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílovice","1 634,00","233,00","252,00","537,00","525,00","53,00","34,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Bílovice nad Svitavou","2 600,00","342,00","427,00","859,00","825,00","83,00","64,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Bílovice-Lutotín","496,00","67,00","83,00","168,00","153,00","13,00","12,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bílsko","207,00","20,00","40,00","63,00","68,00","4,00","12,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bílsko","210,00","32,00","24,00","77,00","72,00","2,00","3,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílsko u Hořic","110,00","23,00","19,00","30,00","36,00","0,00","2,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bílý Kámen","193,00","20,00","38,00","70,00","61,00","4,00","0,00","Vysočina","JIHLAVA","Jihlava"
"Bílý Kostel nad Nisou","811,00","76,00","129,00","294,00","272,00","25,00","15,00","Liberecký kraj","LIBEREC","Liberec"
"Bílý Potok","639,00","96,00","114,00","216,00","185,00","14,00","14,00","Liberecký kraj","FRÝDLANT","Liberec"
"Bílý Újezd","615,00","102,00","93,00","214,00","179,00","13,00","14,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Biřkov","140,00","23,00","21,00","40,00","51,00","0,00","5,00","Plzeňský kraj","KLATOVY","Klatovy"
"Biskoupky","174,00","29,00","20,00","60,00","58,00","2,00","5,00","Jihomoravský kraj","IVANČICE","Brno-venkov"
"Biskupice","239,00","33,00","38,00","75,00","73,00","12,00","8,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Biskupice","741,00","91,00","123,00","253,00","243,00","17,00","14,00","Zlínský kraj","LUHAČOVICE","Zlín"
"Biskupice","47,00","9,00","9,00","12,00","17,00","0,00","0,00","Pardubický kraj","CHRUDIM","Chrudim"
"Biskupice-Pulkov","299,00","65,00","45,00","93,00","79,00","9,00","8,00","Vysočina","TŘEBÍČ","Třebíč"
"Bítouchov","289,00","46,00","51,00","93,00","80,00","8,00","11,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bítov","400,00","63,00","47,00","144,00","126,00","12,00","8,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bítov","152,00","36,00","19,00","50,00","41,00","2,00","4,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bítovany","408,00","68,00","62,00","139,00","119,00","9,00","11,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bítovčice","404,00","64,00","61,00","135,00","118,00","12,00","14,00","Vysočina","JIHLAVA","Jihlava"
"Bitozeves","363,00","29,00","80,00","128,00","104,00","15,00","7,00","Ústecký kraj","ŽATEC","Louny"
"Blanné","94,00","16,00","14,00","30,00","29,00","2,00","3,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blansko","20 384,00","3 021,00","2 900,00","6 620,00","6 751,00","589,00","503,00","Jihomoravský kraj","BLANSKO","Blansko"
"Blatce","65,00","4,00","10,00","24,00","17,00","3,00","7,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blatec","579,00","74,00","96,00","196,00","187,00","15,00","11,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Blatná","6 735,00","961,00","1 038,00","2 150,00","2 202,00","186,00","198,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Blatnice","365,00","54,00","66,00","125,00","106,00","8,00","6,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Blatnice","688,00","106,00","92,00","237,00","211,00","21,00","21,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blatnice pod Svatým Antonínkem","2 116,00","324,00","314,00","724,00","656,00","47,00","51,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatnička","449,00","65,00","61,00","153,00","143,00","12,00","15,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatno","342,00","40,00","44,00","136,00","93,00","14,00","15,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Blatno","533,00","71,00","88,00","176,00","178,00","11,00","9,00","Ústecký kraj","PODBOŘANY","Louny"
"Blažejov","301,00","34,00","50,00","112,00","82,00","13,00","10,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Blažejovice","97,00","17,00","9,00","36,00","26,00","6,00","3,00","Středočeský kraj","VLAŠIM","Benešov"
"Blazice","204,00","46,00","21,00","67,00","61,00","6,00","3,00","Zlínský kraj","BYSTŘICE POD HOSTÝNEM","Kroměříž"
"Blažim","76,00","12,00","12,00","29,00","22,00","1,00","0,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blažim","232,00","9,00","63,00","78,00","71,00","8,00","3,00","Ústecký kraj","ŽATEC","Louny"
"Blažkov","307,00","41,00","56,00","109,00","89,00","8,00","4,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Blažovice","1 076,00","164,00","176,00","361,00","328,00","27,00","20,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Blešno","315,00","40,00","49,00","108,00","103,00","6,00","9,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Blevice","282,00","47,00","45,00","90,00","86,00","9,00","5,00","Středočeský kraj","KLADNO","Kladno"
"Blížejov","1 029,00","152,00","149,00","364,00","313,00","24,00","27,00","Plzeňský kraj","HORŠOVSKÝ TÝN","Domažlice"
"Blíževedly","638,00","60,00","107,00","236,00","201,00","16,00","18,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blízkov","326,00","48,00","54,00","103,00","96,00","12,00","13,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Blížkovice","1 235,00","153,00","221,00","422,00","401,00","19,00","19,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blovice","3 901,00","578,00","643,00","1 234,00","1 242,00","116,00","88,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Blšany","938,00","153,00","140,00","303,00","286,00","27,00","29,00","Ústecký kraj","PODBOŘANY","Louny"
"Blšany u Loun","216,00","32,00","33,00","71,00","69,00","8,00","3,00","Ústecký kraj","LOUNY","Louny"
"Blučina","2 040,00","312,00","313,00","674,00","643,00","51,00","47,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov"
"Bludov","25,00","2,00","1,00","12,00","8,00","1,00","1,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bobnice","747,00","110,00","105,00","255,00","242,00","17,00","18,00","Středočeský kraj","NYMBURK","Nymburk"
"Bobrová","941,00","146,00","160,00","309,00","295,00","19,00","12,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bobrůvka","239,00","45,00","51,00","71,00","59,00","8,00","5,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bocanovice","434,00","55,00","81,00","141,00","142,00","8,00","7,00","Moravskoslezský kraj","JABLUNKOV","Frýdek-Místek"
"Bochoř","1 000,00","162,00","189,00","303,00","294,00","30,00","22,00","Olomoucký kraj","PŘEROV","Přerov"
"Bochov","1 973,00","201,00","390,00","678,00","589,00","60,00","55,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bochovice","156,00","31,00","20,00","53,00","48,00","1,00","3,00","Vysočina","TŘEBÍČ","Třebíč"
"Boháňka","201,00","36,00","22,00","70,00","62,00","5,00","6,00","Královéhradecký kraj","HOŘICE","Jičín"
"Boharyně","526,00","67,00","94,00","170,00","176,00","8,00","11,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bohaté Málkovice","255,00","35,00","41,00","88,00","77,00","9,00","5,00","Jihomoravský kraj","BUČOVICE","Vyškov"
"Bohatice","146,00","19,00","25,00","47,00","49,00","2,00","4,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bohdalec","297,00","42,00","55,00","97,00","87,00","5,00","11,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
