"obce","Počet obyvatel dle Sčítání lidu 1910","kraj","orp","okres"
"Abertamy","4 293,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","816,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","404,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","735,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","1 605,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","825,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","1 335,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","581,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","2 445,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","2 351,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
"Albrechtičky","861,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Alojzov","295,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Andělská Hora","1 789,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Andělská Hora","901,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Anenská Studánka","557,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Archlebov","1 278,00","Jihomoravský kraj","KYJOV","Hodonín"
"Arneštovice","259,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Arnolec","374,00","Vysočina","JIHLAVA","Jihlava"
"Arnoltice","762,00","Ústecký kraj","DĚČÍN","Děčín"
"Aš","27 772,00","Karlovarský kraj","AŠ","Cheb"
"Babice","394,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Babice","425,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Babice","271,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Babice","437,00","Středočeský kraj","ŘÍČANY","Praha-východ"
