"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet bytových domácností","Počet bytových domácností vybavených počítačem a připojením na internet","Počet dokončených bytů","Počet domů","Počet ekonomicky aktivních osob","Počet obydlených domů","Počet obyvatel","Počet obyvatel bez vzdělání","Počet obyvatel dle Sčítání lidu 2011","Počet obyvatel nad 65 let","Počet obyvatel s německou národností","Počet obyvatel s polskou národností","Počet obyvatel s romskou národností","Počet obyvatel s ukrajinskou národností","Počet obyvatel s vietnamskou národností","Počet obyvatel s vysokoškolským vzděláním","Počet obyvatel se slovenskou národností","Počet obyvatel se středoškolským vzděláním bez maturity","Počet obyvatel se středoškolským vzděláním s maturitou","Počet obyvatel se základním vzděláním","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet obyvatel, kteří neuvedli vzdělání","Počet osob dojíždějících za prací do obce","Počet osob vyjíždějících z obce za prací","Počet osob zaměstnaných v průmyslu","Počet osob zaměstnaných v zemědělství","Počet osob zaměstnaných ve službách","Počet osob zaměstnaných ve stavebnictví","Počet podnikatelských subjektů celkem","Počet rodinných domů","Počet uchazečů o zaměstnání","Počet zaměstnaných osob","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Abertamy","23 157,81","9 961,19","15 762,48","5 302,17","7 170,10","11 475,25","977,41","442,00","162,00","0,00","264,00","570,00","214,00","1 273,00","12,00","1 213,00","136,00","90,00","0,00","0,00","9,00","94,00","40,00","34,00","345,00","152,00","296,00","208,00","407,00","448,00","34,00","40,00","155,00","21,00","118,00","81,00","21,00","195,00","34,00","462,00","155,00","103,00","461,00","16 739,89","43 478,49","34,00","13 150,57","26 738,61","30 327,91","68,00","5,00","18,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","46 180,94","35 940,92","4 690,00","1 700,23","12 032,71","14 561,09","4 496,52","2 001,00","1 103,00","1,00","318,00","2 270,00","300,00","4 583,00","14,00","4 591,00","794,00","1,00","14,00","0,00","4,00","4,00","429,00","74,00","1 524,00","1 043,00","703,00","624,00","1 382,00","1 456,00","168,00","159,00","109,00","225,00","999,00","683,00","27,00","983,00","119,00","824,00","136,00","233,00","1 998,00","9 186,52","61 388,71","136,00","3 175,10","52 202,24","58 213,60","166,00","49,00","60,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","594,78","821,03","0,00","0,00","919,08","28,64","59,49","49,00","25,00","0,00","71,00","42,00","46,00","108,00","0,00","112,00","22,00","0,00","0,00","0,00","0,00","0,00","3,00","0,00","40,00","27,00","22,00","12,00","27,00","31,00","7,00","9,00","1,00",NA,"21,00","9,00","2,00","24,00","0,00","22,00","45,00","4,00","36,00","59,49","909,14","6,00","-604,67","849,67","1 513,81","6,00","2,00","0,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","4 294,23","4 267,55","0,00","353,76","668,01","173,29","292,65","216,00","129,00","11,00","210,00","344,00","191,00","654,00","1,00","627,00","77,00","4,00","1,00","1,00","0,00","0,00","94,00","4,00","170,00","164,00","74,00","93,00","221,00","228,00","18,00","17,00","20,00","4,00","141,00","75,00","6,00","172,00","31,00","141,00","189,00","16,00","317,00","292,65","5 087,23","45,00","125,05","4 794,60","4 962,18","17,00","3,00","7,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","17 274,39","6 113,71","750,00","10 034,81","10 889,39","18 607,23","178,41","205,00","118,00","0,00","173,00","269,00","110,00","516,00","4,00","511,00","66,00","3,00","3,00","0,00","0,00","0,00","24,00","8,00","186,00","102,00","92,00","50,00","172,00","181,00","21,00","26,00","34,00","348,00","34,00","122,00","9,00","63,00","8,00","107,00","88,00","28,00","246,00","928,41","35 684,15","9,00","7 520,50","34 755,75","28 163,65","16,00","6,00","2,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","2 737,44","3 886,72","100,00","11,45","354,85","264,33","448,01","160,00","91,00","1,00","147,00","237,00","124,00","481,00","0,00","469,00","58,00","0,00","1,00","0,00","8,00","0,00","32,00","10,00","164,00","90,00","94,00","73,00","146,00","150,00","26,00","28,00","11,00","16,00","109,00","92,00","16,00","74,00","11,00","77,00","120,00","22,00","215,00","548,01","4 710,50","13,00","1 618,23","4 162,50","3 092,27","7,00","7,00","4,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","34 151,05","29 187,09","1 892,58","42,25","2 315,96","6 280,76","4 254,78","1 384,00","823,00","11,00","802,00","1 852,00","739,00","3 928,00","12,00","3 795,00","534,00","0,00","669,00","0,00","1,00","0,00","331,00","93,00","1 209,00","904,00","626,00","565,00","1 258,00","1 287,00","147,00","137,00","76,00","108,00","895,00","612,00","29,00","787,00","80,00","559,00","658,00","238,00","1 634,00","6 147,36","41 657,46","124,00","5 190,51","35 510,10","36 466,95","121,00","39,00","25,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","9 968,18","7 462,58","240,85","91,88","1 729,33","1 977,12","763,22","359,00","200,00","3,00","323,00","506,00","294,00","1 020,00","3,00","1 016,00","212,00","2,00","2,00","0,00","1,00","0,00","86,00","5,00","329,00","268,00","148,00","119,00","307,00","315,00","30,00","37,00","28,00","41,00","193,00","129,00","21,00","253,00","31,00","220,00","288,00","18,00","476,00","1 004,07","10 535,63","40,00","-1 161,87","9 531,58","11 697,51","25,00","15,00","7,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","10 425,18","9 358,14","0,00","2 131,65","568,71","2 470,44","667,98","352,00","140,00","1,00","492,00","372,00","294,00","841,00","3,00","831,00","167,00","1,00","0,00","0,00","2,00","0,00","52,00","7,00","286,00","171,00","154,00","115,00","227,00","256,00","36,00","40,00","37,00","44,00","127,00","98,00","41,00","124,00","32,00","210,00","276,00","28,00","341,00","667,98","14 628,19","29,00","3 634,35","13 960,23","10 993,84","17,00","17,00","5,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","8 804,50","5 469,55","100,00","2 016,92","2 615,45","2 872,18","632,70","125,00","53,00","3,00","182,00","164,00","104,00","346,00","2,00","351,00","55,00","4,00","0,00","0,00","2,00","0,00","26,00","4,00","100,00","92,00","62,00","46,00","102,00","112,00","14,00","17,00","16,00","19,00","34,00","29,00","1,00","79,00","13,00","142,00","93,00","20,00","144,00","732,70","11 091,33","17,00","-328,58","10 358,65","11 419,91","17,00","4,00","5,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
"Albrechtičky","6 756,24","5 062,75","5 326,97","3 129,63","7 728,15","1 547,14","900,28","248,00","135,00","1,00","211,00","339,00","190,00","705,00","0,00","684,00","119,00","0,00","2,00","0,00","0,00","0,00","70,00","13,00","217,00","159,00","119,00","90,00","212,00","234,00","23,00","27,00","6,00","23,00","190,00","131,00","7,00","130,00","26,00","134,00","186,00","30,00","310,00","6 227,25","15 966,77","12,00","1 482,44","9 739,52","14 484,33","14,00","5,00","3,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Alojzov","1 769,69","1 926,83","0,00","4,32","26,40","356,16","76,40","85,00","43,00","2,00","88,00","120,00","72,00","235,00","0,00","230,00","51,00","0,00","0,00","0,00","1,00","0,00","29,00","0,00","89,00","49,00","25,00","26,00","78,00","66,00","8,00","6,00","6,00","18,00","56,00","23,00","1,00","63,00","11,00","58,00","71,00","15,00","109,00","76,40","2 363,73","5,00","567,67","2 287,31","1 796,06","6,00","0,00","6,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Andělská Hora","7 956,69","3 405,10","0,00","183,34","508,84","1 216,63","3 150,57","133,00","59,00","0,00","139,00","167,00","101,00","387,00","3,00","362,00","45,00","0,00","0,00","0,00","0,00","0,00","17,00","8,00","130,00","65,00","61,00","67,00","126,00","123,00","12,00","14,00","14,00","20,00","59,00","37,00","9,00","57,00","18,00","90,00","93,00","51,00","141,00","3 150,57","7 955,66","20,00","-509,88","4 805,07","8 465,54","4,00","3,00","5,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Andělská Hora","3 773,77","2 726,78","2 328,27","977,21","4 538,13","865,33","413,81","89,00","54,00","4,00","97,00","149,00","78,00","284,00","2,00","294,00","44,00","1,00","0,00","0,00","1,00","0,00","29,00","3,00","92,00","53,00","36,00","44,00","87,00","89,00","9,00","11,00","17,00","3,00","55,00","15,00","1,00","86,00","15,00","75,00","74,00","12,00","138,00","2 742,08","7 311,40","12,00","-1 000,48","4 569,32","8 311,88","8,00","3,00","4,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Anenská Studánka","2 268,43","1 869,08","0,00","20,42","4,78","63,47","184,53","39,00","12,00","0,00","70,00","55,00","37,00","205,00","42,00","205,00","35,00","0,00","0,00","0,00","0,00","0,00","1,00","4,00","50,00","16,00","58,00","28,00","82,00","43,00","13,00","4,00","9,00","31,00","12,00","15,00","0,00","24,00","0,00","22,00","33,00","3,00","46,00","184,53","2 137,48","3,00","-135,73","1 952,97","2 273,20","2,00","3,00","1,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Archlebov","7 189,55","7 289,65","150,00","2,50","506,17","989,39","1 003,20","303,00","163,00","1,00","353,00","420,00","277,00","873,00","4,00","850,00","165,00","0,00","0,00","0,00","1,00","0,00","45,00","2,00","330,00","166,00","173,00","91,00","277,00","286,00","26,00","28,00","20,00","40,00","165,00","122,00","21,00","160,00","38,00","177,00","270,00","58,00","378,00","1 153,20","9 434,71","29,00","1 739,00","8 281,54","7 695,71","11,00","10,00","3,00","Jihomoravský kraj","KYJOV","Hodonín"
"Arneštovice","739,33","998,24","111,00","0,00","694,54","404,11","106,94","29,00","9,00","0,00","37,00","47,00","24,00","89,00","0,00","88,00","21,00","0,00","1,00","0,00","0,00","0,00","10,00","0,00","35,00","16,00","15,00","11,00","31,00","26,00","0,00","0,00","1,00",NA,"15,00","10,00","9,00","18,00","3,00","19,00","24,00","4,00","43,00","217,94","1 620,29","1,00","186,40","1 402,35","1 433,89","3,00","3,00","2,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Arnolec","1 932,65","1 841,15","0,00","5,22","264,89","555,26","171,10","59,00","34,00","0,00","64,00","84,00","47,00","163,00","0,00","157,00","26,00","0,00","0,00","0,00","2,00","0,00","9,00","1,00","74,00","23,00","29,00","22,00","49,00","49,00","8,00","9,00","1,00",NA,"54,00","27,00","17,00","21,00","12,00","28,00","44,00","8,00","78,00","171,10","2 572,72","2,00","375,19","2 401,63","2 197,53","15,00","4,00","0,00","Vysočina","JIHLAVA","Jihlava"
"Arnoltice","4 353,27","2 858,33","942,24","101,80","1 305,15","607,90","829,05","114,00","51,00","1,00","116,00","179,00","94,00","372,00","6,00","371,00","36,00","0,00","0,00","0,00","0,00","0,00","16,00","3,00","129,00","71,00","64,00","63,00","113,00","126,00","17,00","17,00","16,00","6,00","49,00","29,00","8,00","76,00","15,00","113,00","85,00","35,00","153,00","1 771,29","5 339,30","20,00","-319,13","3 568,03","5 658,43","10,00","1,00","6,00","Ústecký kraj","DĚČÍN","Děčín"
"Aš","211 631,06","129 856,02","48 594,35","13 887,39","53 555,32","31 268,09","76 519,28","5 050,00","2 162,00","9,00","2 139,00","5 776,00","1 933,00","13 054,00","92,00","12 643,00","1 779,00","181,00","39,00","1,00","65,00","329,00","503,00","377,00","3 662,00","2 410,00","2 572,00","2 177,00","4 044,00","4 118,00","499,00","437,00","1 034,00","395,00","886,00","1 741,00","43,00","2 139,00","200,00","3 362,00","1 439,00","530,00","5 179,00","125 113,63","300 125,08","298,00","34 938,80","175 011,50","265 186,28","294,00","134,00","149,00","Karlovarský kraj","AŠ","Cheb"
"Babice","3 352,84","1 617,61","0,00","0,00","0,00","103,47","861,14","79,00","37,00","1,00","77,00","97,00","56,00","203,00","0,00","195,00","42,00","0,00","0,00","0,00","0,00","0,00","7,00","1,00","79,00","42,00","35,00","18,00","64,00","72,00","5,00","2,00","6,00","1,00","60,00","19,00","19,00","40,00","4,00","37,00","55,00","11,00","84,00","861,14","2 582,24","3,00","-770,57","1 721,08","3 352,81","2,00","2,00","1,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Babice","2 227,68","1 947,47","1 780,23","16,00","2 197,76","503,06","2 978,22","71,00","36,00","2,00","89,00","93,00","62,00","203,00","1,00","191,00","30,00","0,00","0,00","0,00","0,00","0,00","17,00","0,00","71,00","34,00","35,00","25,00","60,00","68,00","9,00","11,00","2,00","7,00","35,00","30,00","6,00","26,00","5,00","47,00","60,00","18,00","72,00","4 758,45","7 224,98","4,00","2 799,56","2 466,53","4 425,42","0,00","1,00","3,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Babice","1 160,04","1 176,63","0,00","2 007,68","2 626,21","512,03","280,61","32,00","16,00","1,00","45,00","43,00","30,00","98,00","2,00","88,00","16,00","0,00","0,00","0,00","0,00","0,00","2,00","1,00","26,00","15,00","19,00","25,00","29,00","28,00","0,00","0,00","2,00","4,00","7,00","3,00","4,00","17,00","2,00","26,00","29,00","6,00","33,00","280,61","3 976,94","6,00","190,67","3 696,34","3 786,27","6,00","2,00","4,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Babice","4 382,17","5 324,78","0,00","2 016,00","144,34","348,93","100,99","257,00","185,00","44,00","268,00","425,00","234,00","799,00","1,00","843,00","60,00","0,00","3,00","0,00","14,00","0,00","139,00","15,00","167,00","190,00","69,00","178,00","258,00","267,00","10,00","26,00","65,00","42,00","184,00","34,00","3,00","262,00","46,00","242,00","228,00","11,00","398,00","100,99","7 790,68","79,00","3 264,21","7 689,71","4 526,47","38,00","3,00","12,00","Středočeský kraj","ŘÍČANY","Praha-východ"
"Babice","18 382,20","13 832,44","2 613,06","236,57","4 418,05","2 669,80","3 390,09","588,00","316,00","7,00","544,00","924,00","492,00","1 815,00","3,00","1 777,00","275,00","0,00","2,00","0,00","1,00","0,00","112,00","36,00","602,00","385,00","349,00","214,00","601,00","614,00","62,00","49,00","78,00","339,00","342,00","355,00","19,00","324,00","65,00","403,00","481,00","79,00","854,00","6 003,15","22 741,92","46,00","-58,28","16 738,81","22 800,20","24,00","18,00","19,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Babice","5 257,42","3 815,29","0,00","4,42","600,24","554,07","1 238,46","152,00","76,00","19,00","118,00","222,00","109,00","452,00","6,00","433,00","63,00","0,00","0,00","0,00","0,00","0,00","15,00","5,00","153,00","91,00","81,00","70,00","130,00","150,00","23,00","16,00","13,00","36,00","69,00","71,00","7,00","76,00","14,00","71,00","101,00","26,00","191,00","1 238,46","5 612,23","21,00","-245,39","4 373,78","5 857,62","6,00","6,00","5,00","Olomoucký kraj","ŠTERNBERK","Olomouc"
"Babice nad Svitavou","8 867,62","8 014,90","0,00","1 805,71","3 853,33","383,83","878,78","346,00","202,00","7,00","352,00","488,00","311,00","1 025,00","1,00","1 021,00","154,00","0,00","0,00","0,00","1,00","0,00","190,00","10,00","235,00","265,00","119,00","169,00","308,00","316,00","41,00","37,00","31,00","19,00","216,00","110,00","4,00","256,00","43,00","245,00","305,00","29,00","452,00","878,78","11 083,20","36,00","-1 637,71","10 204,44","12 720,91","17,00","16,00","18,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Babice u Rosic","5 013,78","4 815,18","3 608,95","250,50","4 919,07","309,72","603,33","225,00","131,00","5,00","261,00","298,00","214,00","684,00","0,00","659,00","103,00","1,00","0,00","0,00","0,00","0,00","86,00","4,00","182,00","142,00","88,00","133,00","208,00","207,00","15,00","18,00","20,00","4,00","123,00","78,00","1,00","138,00","23,00","133,00","212,00","28,00","268,00","4 212,28","9 587,66","29,00","-345,12","5 375,40","9 932,77","9,00","5,00","7,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Babylon","3 952,38","2 744,17","9 389,01","0,00","157,55","553,40","86,21","99,00","55,00","1,00","105,00","149,00","78,00","293,00","0,00","296,00","39,00","3,00","0,00","0,00","0,00","9,00","24,00","1,00","75,00","93,00","30,00","47,00","83,00","96,00","12,00","16,00","19,00","32,00","67,00","22,00","5,00","82,00","3,00","123,00","71,00","15,00","135,00","9 475,22","12 772,78","9,00","8 662,88","3 297,57","4 109,89","9,00","3,00","4,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bačalky","1 536,81","1 506,10","426,63","0,24","0,00","559,41","82,89","71,00","29,00","0,00","129,00","68,00","68,00","154,00","1,00","157,00","34,00","0,00","0,00","0,00","0,00","0,00","10,00","3,00","60,00","28,00","34,00","16,00","41,00","46,00","9,00","8,00","5,00","2,00","24,00","24,00","6,00","20,00","6,00","42,00","68,00","3,00","63,00","509,52","2 575,26","7,00","1 038,45","2 065,75","1 536,80","6,00","2,00","1,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bačetín","3 194,28","3 286,87","0,00","5,36","2 437,32","408,74","329,07","146,00","81,00","4,00","141,00","206,00","112,00","404,00","2,00","393,00","68,00","0,00","0,00","0,00","0,00","0,00","34,00","0,00","132,00","86,00","55,00","68,00","115,00","136,00","9,00","8,00","5,00","16,00","79,00","65,00","26,00","78,00","9,00","78,00","107,00","15,00","189,00","329,07","4 030,02","9,00","-1 601,59","3 700,97","5 631,61","8,00","6,00","5,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bačice","1 567,18","1 788,77","111,00","0,00","1 052,28","254,79","233,72","77,00","30,00","0,00","87,00","79,00","63,00","204,00","0,00","194,00","46,00","0,00","0,00","0,00","0,00","0,00","3,00","1,00","69,00","25,00","61,00","33,00","55,00","55,00","11,00","4,00","3,00","6,00","26,00","16,00","17,00","20,00","8,00","35,00","61,00","18,00","65,00","344,72","2 388,29","7,00","-231,14","2 043,56","2 619,43","3,00","1,00","1,00","Vysočina","TŘEBÍČ","Třebíč"
"Bačkov","1 115,44","1 000,21","329,70","5,13","587,21","186,16","171,10","42,00","24,00","0,00","39,00","60,00","30,00","137,00","1,00","126,00","27,00","0,00","0,00","0,00","0,00","0,00","10,00","1,00","44,00","23,00","26,00","23,00","37,00","44,00","3,00","3,00","1,00","7,00","20,00","9,00","15,00","14,00","6,00","34,00","28,00","7,00","56,00","500,80","1 692,29","3,00","-10,32","1 191,50","1 702,61","2,00","1,00","0,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bačkovice","1 157,84","1 305,65","111,98","0,61","204,66","74,93","160,15","41,00","16,00","0,00","53,00","51,00","33,00","117,00","3,00","116,00","21,00","0,00","0,00","0,00","0,00","0,00","5,00","0,00","37,00","23,00","31,00","13,00","32,00","40,00","6,00","5,00","2,00","8,00","33,00","16,00","8,00","17,00","5,00","22,00","32,00","7,00","46,00","272,13","1 653,30","1,00","290,80","1 381,19","1 362,50","4,00","4,00","3,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bácovice","1 178,12","744,55","0,00","0,00","42,81","251,70","171,47","22,00","11,00","3,00","31,00","31,00","18,00","76,00","0,00","69,00","14,00","0,00","0,00","0,00","0,00","0,00","5,00","0,00","22,00","12,00","16,00","17,00","19,00","22,00","2,00","2,00","1,00","4,00","16,00","11,00","5,00","10,00","3,00","16,00","17,00","0,00","31,00","171,47","1 167,72","1,00","-53,21","996,25","1 220,93","0,00","0,00","0,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bakov nad Jizerou","50 589,69","40 441,94","15 364,31","21,25","21 196,43","8 533,28","5 609,36","1 820,00","1 009,00","13,00","1 477,00","2 404,00","1 311,00","4 999,00","15,00","4 978,00","773,00","5,00","17,00","0,00","23,00","22,00","391,00","49,00","1 536,00","1 169,00","645,00","754,00","1 473,00","1 665,00","172,00","162,00","296,00","459,00","861,00","979,00","30,00","893,00","96,00","1 257,00","1 242,00","128,00","2 256,00","20 973,67","69 970,11","131,00","-1 815,97","48 996,47","71 786,09","124,00","54,00","52,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Baliny","1 095,26","1 109,25","0,00","0,00","0,00","51,44","171,79","38,00","19,00","0,00","49,00","63,00","34,00","123,00","0,00","125,00","21,00","0,00","0,00","0,00","0,00","0,00","4,00","1,00","43,00","21,00","28,00","19,00","35,00","37,00","5,00","6,00","2,00",NA,"26,00","14,00","6,00","25,00","9,00","22,00","34,00","8,00","57,00","171,79","1 332,46","2,00","237,21","1 160,69","1 095,26","2,00","2,00","1,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Balkova Lhota","1 230,99","1 046,74","0,00","0,00","92,34","238,02","60,71","39,00","22,00","1,00","47,00","55,00","32,00","120,00","1,00","120,00","18,00","0,00","0,00","0,00","0,00","0,00","5,00","0,00","35,00","31,00","15,00","25,00","35,00","36,00","4,00","2,00","1,00","6,00","16,00","11,00","7,00","22,00","3,00","29,00","30,00","5,00","50,00","60,71","1 345,47","4,00","22,17","1 284,76","1 323,29","4,00","0,00","0,00","Jihočeský kraj","TÁBOR","Tábor"
"Banín","4 171,24","3 163,60","0,00","36,95","489,15","864,75","295,86","113,00","51,00","0,00","110,00","137,00","87,00","315,00","2,00","301,00","47,00","0,00","0,00","0,00","0,00","0,00","8,00","3,00","114,00","58,00","63,00","44,00","101,00","104,00","9,00","10,00","13,00","3,00","39,00","34,00","9,00","40,00","14,00","55,00","82,00","24,00","113,00","295,86","4 361,16","3,00","-299,20","4 065,30","4 660,36","3,00","2,00","5,00","Pardubický kraj","SVITAVY","Svitavy"
"Bánov","19 972,83","15 684,81","0,00","766,72","6 683,14","4 970,28","3 481,03","665,00","395,00","4,00","673,00","997,00","594,00","2 121,00","3,00","2 048,00","330,00","0,00","1,00","0,00","2,00","0,00","139,00","29,00","747,00","446,00","307,00","324,00","635,00","694,00","68,00","70,00","34,00","98,00","447,00","307,00","22,00","412,00","118,00","548,00","586,00","103,00","918,00","3 481,03","24 902,85","31,00","-1 753,12","21 421,81","26 655,97","26,00","20,00","22,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Báňovice","763,12","1 039,51","0,00","0,00","16,70","105,01","90,96","30,00","21,00","0,00","31,00","53,00","26,00","113,00","1,00","110,00","19,00","0,00","0,00","0,00","0,00","0,00","9,00","0,00","31,00","25,00","27,00","17,00","32,00","40,00","2,00","3,00","0,00","3,00","38,00","21,00","7,00","14,00","5,00","21,00","26,00","3,00","49,00","90,96","1 235,48","6,00","455,65","1 144,52","779,83","0,00","1,00","1,00","Jihočeský kraj","DAČICE","Jindřichův Hradec"
"Bantice","3 278,92","2 761,13","151,51","1,45","419,12","1 206,93","415,58","104,00","55,00","0,00","96,00","144,00","88,00","285,00","3,00","285,00","28,00","0,00","0,00","0,00","0,00","0,00","13,00","1,00","95,00","64,00","35,00","65,00","84,00","89,00","10,00","9,00","5,00","59,00","59,00","29,00","7,00","56,00","16,00","77,00","83,00","10,00","122,00","567,09","4 536,61","3,00","838,60","3 969,51","3 698,01","3,00","8,00","3,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Barchov","2 098,47","2 327,70","560,00","9,21","3 172,08","285,44","61,46","96,00","51,00","5,00","101,00","143,00","78,00","317,00","2,00","289,00","35,00","0,00","0,00","0,00","1,00","0,00","20,00","3,00","86,00","64,00","42,00","41,00","106,00","116,00","7,00","12,00","30,00",NA,"66,00","32,00","12,00","58,00","16,00","60,00","76,00","13,00","137,00","621,46","3 243,79","30,00","-2 026,73","2 622,35","5 270,52","8,00","1,00","8,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Barchov","1 753,78","1 513,91","0,00","0,00","217,30","105,11","61,09","57,00","38,00","1,00","74,00","102,00","55,00","175,00","0,00","186,00","21,00","0,00","0,00","0,00","0,00","0,00","20,00","2,00","65,00","42,00","29,00","21,00","54,00","67,00","9,00","3,00","1,00","4,00","43,00","23,00","5,00","48,00","8,00","45,00","54,00","7,00","95,00","61,09","1 680,12","3,00","-290,95","1 619,02","1 971,07","9,00","4,00","0,00","Pardubický kraj","PARDUBICE","Pardubice"
"Barchovice","2 091,37","2 996,42","0,00","17,40","73,65","88,36","61,21","82,00","33,00","1,00","92,00","93,00","70,00","199,00","2,00","190,00","35,00","0,00","0,00","0,00","2,00","0,00","7,00","0,00","68,00","49,00","32,00","27,00","62,00","57,00","9,00","9,00","7,00","2,00","28,00","20,00","10,00","39,00","6,00","49,00","65,00","8,00","85,00","61,21","3 163,39","6,00","998,40","3 102,18","2 164,99","14,00","4,00","5,00","Středočeský kraj","KOLÍN","Kolín"
"Bařice-Velké Těšany","2 984,57","4 038,09","0,00","130,56","2 640,61","807,62","230,49","160,00","82,00","2,00","166,00","240,00","140,00","468,00","1,00","497,00","81,00","0,00","0,00","0,00","0,00","1,00","20,00","3,00","184,00","98,00","78,00","41,00","138,00","179,00","16,00","13,00","56,00","4,00","127,00","69,00","18,00","111,00","8,00","98,00","138,00","25,00","214,00","230,49","5 206,74","20,00","-418,42","4 976,27","5 625,15","28,00","6,00","3,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bartošovice","16 463,71","13 412,59","526,59","8 657,79","2 949,21","8 142,52","1 623,09","576,00","295,00","2,00","472,00","797,00","421,00","1 683,00","4,00","1 633,00","216,00","2,00","4,00","0,00","3,00","0,00","96,00","34,00","616,00","288,00","290,00","261,00","518,00","560,00","66,00","62,00","51,00","25,00","341,00","230,00","55,00","272,00","85,00","376,00","391,00","95,00","702,00","2 149,68","32 362,57","68,00","12 949,72","30 212,90","19 412,86","49,00","12,00","17,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Bartošovice v Orlických horách","5 217,37","3 765,19","1 105,00","104,40","1 625,60","1 386,59","902,21","73,00","42,00","5,00","79,00","112,00","45,00","224,00","2,00","205,00","23,00","0,00","1,00","0,00","3,00","0,00","16,00","2,00","68,00","33,00","42,00","39,00","69,00","77,00","8,00","8,00","10,00","17,00","12,00","10,00","11,00","61,00","3,00","54,00","33,00","8,00","100,00","2 007,21","7 263,38","13,00","420,42","5 256,18","6 842,96","3,00","4,00","1,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Bartoušov","1 118,09","1 445,28","0,00","250,92","173,37","283,22","61,02","64,00","19,00","0,00","74,00","75,00","60,00","159,00","1,00","175,00","24,00","0,00","1,00","0,00","0,00","0,00","6,00","1,00","68,00","28,00","34,00","23,00","40,00","47,00","11,00","14,00","9,00",NA,"25,00","25,00","9,00","15,00","12,00","20,00","58,00","13,00","68,00","61,02","2 040,43","4,00","748,98","1 979,42","1 291,45","7,00","4,00","1,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Baška","22 383,52","26 364,12","18 156,73","74,88","20 371,03","5 716,08","2 038,49","1 224,00","752,00","18,00","1 135,00","1 682,00","1 005,00","3 618,00","6,00","3 526,00","565,00","1,00","6,00","0,00","2,00","0,00","422,00","66,00","1 028,00","869,00","458,00","540,00","1 090,00","1 169,00","134,00","120,00","83,00","189,00","654,00","421,00","28,00","783,00","107,00","798,00","982,00","146,00","1 510,00","20 195,22","52 350,29","133,00","9 595,86","32 155,08","42 754,43","85,00","36,00","35,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek"
