"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet bytových domácností","Počet bytových domácností vybavených počítačem a připojením na internet","Počet dokončených bytů","Počet domů","Počet ekonomicky aktivních osob","Počet obydlených domů","Počet obyvatel","Počet obyvatel bez vzdělání","Počet obyvatel dle Sčítání lidu 2011","Počet obyvatel nad 65 let","Počet obyvatel s německou národností","Počet obyvatel s polskou národností","Počet obyvatel s romskou národností","Počet obyvatel s ukrajinskou národností","Počet obyvatel s vietnamskou národností","Počet obyvatel s vysokoškolským vzděláním","Počet obyvatel se slovenskou národností","Počet obyvatel se středoškolským vzděláním bez maturity","Počet obyvatel se středoškolským vzděláním s maturitou","Počet obyvatel se základním vzděláním","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet obyvatel, kteří neuvedli vzdělání","Počet osob dojíždějících za prací do obce","Počet osob vyjíždějících z obce za prací","Počet osob zaměstnaných v průmyslu","Počet osob zaměstnaných v zemědělství","Počet osob zaměstnaných ve službách","Počet osob zaměstnaných ve stavebnictví","Počet podnikatelských subjektů celkem","Počet rodinných domů","Počet uchazečů o zaměstnání","Počet zaměstnaných osob","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Jarošov nad Nežárkou","13 504,10","10 873,32","324,00","427,59","1 175,48","3 325,05","1 106,99","397,00","202,00","5,00","369,00","542,00","273,00","1 115,00","5,00","1 087,00","149,00","0,00","1,00","0,00","7,00","0,00","73,00","4,00","333,00","260,00","185,00","168,00","344,00","367,00","42,00","45,00","42,00","41,00","215,00","134,00","66,00","200,00","40,00","249,00","250,00","35,00","500,00","1 430,99","16 056,93","13,00","1 377,44","14 625,96","14 679,49","18,00","7,00","13,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Jarov","1 437,53","1 846,67","1 847,63","0,00","3 258,99","490,26","138,88","87,00","41,00","0,00","105,00","104,00","75,00","230,00","0,00","232,00","53,00","1,00","0,00","0,00","0,00","0,00","10,00","0,00","96,00","39,00","49,00","25,00","55,00","74,00","14,00","9,00","4,00","6,00","51,00","35,00","6,00","36,00","13,00","33,00","73,00","7,00","99,00","1 986,51","4 323,45","5,00","-373,07","2 336,93","4 696,51","10,00","5,00","2,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Jarov","2 073,73","1 542,70","0,00","20,73","0,00","690,48","372,88","45,00","20,00","0,00","54,00","51,00","35,00","131,00","3,00","136,00","32,00","1,00","0,00","0,00","0,00","0,00","11,00","0,00","29,00","37,00","29,00","21,00","35,00","34,00","6,00","3,00","4,00",NA,"23,00","4,00","6,00","22,00","4,00","31,00","34,00","6,00","43,00","372,88","2 626,79","1,00","553,08","2 253,91","2 073,71","12,00","2,00","0,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Jarpice","1 529,66","2 720,67","0,00","0,00","564,23","136,07","63,33","96,00","47,00","1,00","129,00","129,00","78,00","274,00","0,00","283,00","33,00","0,00","0,00","0,00","1,00","0,00","4,00","3,00","107,00","30,00","58,00","57,00","80,00","86,00","9,00","9,00","14,00","8,00","51,00","26,00","16,00","46,00","8,00","58,00","73,00","15,00","114,00","63,33","2 920,05","9,00","826,18","2 856,74","2 093,87","9,00","3,00","1,00","Středočeský kraj","SLANÝ","Kladno"
"Jasenice","2 943,74","1 639,03","0,00","11,50","0,00","439,27","480,20","75,00","39,00","0,00","72,00","97,00","55,00","206,00","0,00","211,00","37,00","0,00","0,00","0,00","0,00","0,00","10,00","0,00","90,00","35,00","40,00","29,00","61,00","69,00","3,00","7,00","4,00","4,00","42,00","39,00","14,00","21,00","4,00","35,00","55,00","13,00","83,00","480,20","2 570,00","3,00","-373,69","2 089,80","2 943,69","0,00","2,00","4,00","Vysočina","NÁMĚŠŤ NAD OSLAVOU","Třebíč"
"Jasenná","8 169,20","7 359,29","0,00","85,26","1 580,62","455,18","1 573,09","291,00","157,00","2,00","301,00","468,00","253,00","948,00","2,00","916,00","126,00","0,00","0,00","0,00","1,00","0,00","71,00","5,00","323,00","174,00","136,00","143,00","298,00","312,00","31,00","38,00","37,00","84,00","148,00","152,00","17,00","176,00","38,00","233,00","245,00","37,00","436,00","1 573,09","9 472,82","18,00","-277,00","7 899,73","9 749,82","4,00","10,00","11,00","Zlínský kraj","VIZOVICE","Zlín"
"Jasenná","5 677,13","5 719,78","0,00","0,00","747,49","1 083,63","980,35","259,00","108,00","2,00","261,00","321,00","212,00","719,00","1,00","695,00","119,00","1,00","4,00","0,00","1,00","0,00","42,00","5,00","254,00","128,00","121,00","117,00","221,00","210,00","26,00","26,00","23,00","5,00","109,00","85,00","11,00","119,00","22,00","142,00","203,00","41,00","282,00","980,35","7 783,75","11,00","1 359,19","6 803,41","6 424,56","11,00","9,00","5,00","Královéhradecký kraj","JAROMĚŘ","Náchod"
"Javor","560,38","745,10","0,00","2,55","0,00","397,17","63,88","26,00","11,00","0,00","37,00","36,00","22,00","76,00","0,00","77,00","13,00","0,00","0,00","0,00","0,00","0,00","2,00","1,00","26,00","21,00","11,00","9,00","22,00","26,00","4,00","2,00","3,00","1,00","23,00","13,00","1,00","15,00","2,00","14,00","22,00","3,00","33,00","63,88","1 208,70","3,00","648,31","1 144,82","560,39","5,00","2,00","1,00","Plzeňský kraj","KLATOVY","Klatovy"
"Javorek","864,70","852,75","0,00","0,00","164,11","40,67","184,58","31,00","20,00","0,00","50,00","48,00","24,00","104,00","0,00","101,00","15,00","0,00","0,00","0,00","0,00","0,00","5,00","0,00","25,00","29,00","24,00","13,00","38,00","37,00","1,00","0,00","0,00","1,00","25,00","4,00","7,00","24,00","6,00","19,00","23,00","9,00","42,00","184,58","1 078,00","1,00","49,22","893,42","1 028,77","2,00","1,00","0,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Javornice","6 654,67","7 154,81","0,00","210,00","694,12","1 143,67","1 317,56","344,00","187,00","8,00","388,00","446,00","269,00","950,00","6,00","933,00","132,00","2,00","1,00","0,00","1,00","0,00","64,00","4,00","309,00","225,00","126,00","163,00","277,00","312,00","32,00","34,00","16,00","15,00","169,00","140,00","30,00","186,00","25,00","178,00","254,00","24,00","425,00","1 317,56","9 826,05","45,00","2 477,31","8 508,48","7 348,73","16,00","9,00","15,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
