"obce","Počet obyvatel dle Sčítání lidu 2001","kraj","orp","okres"
"Abertamy","1 197,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","4 970,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","113,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","515,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","508,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","495,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","4 071,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","990,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","807,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","329,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
"Albrechtičky","693,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Alojzov","207,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Andělská Hora","383,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Andělská Hora","191,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Anenská Studánka","187,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Archlebov","908,00","Jihomoravský kraj","KYJOV","Hodonín"
"Arneštovice","81,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Arnolec","184,00","Vysočina","JIHLAVA","Jihlava"
"Arnoltice","285,00","Ústecký kraj","DĚČÍN","Děčín"
"Aš","12 584,00","Karlovarský kraj","AŠ","Cheb"
"Babice","216,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Babice","212,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Babice","78,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Babice","264,00","Středočeský kraj","ŘÍČANY","Praha-východ"
"Babice","1 745,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Babice","403,00","Olomoucký kraj","ŠTERNBERK","Olomouc"
"Babice nad Svitavou","859,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Babice u Rosic","523,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Babylon","279,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bačalky","162,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bačetín","383,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bačice","202,00","Vysočina","TŘEBÍČ","Třebíč"
"Bačkov","149,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bačkovice","139,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bácovice","65,00","Vysočina","PELHŘIMOV","Pelhřimov"
