"obce","Počet obyvatel dle Sčítání lidu 2001","kraj","orp","okres"
"Bakov nad Jizerou","4 544,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Baliny","124,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Balkova Lhota","124,00","Jihočeský kraj","TÁBOR","Tábor"
"Banín","304,00","Pardubický kraj","SVITAVY","Svitavy"
"Bánov","2 081,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Báňovice","110,00","Jihočeský kraj","DAČICE","Jindřichův Hradec"
"Bantice","190,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Barchov","257,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Barchov","162,00","Pardubický kraj","PARDUBICE","Pardubice"
"Barchovice","192,00","Středočeský kraj","KOLÍN","Kolín"
"Bařice-Velké Těšany","473,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bartošovice","1 605,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Bartošovice v Orlických horách","218,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Bartoušov","152,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Baška","3 157,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek"
"Bašnice","197,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bašť","549,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Batelov","2 393,00","Vysočina","JIHLAVA","Jihlava"
"Batňovice","697,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bavorov","1 436,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bavory","396,00","Jihomoravský kraj","MIKULOV","Břeclav"
"Bavoryně","169,00","Středočeský kraj","BEROUN","Beroun"
"Bdeněves","387,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Bdín","63,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Běchary","239,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bechlín","1 114,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Bechyně","5 931,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","66,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","109,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice"
"Bečov","2 079,00","Ústecký kraj","MOST","Most"
"Bečov nad Teplou","1 002,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bečváry","994,00","Středočeský kraj","KOLÍN","Kolín"
"Bedihošť","1 051,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bednárec","102,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bednáreček","181,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bedřichov","239,00","Liberecký kraj","JABLONEC NAD NISOU","Jablonec n.Nisou"
"Bedřichov","248,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Běhařov","152,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běhařovice","425,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bělá","256,00","Liberecký kraj","SEMILY","Semily"
"Bělá","705,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bělá","47,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bělá","191,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bělá nad Radbuzou","1 727,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bělá nad Svitavou","477,00","Pardubický kraj","SVITAVY","Svitavy"
"Bělá pod Bezdězem","4 789,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bělá pod Pradědem","1 785,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bělá u Jevíčka","380,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bělčice","991,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Běleč","187,00","Jihočeský kraj","TÁBOR","Tábor"
"Běleč","293,00","Středočeský kraj","KLADNO","Kladno"
"Běleč","194,00","Jihomoravský kraj","TIŠNOV","Blansko"
"Běleč nad Orlicí","215,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bělkovice-Lašťany","1 854,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Běloky","127,00","Středočeský kraj","KLADNO","Kladno"
"Bělotín","1 641,00","Olomoucký kraj","HRANICE","Přerov"
"Bělov","242,00","Zlínský kraj","OTROKOVICE","Kroměříž"
"Bělušice","188,00","Ústecký kraj","MOST","Most"
"Bělušice","238,00","Středočeský kraj","KOLÍN","Kolín"
"Benátky","97,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Benátky","300,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Benátky nad Jizerou","6 648,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Benecko","1 141,00","Liberecký kraj","JILEMNICE","Semily"
"Benešov","16 323,00","Středočeský kraj","BENEŠOV","Benešov"
"Benešov","580,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Benešov nad Černou","1 237,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Benešov nad Ploučnicí","4 062,00","Ústecký kraj","DĚČÍN","Děčín"
"Benešov u Semil","850,00","Liberecký kraj","SEMILY","Semily"
"Benešovice","156,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Benetice","183,00","Vysočina","TŘEBÍČ","Třebíč"
"Beňov","682,00","Olomoucký kraj","PŘEROV","Přerov"
"Bernardov","176,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bernartice","1 222,00","Jihočeský kraj","MILEVSKO","Písek"
"Bernartice","228,00","Středočeský kraj","VLAŠIM","Benešov"
"Bernartice","911,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bernartice","899,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bernartice nad Odrou","792,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Beroun","17 459,00","Středočeský kraj","BEROUN","Beroun"
"Beřovice","279,00","Středočeský kraj","SLANÝ","Kladno"
"Běrunice","877,00","Středočeský kraj","PODĚBRADY","Nymburk"
"Besednice","802,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Běšiny","859,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běštín","276,00","Středočeský kraj","HOŘOVICE","Beroun"
"Běstovice","417,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Běstvina","540,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bezděčí u Trnávky","238,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bezdědovice","306,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Bezděkov","260,00","Pardubický kraj","PARDUBICE","Pardubice"
"Bezděkov","846,00","Plzeňský kraj","KLATOVY","Klatovy"
"Bezděkov","235,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Bezděkov","92,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Bezděkov nad Metují","510,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Bezděkov pod Třemšínem","143,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bezděz","268,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bezdružice","990,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Bezkov","206,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bezměrov","556,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bezno","858,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bezuchov","173,00","Olomoucký kraj","PŘEROV","Přerov"
"Bezvěrov","616,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílá","344,00","Moravskoslezský kraj","FRÝDLANT N. OSTRAVICÍ","Frýdek-Místek"
"Bílá","803,00","Liberecký kraj","LIBEREC","Liberec"
"Bílá Hlína","99,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Bílá Lhota","1 117,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílá Třemešná","1 299,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílá Voda","316,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bílčice","250,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Bílé Podolí","574,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Bílé Poličany","152,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílence","183,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Bílichov","134,00","Středočeský kraj","SLANÝ","Kladno"
"Bílina","15 890,00","Ústecký kraj","BÍLINA","Teplice"
"Bílov","539,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílov","81,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílovec","7 494,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílovice","1 621,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Bílovice nad Svitavou","2 302,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Bílovice-Lutotín","485,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bílsko","206,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bílsko","204,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílsko u Hořic","110,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bílý Kámen","151,00","Vysočina","JIHLAVA","Jihlava"
"Bílý Kostel nad Nisou","771,00","Liberecký kraj","LIBEREC","Liberec"
"Bílý Potok","623,00","Liberecký kraj","FRÝDLANT","Liberec"
"Bílý Újezd","594,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Biřkov","134,00","Plzeňský kraj","KLATOVY","Klatovy"
"Biskoupky","177,00","Jihomoravský kraj","IVANČICE","Brno-venkov"
"Biskupice","248,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Biskupice","728,00","Zlínský kraj","LUHAČOVICE","Zlín"
"Biskupice","52,00","Pardubický kraj","CHRUDIM","Chrudim"
"Biskupice-Pulkov","309,00","Vysočina","TŘEBÍČ","Třebíč"
"Bítouchov","282,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bítov","391,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bítov","154,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bítovany","389,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bítovčice","399,00","Vysočina","JIHLAVA","Jihlava"
"Bitozeves","361,00","Ústecký kraj","ŽATEC","Louny"
"Blanné","94,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blansko","20 594,00","Jihomoravský kraj","BLANSKO","Blansko"
"Blatce","57,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blatec","569,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Blatná","6 644,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Blatnice","383,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Blatnice","691,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blatnice pod Svatým Antonínkem","2 163,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatnička","449,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatno","315,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Blatno","553,00","Ústecký kraj","PODBOŘANY","Louny"
"Blažejov","295,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Blažejovice","96,00","Středočeský kraj","VLAŠIM","Benešov"
"Blazice","202,00","Zlínský kraj","BYSTŘICE POD HOSTÝNEM","Kroměříž"
"Blažim","86,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blažim","191,00","Ústecký kraj","ŽATEC","Louny"
"Blažkov","304,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Blažovice","1 078,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Blešno","313,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Blevice","282,00","Středočeský kraj","KLADNO","Kladno"
"Blížejov","1 036,00","Plzeňský kraj","HORŠOVSKÝ TÝN","Domažlice"
"Blíževedly","632,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blízkov","340,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Blížkovice","1 251,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blovice","3 868,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Blšany","926,00","Ústecký kraj","PODBOŘANY","Louny"
"Blšany u Loun","203,00","Ústecký kraj","LOUNY","Louny"
"Blučina","2 006,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov"
"Bludov","26,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bobnice","724,00","Středočeský kraj","NYMBURK","Nymburk"
"Bobrová","919,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bobrůvka","245,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bocanovice","428,00","Moravskoslezský kraj","JABLUNKOV","Frýdek-Místek"
"Bochoř","945,00","Olomoucký kraj","PŘEROV","Přerov"
"Bochov","1 950,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bochovice","162,00","Vysočina","TŘEBÍČ","Třebíč"
"Boháňka","211,00","Královéhradecký kraj","HOŘICE","Jičín"
"Boharyně","523,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bohaté Málkovice","249,00","Jihomoravský kraj","BUČOVICE","Vyškov"
"Bohatice","155,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bohdalec","301,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
"Bohdalice-Pavlovice","810,00","Jihomoravský kraj","VYŠKOV","Vyškov"
"Bohdalín","228,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bohdalov","1 074,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
"Bohdalovice","264,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Bohdaneč","399,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bohdašín","222,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bohdíkov","1 407,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Bohostice","194,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bohumilice","322,00","Jihočeský kraj","VIMPERK","Prachatice"
"Bohumín","23 284,00","Moravskoslezský kraj","BOHUMÍN","Karviná"
"Bohunice","45,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Bohuňov","245,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Bohuňov","181,00","Pardubický kraj","SVITAVY","Svitavy"
"Bohuňovice","2 363,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Bohuňovice","116,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Bohušice","120,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bohuslavice","519,00","Olomoucký kraj","KONICE","Prostějov"
"Bohuslavice","1 568,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bohuslavice","125,00","Vysočina","TELČ","Jihlava"
"Bohuslavice","470,00","Olomoucký kraj","ZÁBŘEH","Šumperk"
"Bohuslavice nad Vláří","402,00","Zlínský kraj","LUHAČOVICE","Zlín"
"Bohuslavice u Zlína","800,00","Zlínský kraj","ZLÍN","Zlín"
"Bohuslávky","345,00","Olomoucký kraj","LIPNÍK NAD BEČVOU","Přerov"
"Bohušov","456,00","Moravskoslezský kraj","KRNOV","Bruntál"
"Bohušovice nad Ohří","2 535,00","Ústecký kraj","LITOMĚŘICE","Litoměřice"
"Bohutice","617,00","Jihomoravský kraj","MORAVSKÝ KRUMLOV","Znojmo"
"Bohutín","1 487,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bohutín","880,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Bohy","69,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bojanov","656,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bojanovice","376,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Bojanovice","166,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bojiště","253,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bojkovice","4 768,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Bolatice","4 134,00","Moravskoslezský kraj","KRAVAŘE","Opava"
"Boleboř","194,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Bolehošť","529,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Boleradice","850,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Bolešiny","615,00","Plzeňský kraj","KLATOVY","Klatovy"
"Boletice","292,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Bolkov","54,00","Plzeňský kraj","PŘEŠTICE","Plzeň-jih"
"Boňkov","58,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bor","3 961,00","Plzeňský kraj","TACHOV","Tachov"
"Bor u Skutče","177,00","Pardubický kraj","CHRUDIM","Chrudim"
"Borač","300,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Bořanovice","466,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Bordovice","539,00","Moravskoslezský kraj","FRENŠTÁT P. RADHOŠTĚM","Nový Jičín"
"Boreč","291,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Borek","169,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Mělník"
"Borek","196,00","Pardubický kraj","PARDUBICE","Pardubice"
"Borek","102,00","Královéhradecký kraj","HOŘICE","Jičín"
"Borek","143,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Borek","1 133,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Bořenovice","160,00","Zlínský kraj","HOLEŠOV","Kroměříž"
"Bořetice","1 313,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Bořetice","70,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bořetín","87,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bořetín","106,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bořice","174,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bořislav","297,00","Ústecký kraj","TEPLICE","Teplice"
"Bořitov","1 224,00","Jihomoravský kraj","BLANSKO","Blansko"
"Borkovany","733,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Borkovice","229,00","Jihočeský kraj","SOBĚSLAV","Tábor"
"Borohrádek","2 136,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Borotice","322,00","Středočeský kraj","DOBŘÍŠ","Příbram"
"Borotice","372,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Borotín","510,00","Jihočeský kraj","TÁBOR","Tábor"
"Borotín","438,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Borová","178,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Borová","922,00","Pardubický kraj","POLIČKA","Svitavy"
"Borová Lada","284,00","Jihočeský kraj","VIMPERK","Prachatice"
"Borovany","219,00","Jihočeský kraj","MILEVSKO","Písek"
"Borovany","3 584,00","Jihočeský kraj","TRHOVÉ SVINY","České Budějovice"
"Borovná","89,00","Vysočina","TELČ","Jihlava"
"Borovnice","197,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Borovnice","96,00","Středočeský kraj","VLAŠIM","Benešov"
"Borovnice","371,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Borovnice","445,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Borovnice","92,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Borovnička","203,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Borovník","87,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Borovno","92,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Borovy","235,00","Plzeňský kraj","PŘEŠTICE","Klatovy"
"Boršice","2 283,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Boršice u Blatnice","860,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Boršov","104,00","Vysočina","JIHLAVA","Jihlava"
"Boršov nad Vltavou","918,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Borušov","163,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bory","756,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Boseň","368,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Bošice","294,00","Jihočeský kraj","VIMPERK","Prachatice"
"Bošilec","192,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Bošín","81,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Boskovice","11 359,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Boskovštejn","146,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bošovice","1 073,00","Jihomoravský kraj","SLAVKOV U BRNA","Vyškov"
"Boudy","180,00","Jihočeský kraj","PÍSEK","Písek"
"Bousín","140,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bousov","234,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bouzov","1 476,00","Olomoucký kraj","LITOVEL","Olomouc"
"Božanov","332,00","Královéhradecký kraj","BROUMOV","Náchod"
"Božejov","654,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Božetice","398,00","Jihočeský kraj","MILEVSKO","Písek"
"Boží Dar","170,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Božičany","631,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Božice","1 350,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bozkov","560,00","Liberecký kraj","SEMILY","Semily"
"Brada-Rybníček","66,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bradáčov","74,00","Jihočeský kraj","TÁBOR","Tábor"
"Bradlec","437,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bradlecká Lhota","201,00","Liberecký kraj","SEMILY","Semily"
"Brambory","104,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Braňany","1 169,00","Ústecký kraj","MOST","Most"
"Brandov","257,00","Ústecký kraj","LITVÍNOV","Most"
"Brandýs nad Labem-Stará Boleslav","15 298,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Brandýs nad Orlicí","1 438,00","Pardubický kraj","ÚSTÍ NAD ORLICÍ","Ústí nad Orlicí"
"Brandýsek","1 627,00","Středočeský kraj","KLADNO","Kladno"
"Branice","302,00","Jihočeský kraj","MILEVSKO","Písek"
"Braníškov","163,00","Jihomoravský kraj","TIŠNOV","Brno-venkov"
"Branišov","158,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Branka u Opavy","1 013,00","Moravskoslezský kraj","OPAVA","Opava"
"Brankovice","933,00","Jihomoravský kraj","BUČOVICE","Vyškov"
"Branky","857,00","Zlínský kraj","VALAŠSKÉ MEZIŘÍČÍ","Vsetín"
"Branná","375,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Branov","215,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Bransouze","258,00","Vysočina","TŘEBÍČ","Třebíč"
"Brantice","1 174,00","Moravskoslezský kraj","KRNOV","Bruntál"
"Branžež","188,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Braškov","866,00","Středočeský kraj","KLADNO","Kladno"
"Břasy","2 033,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Bratčice","632,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov"
"Bratčice","392,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
