"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet uchazečů o zaměstnání","kraj","orp","okres","Počet dokončených bytů"
"Abertamy","1 447,00","126,00","242,00","557,00","466,00","31,00","25,00","89,00","Karlovarský kraj","OSTROV","Karlovy Vary",NA
"Adamov","4 815,00","743,00","678,00","1 579,00","1 521,00","157,00","137,00","161,00","Jihomoravský kraj","BLANSKO","Blansko","1,00"
"Adamov","118,00","28,00","17,00","37,00","30,00","2,00","4,00","8,00","Středočeský kraj","ČÁSLAV","Kutná Hora",NA
"Adamov","538,00","56,00","63,00","189,00","188,00","23,00","19,00","10,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice","3,00"
"Adršpach","540,00","49,00","57,00","203,00","192,00","19,00","20,00","13,00","Královéhradecký kraj","BROUMOV","Náchod",NA
"Albrechtice","480,00","54,00","72,00","164,00","154,00","20,00","16,00","17,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí",NA
"Albrechtice","3 969,00","510,00","597,00","1 373,00","1 294,00","96,00","99,00","232,00","Moravskoslezský kraj","HAVÍŘOV","Karviná","2,00"
"Albrechtice nad Orlicí","1 059,00","204,00","126,00","338,00","324,00","36,00","31,00","10,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou","1,00"
"Albrechtice nad Vltavou","842,00","168,00","97,00","275,00","238,00","30,00","34,00","18,00","Jihočeský kraj","PÍSEK","Písek","2,00"
"Albrechtice v Jizerských horách","318,00","43,00","49,00","107,00","97,00","15,00","7,00","13,00","Liberecký kraj","TANVALD","Jablonec n.Nisou","11,00"
"Albrechtičky","691,00","115,00","79,00","245,00","217,00","17,00","18,00","23,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín","1,00"
"Alojzov","229,00","41,00","23,00","72,00","79,00","7,00","7,00","6,00","Olomoucký kraj","PROSTĚJOV","Prostějov","2,00"
"Andělská Hora","365,00","38,00","47,00","130,00","129,00","13,00","8,00","28,00","Moravskoslezský kraj","BRUNTÁL","Bruntál",NA
"Andělská Hora","241,00","30,00","36,00","74,00","77,00","11,00","13,00","7,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary","1,00"
"Anenská Studánka","191,00","17,00","24,00","41,00","93,00","9,00","7,00","7,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí","1,00"
"Archlebov","861,00","165,00","99,00","280,00","269,00","20,00","28,00","39,00","Jihomoravský kraj","KYJOV","Hodonín",NA
"Arneštovice","87,00","27,00","8,00","23,00","27,00","0,00","2,00","2,00","Vysočina","PELHŘIMOV","Pelhřimov",NA
"Arnolec","180,00","22,00","29,00","59,00","60,00","3,00","7,00","5,00","Vysočina","JIHLAVA","Jihlava",NA
"Arnoltice","308,00","24,00","51,00","114,00","97,00","10,00","12,00","22,00","Ústecký kraj","DĚČÍN","Děčín","1,00"
"Aš","13 261,00","1 565,00","2 052,00","4 421,00","4 454,00","428,00","341,00","345,00","Karlovarský kraj","AŠ","Cheb","9,00"
"Babice","199,00","34,00","19,00","68,00","64,00","8,00","6,00","7,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové",NA
"Babice","201,00","29,00","26,00","68,00","61,00","8,00","9,00","14,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč","2,00"
"Babice","91,00","16,00","22,00","28,00","22,00","1,00","2,00","1,00","Jihočeský kraj","PRACHATICE","Prachatice",NA
"Babice","430,00","43,00","87,00","140,00","132,00","15,00","13,00","2,00","Středočeský kraj","ŘÍČANY","Praha-východ","2,00"
"Babice","1 754,00","246,00","240,00","593,00","581,00","49,00","45,00","47,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště","23,00"
"Babice","418,00","49,00","62,00","146,00","133,00","14,00","14,00","18,00","Olomoucký kraj","ŠTERNBERK","Olomouc",NA
"Babice nad Svitavou","995,00","138,00","145,00","334,00","302,00","39,00","37,00","25,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov","5,00"
"Babice u Rosic","584,00","99,00","99,00","174,00","184,00","10,00","18,00","15,00","Jihomoravský kraj","ROSICE","Brno-venkov","10,00"
"Babylon","272,00","31,00","41,00","95,00","83,00","11,00","11,00","10,00","Plzeňský kraj","DOMAŽLICE","Domažlice","1,00"
"Bačalky","156,00","34,00","13,00","51,00","45,00","6,00","7,00","7,00","Královéhradecký kraj","JIČÍN","Jičín",NA
"Bačetín","396,00","60,00","60,00","131,00","123,00","11,00","11,00","11,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou",NA
"Bačice","188,00","33,00","23,00","56,00","54,00","10,00","12,00","9,00","Vysočina","TŘEBÍČ","Třebíč",NA
"Bačkov","130,00","28,00","22,00","38,00","37,00","3,00","2,00","5,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod",NA
"Bačkovice","116,00","26,00","8,00","39,00","35,00","4,00","4,00","0,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč",NA
"Bácovice","54,00","13,00","11,00","13,00","13,00","2,00","2,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov",NA
"Bakov nad Jizerou","4 939,00","705,00","726,00","1 672,00","1 526,00","163,00","147,00","62,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav","13,00"
"Baliny","122,00","25,00","21,00","37,00","34,00","2,00","3,00","4,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou",NA
"Balkova Lhota","116,00","19,00","22,00","33,00","33,00","4,00","5,00","3,00","Jihočeský kraj","TÁBOR","Tábor",NA
"Banín","303,00","43,00","42,00","103,00","96,00","10,00","9,00","12,00","Pardubický kraj","SVITAVY","Svitavy",NA
"Bánov","2 108,00","287,00","319,00","703,00","654,00","71,00","74,00","70,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště","26,00"
"Báňovice","104,00","20,00","16,00","35,00","29,00","3,00","1,00","2,00","Jihočeský kraj","DAČICE","Jindřichův Hradec",NA
"Bantice","271,00","24,00","58,00","94,00","81,00","5,00","9,00","12,00","Jihomoravský kraj","ZNOJMO","Znojmo","9,00"
"Barchov","230,00","41,00","22,00","73,00","83,00","4,00","7,00","4,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové",NA
"Barchov","171,00","22,00","22,00","66,00","52,00","7,00","2,00","3,00","Pardubický kraj","PARDUBICE","Pardubice","2,00"
"Barchovice","204,00","30,00","27,00","66,00","68,00","7,00","6,00","11,00","Středočeský kraj","KOLÍN","Kolín",NA
"Bařice-Velké Těšany","457,00","69,00","53,00","162,00","143,00","14,00","16,00","14,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž","3,00"
"Bartošovice","1 614,00","178,00","256,00","542,00","523,00","53,00","62,00","88,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín","4,00"
"Bartošovice v Orlických horách","197,00","26,00","33,00","74,00","54,00","7,00","3,00","6,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou",NA
"Bartoušov","158,00","20,00","28,00","49,00","44,00","8,00","9,00","6,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod","1,00"
"Baška","3 418,00","505,00","521,00","1 089,00","1 055,00","132,00","116,00","109,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek","2,00"
"Bašnice","193,00","37,00","28,00","55,00","57,00","10,00","6,00","6,00","Královéhradecký kraj","HOŘICE","Jičín",NA
"Bašť","845,00","84,00","149,00","270,00","291,00","22,00","29,00","9,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ","122,00"
"Batelov","2 331,00","356,00","369,00","761,00","699,00","79,00","67,00","51,00","Vysočina","JIHLAVA","Jihlava","3,00"
"Batňovice","722,00","120,00","103,00","240,00","211,00","26,00","22,00","21,00","Královéhradecký kraj","TRUTNOV","Trutnov","2,00"
"Bavorov","1 464,00","208,00","205,00","486,00","454,00","54,00","57,00","53,00","Jihočeský kraj","VODŇANY","Strakonice","1,00"
"Bavory","401,00","41,00","62,00","135,00","142,00","9,00","12,00","15,00","Jihomoravský kraj","MIKULOV","Břeclav","1,00"
"Bavoryně","196,00","17,00","41,00","58,00","62,00","9,00","9,00","3,00","Středočeský kraj","BEROUN","Beroun",NA
"Bdeněves","539,00","72,00","88,00","171,00","177,00","17,00","14,00","14,00","Plzeňský kraj","NÝŘANY","Plzeň-sever","16,00"
"Bdín","61,00","15,00","10,00","14,00","17,00","4,00","1,00","1,00","Středočeský kraj","RAKOVNÍK","Rakovník",NA
"Běchary","229,00","41,00","32,00","75,00","71,00","3,00","7,00","14,00","Královéhradecký kraj","JIČÍN","Jičín",NA
"Bechlín","1 189,00","162,00","197,00","377,00","380,00","31,00","42,00","59,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice","1,00"
"Bechyně","5 557,00","918,00","756,00","1 843,00","1 742,00","152,00","146,00","141,00","Jihočeský kraj","TÁBOR","Tábor","2,00"
"Bečice","77,00","19,00","8,00","25,00","17,00","4,00","4,00","2,00","Jihočeský kraj","TÁBOR","Tábor",NA
"Bečice","109,00","28,00","13,00","36,00","27,00","3,00","2,00","2,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice",NA
"Bečov","1 962,00","156,00","448,00","661,00","616,00","47,00","34,00","256,00","Ústecký kraj","MOST","Most",NA
"Bečov nad Teplou","989,00","139,00","144,00","345,00","290,00","36,00","35,00","48,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary","3,00"
"Bečváry","983,00","148,00","120,00","304,00","329,00","50,00","32,00","22,00","Středočeský kraj","KOLÍN","Kolín",NA
"Bedihošť","1 031,00","121,00","160,00","347,00","335,00","33,00","35,00","25,00","Olomoucký kraj","PROSTĚJOV","Prostějov","2,00"
"Bednárec","100,00","26,00","15,00","29,00","23,00","3,00","4,00","1,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec",NA
"Bednáreček","204,00","35,00","33,00","61,00","67,00","2,00","6,00","2,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec",NA
"Bedřichov","295,00","21,00","58,00","95,00","104,00","6,00","11,00","5,00","Liberecký kraj","JABLONEC NAD NISOU","Jablonec n.Nisou","1,00"
"Bedřichov","245,00","34,00","47,00","76,00","77,00","5,00","6,00","15,00","Jihomoravský kraj","BOSKOVICE","Blansko","2,00"
"Běhařov","175,00","22,00","26,00","63,00","54,00","6,00","4,00","4,00","Plzeňský kraj","KLATOVY","Klatovy",NA
"Běhařovice","413,00","79,00","63,00","124,00","109,00","15,00","23,00","27,00","Jihomoravský kraj","ZNOJMO","Znojmo","1,00"
"Bělá","251,00","38,00","28,00","87,00","80,00","7,00","11,00","5,00","Liberecký kraj","SEMILY","Semily","6,00"
"Bělá","693,00","128,00","83,00","235,00","221,00","15,00","11,00","27,00","Moravskoslezský kraj","HLUČÍN","Opava","1,00"
"Bělá","49,00","14,00","11,00","12,00","12,00","0,00","0,00","0,00","Vysočina","PELHŘIMOV","Pelhřimov",NA
"Bělá","208,00","40,00","24,00","76,00","50,00","12,00","6,00","6,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod","1,00"
"Bělá nad Radbuzou","1 858,00","194,00","286,00","659,00","607,00","55,00","57,00","55,00","Plzeňský kraj","DOMAŽLICE","Domažlice","4,00"
"Bělá nad Svitavou","471,00","84,00","75,00","140,00","123,00","24,00","25,00","26,00","Pardubický kraj","SVITAVY","Svitavy",NA
"Bělá pod Bezdězem","5 013,00","685,00","714,00","1 711,00","1 576,00","168,00","159,00","100,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav","9,00"
"Bělá pod Pradědem","2","2","2","2","2","2","2","2","Olomoucký kraj","JESENÍK","Jeseník","2"
"Bělá u Jevíčka","355,00","78,00","34,00","114,00","100,00","15,00","14,00","18,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy",NA
"Bělčice","1 002,00","157,00","151,00","317,00","282,00","51,00","44,00","37,00","Jihočeský kraj","BLATNÁ","Strakonice",NA
"Běleč","178,00","27,00","30,00","62,00","47,00","5,00","7,00","6,00","Jihočeský kraj","TÁBOR","Tábor",NA
"Běleč","325,00","37,00","55,00","114,00","93,00","16,00","10,00","8,00","Středočeský kraj","KLADNO","Kladno","2,00"
"Běleč","2","2","2","2","2","2","2","2","Jihomoravský kraj","TIŠNOV","Blansko",NA
"Běleč nad Orlicí","255,00","29,00","42,00","88,00","79,00","8,00","9,00","7,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové","3,00"
"Bělkovice-Lašťany","2 040,00","279,00","345,00","679,00","626,00","60,00","51,00","39,00","Olomoucký kraj","OLOMOUC","Olomouc","6,00"
"Běloky","121,00","18,00","19,00","40,00","32,00","4,00","8,00","4,00","Středočeský kraj","KLADNO","Kladno","1,00"
"Bělotín","1 680,00","192,00","283,00","574,00","510,00","67,00","54,00","75,00","Olomoucký kraj","HRANICE","Přerov","2,00"
"Bělov","2","2","2","2","2","2","2","2","Zlínský kraj","OTROKOVICE","Kroměříž",NA
"Bělušice","180,00","21,00","17,00","60,00","68,00","7,00","7,00","15,00","Ústecký kraj","MOST","Most","1,00"
"Bělušice","258,00","46,00","38,00","85,00","77,00","5,00","7,00","16,00","Středočeský kraj","KOLÍN","Kolín",NA
"Benátky","94,00","10,00","18,00","28,00","26,00","6,00","6,00","2,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové",NA
"Benátky","341,00","39,00","63,00","106,00","121,00","6,00","6,00","12,00","Pardubický kraj","LITOMYŠL","Svitavy",NA
"Benátky nad Jizerou","7 157,00","974,00","1 081,00","2 316,00","2 315,00","238,00","233,00","129,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav","12,00"
"Benecko","1 094,00","188,00","147,00","362,00","325,00","29,00","43,00","41,00","Liberecký kraj","JILEMNICE","Semily",NA
"Benešov","16 375,00","2 203,00","2 204,00","5 473,00","5 490,00","525,00","480,00","287,00","Středočeský kraj","BENEŠOV","Benešov","21,00"
"Benešov","644,00","87,00","108,00","220,00","187,00","23,00","19,00","22,00","Jihomoravský kraj","BOSKOVICE","Blansko","3,00"
"Benešov nad Černou","1 455,00","165,00","206,00","479,00","539,00","30,00","36,00","40,00","Jihočeský kraj","KAPLICE","Český Krumlov",NA
"Benešov nad Ploučnicí","3 994,00","507,00","625,00","1 355,00","1 239,00","123,00","145,00","287,00","Ústecký kraj","DĚČÍN","Děčín","1,00"
"Benešov u Semil","838,00","111,00","149,00","264,00","256,00","31,00","27,00","42,00","Liberecký kraj","SEMILY","Semily","3,00"
"Benešovice","176,00","25,00","19,00","60,00","61,00","7,00","4,00","12,00","Plzeňský kraj","STŘÍBRO","Tachov",NA
"Benetice","195,00","29,00","36,00","63,00","55,00","7,00","5,00","4,00","Vysočina","TŘEBÍČ","Třebíč",NA
"Beňov","672,00","119,00","81,00","230,00","205,00","20,00","17,00","32,00","Olomoucký kraj","PŘEROV","Přerov","2,00"
"Bernardov","161,00","37,00","16,00","50,00","51,00","4,00","3,00","6,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora",NA
"Bernartice","1 241,00","242,00","156,00","395,00","360,00","47,00","41,00","51,00","Jihočeský kraj","MILEVSKO","Písek",NA
"Bernartice","225,00","42,00","26,00","71,00","70,00","10,00","6,00","5,00","Středočeský kraj","VLAŠIM","Benešov",NA
"Bernartice","2","2","2","2","2","2","2","2","Olomoucký kraj","JESENÍK","Jeseník",NA
"Bernartice","912,00","128,00","134,00","314,00","274,00","28,00","34,00","43,00","Královéhradecký kraj","TRUTNOV","Trutnov","4,00"
"Bernartice nad Odrou","867,00","114,00","149,00","288,00","275,00","17,00","24,00","24,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín","8,00"
"Beroun","18 352,00","2 577,00","2 631,00","5 946,00","5 949,00","686,00","563,00","487,00","Středočeský kraj","BEROUN","Beroun","47,00"
"Beřovice","394,00","37,00","61,00","142,00","138,00","7,00","9,00","8,00","Středočeský kraj","SLANÝ","Kladno","1,00"
"Běrunice","906,00","154,00","131,00","293,00","276,00","27,00","25,00","50,00","Středočeský kraj","PODĚBRADY","Nymburk",NA
"Besednice","867,00","126,00","145,00","264,00","284,00","26,00","22,00","17,00","Jihočeský kraj","KAPLICE","Český Krumlov",NA
"Běšiny","836,00","121,00","129,00","274,00","254,00","26,00","32,00","19,00","Plzeňský kraj","KLATOVY","Klatovy","1,00"
"Běštín","297,00","52,00","35,00","95,00","80,00","19,00","16,00","5,00","Středočeský kraj","HOŘOVICE","Beroun","1,00"
"Běstovice","419,00","52,00","67,00","143,00","135,00","11,00","11,00","12,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí","2,00"
"Běstvina","498,00","90,00","78,00","145,00","130,00","25,00","30,00","21,00","Pardubický kraj","CHRUDIM","Chrudim","1,00"
"Bezděčí u Trnávky","221,00","34,00","31,00","69,00","69,00","8,00","10,00","11,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy",NA
"Bezdědovice","318,00","55,00","34,00","110,00","92,00","14,00","13,00","12,00","Jihočeský kraj","BLATNÁ","Strakonice",NA
"Bezděkov","263,00","35,00","49,00","84,00","71,00","11,00","13,00","7,00","Pardubický kraj","PARDUBICE","Pardubice","1,00"
"Bezděkov","898,00","121,00","145,00","291,00","280,00","32,00","29,00","21,00","Plzeňský kraj","KLATOVY","Klatovy",NA
"Bezděkov","251,00","46,00","35,00","68,00","78,00","9,00","15,00","3,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod","1,00"
"Bezděkov","108,00","18,00","18,00","37,00","31,00","3,00","1,00","2,00","Plzeňský kraj","ROKYCANY","Rokycany",NA
"Bezděkov nad Metují","501,00","83,00","73,00","169,00","146,00","19,00","11,00","6,00","Královéhradecký kraj","NÁCHOD","Náchod",NA
"Bezděkov pod Třemšínem","150,00","21,00","22,00","51,00","45,00","6,00","5,00","7,00","Středočeský kraj","PŘÍBRAM","Příbram","1,00"
"Bezděz","296,00","44,00","36,00","99,00","95,00","11,00","11,00","11,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa","1,00"
"Bezdružice","988,00","119,00","160,00","339,00","313,00","29,00","28,00","45,00","Plzeňský kraj","STŘÍBRO","Tachov","4,00"
"Bezkov","207,00","41,00","35,00","58,00","61,00","6,00","6,00","10,00","Jihomoravský kraj","ZNOJMO","Znojmo","1,00"
"Bezměrov","572,00","79,00","97,00","191,00","180,00","12,00","13,00","29,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž","2,00"
"Bezno","864,00","109,00","162,00","269,00","265,00","30,00","29,00","16,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav","1,00"
"Bezuchov","187,00","29,00","29,00","57,00","57,00","8,00","7,00","7,00","Olomoucký kraj","PŘEROV","Přerov",NA
"Bezvěrov","670,00","74,00","115,00","223,00","208,00","23,00","27,00","40,00","Plzeňský kraj","KRALOVICE","Plzeň-sever",NA
"Bílá","293,00","48,00","40,00","94,00","86,00","13,00","12,00","19,00","Moravskoslezský kraj","FRÝDLANT N. OSTRAVICÍ","Frýdek-Místek",NA
"Bílá","818,00","100,00","128,00","277,00","270,00","20,00","23,00","26,00","Liberecký kraj","LIBEREC","Liberec","2,00"
"Bílá Hlína","101,00","11,00","17,00","34,00","33,00","4,00","2,00","1,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav",NA
"Bílá Lhota","1 107,00","187,00","161,00","351,00","340,00","36,00","32,00","40,00","Olomoucký kraj","LITOVEL","Olomouc","1,00"
"Bílá Třemešná","1 330,00","190,00","215,00","416,00","392,00","54,00","63,00","37,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov","1,00"
"Bílá Voda","2","2","2","2","2","2","2","2","Olomoucký kraj","JESENÍK","Jeseník",NA
"Bílčice","246,00","38,00","38,00","78,00","71,00","9,00","12,00","11,00","Moravskoslezský kraj","BRUNTÁL","Bruntál",NA
"Bílé Podolí","585,00","102,00","75,00","189,00","182,00","19,00","18,00","24,00","Středočeský kraj","ČÁSLAV","Kutná Hora","1,00"
"Bílé Poličany","149,00","28,00","21,00","46,00","36,00","9,00","9,00","7,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov",NA
"Bílence","233,00","21,00","41,00","86,00","75,00","5,00","5,00","32,00","Ústecký kraj","CHOMUTOV","Chomutov",NA
"Bílichov","157,00","27,00","17,00","52,00","44,00","9,00","8,00","6,00","Středočeský kraj","SLANÝ","Kladno",NA
"Bílina","15 731,00","1 781,00","2 698,00","5 047,00","5 078,00","577,00","550,00","1 108,00","Ústecký kraj","BÍLINA","Teplice","4,00"
"Bílov","571,00","71,00","99,00","189,00","180,00","20,00","12,00","22,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín","9,00"
"Bílov","82,00","17,00","13,00","23,00","21,00","3,00","5,00","2,00","Plzeňský kraj","KRALOVICE","Plzeň-sever",NA
"Bílovec","7 519,00","968,00","1 165,00","2 501,00","2 398,00","271,00","216,00","347,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín","26,00"
"Bílovice","1 715,00","244,00","271,00","575,00","536,00","50,00","39,00","39,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště","3,00"
"Bílovice nad Svitavou","3 149,00","395,00","564,00","1 040,00","951,00","112,00","87,00","84,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov","139,00"
"Bílovice-Lutotín","517,00","72,00","98,00","165,00","142,00","19,00","21,00","11,00","Olomoucký kraj","PROSTĚJOV","Prostějov","1,00"
"Bílsko","206,00","24,00","35,00","60,00","61,00","12,00","14,00","11,00","Jihočeský kraj","VODŇANY","Strakonice",NA
"Bílsko","213,00","26,00","26,00","79,00","72,00","4,00","6,00","5,00","Olomoucký kraj","LITOVEL","Olomouc",NA
"Bílsko u Hořic","117,00","20,00","22,00","26,00","36,00","5,00","8,00","3,00","Královéhradecký kraj","HOŘICE","Jičín",NA
"Bílý Kámen","210,00","19,00","30,00","83,00","71,00","3,00","4,00","6,00","Vysočina","JIHLAVA","Jihlava","4,00"
"Bílý Kostel nad Nisou","878,00","90,00","141,00","307,00","268,00","29,00","43,00","23,00","Liberecký kraj","LIBEREC","Liberec","3,00"
"Bílý Potok","673,00","94,00","121,00","207,00","197,00","24,00","30,00","48,00","Liberecký kraj","FRÝDLANT","Liberec",NA
"Bílý Újezd","612,00","102,00","86,00","211,00","182,00","10,00","21,00","5,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou",NA
"Biřkov","133,00","22,00","23,00","36,00","40,00","5,00","7,00","2,00","Plzeňský kraj","KLATOVY","Klatovy",NA
"Biskoupky","182,00","30,00","22,00","59,00","57,00","7,00","7,00","7,00","Jihomoravský kraj","IVANČICE","Brno-venkov",NA
"Biskupice","258,00","40,00","48,00","77,00","79,00","8,00","6,00","8,00","Olomoucký kraj","PROSTĚJOV","Prostějov",NA
"Biskupice","755,00","99,00","115,00","259,00","248,00","17,00","17,00","17,00","Zlínský kraj","LUHAČOVICE","Zlín",NA
"Biskupice","39,00","6,00","5,00","9,00","17,00","1,00","1,00","4,00","Pardubický kraj","CHRUDIM","Chrudim",NA
"Biskupice-Pulkov","280,00","62,00","36,00","95,00","72,00","6,00","9,00","23,00","Vysočina","TŘEBÍČ","Třebíč",NA
"Bítouchov","305,00","54,00","43,00","103,00","79,00","12,00","14,00","8,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav","2,00"
"Bítov","409,00","61,00","39,00","149,00","132,00","9,00","19,00","9,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín","1,00"
"Bítov","154,00","32,00","17,00","50,00","40,00","6,00","9,00","7,00","Jihomoravský kraj","ZNOJMO","Znojmo",NA
"Bítovany","411,00","69,00","51,00","134,00","123,00","16,00","18,00","11,00","Pardubický kraj","CHRUDIM","Chrudim","1,00"
"Bítovčice","443,00","66,00","63,00","154,00","136,00","14,00","10,00","9,00","Vysočina","JIHLAVA","Jihlava",NA
"Bitozeves","368,00","34,00","76,00","126,00","110,00","11,00","11,00","38,00","Ústecký kraj","ŽATEC","Louny",NA
"Blanné","92,00","17,00","12,00","33,00","27,00","1,00","2,00","1,00","Jihomoravský kraj","ZNOJMO","Znojmo",NA
"Blansko","20 920,00","3 315,00","2 701,00","6 776,00","6 800,00","720,00","608,00","574,00","Jihomoravský kraj","BLANSKO","Blansko","165,00"
"Blatce","79,00","11,00","16,00","25,00","17,00","5,00","5,00","5,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa",NA
"Blatec","589,00","74,00","94,00","203,00","176,00","17,00","25,00","7,00","Olomoucký kraj","OLOMOUC","Olomouc",NA
"Blatná","6 693,00","1 025,00","940,00","2 089,00","2 135,00","258,00","246,00","199,00","Jihočeský kraj","BLATNÁ","Strakonice","11,00"
"Blatnice","363,00","53,00","58,00","128,00","98,00","13,00","13,00","19,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč","2,00"
"Blatnice","726,00","108,00","104,00","254,00","214,00","23,00","23,00","14,00","Plzeňský kraj","NÝŘANY","Plzeň-sever","2,00"
"Blatnice pod Svatým Antonínkem","2 135,00","352,00","270,00","711,00","655,00","72,00","75,00","104,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín","4,00"
"Blatnička","437,00","63,00","55,00","160,00","137,00","14,00","8,00","16,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín",NA
"Blatno","371,00","54,00","52,00","122,00","109,00","14,00","20,00","25,00","Ústecký kraj","CHOMUTOV","Chomutov","1,00"
"Blatno","521,00","76,00","74,00","168,00","173,00","14,00","16,00","17,00","Ústecký kraj","PODBOŘANY","Louny","2,00"
"Blažejov","333,00","43,00","66,00","108,00","89,00","11,00","16,00","9,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec","7,00"
"Blažejovice","100,00","19,00","8,00","37,00","25,00","5,00","6,00","1,00","Středočeský kraj","VLAŠIM","Benešov",NA
"Blazice","209,00","44,00","10,00","83,00","68,00","3,00","1,00","2,00","Zlínský kraj","BYSTŘICE POD HOSTÝNEM","Kroměříž",NA
"Blažim","63,00","5,00","15,00","18,00","21,00","1,00","3,00","2,00","Plzeňský kraj","NÝŘANY","Plzeň-sever",NA
"Blažim","245,00","16,00","57,00","82,00","80,00","4,00","6,00","29,00","Ústecký kraj","ŽATEC","Louny",NA
"Blažkov","293,00","41,00","45,00","101,00","90,00","7,00","9,00","6,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou","1,00"
"Blažovice","1 113,00","179,00","157,00","379,00","346,00","26,00","26,00","18,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov","3,00"
"Blešno","322,00","35,00","44,00","112,00","101,00","15,00","15,00","9,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové","1,00"
"Blevice","289,00","39,00","41,00","89,00","95,00","13,00","12,00","5,00","Středočeský kraj","KLADNO","Kladno","2,00"
"Blížejov","1 376,00","153,00","246,00","471,00","445,00","29,00","32,00","39,00","Plzeňský kraj","HORŠOVSKÝ TÝN","Domažlice","142,00"
"Blíževedly","624,00","60,00","115,00","224,00","183,00","22,00","20,00","40,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa",NA
