"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet uchazečů o zaměstnání","kraj","orp","okres","Počet dokončených bytů"
"Střítež nad Ludinou","849,00","140,00","125,00","288,00","243,00","28,00","25,00","24,00","Olomoucký kraj","HRANICE","Přerov","2,00"
"Střítež pod Křemešníkem","42,00","8,00","1,00","17,00","13,00","1,00","2,00","2,00","Vysočina","PELHŘIMOV","Pelhřimov",NA
"Střížov","182,00","21,00","27,00","63,00","58,00","6,00","7,00","5,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice",NA
"Střížovice","249,00","22,00","49,00","89,00","66,00","13,00","10,00","10,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž",NA
"Střížovice","348,00","57,00","49,00","116,00","106,00","9,00","11,00","2,00","Plzeňský kraj","BLOVICE","Plzeň-jih",NA
"Střížovice","592,00","79,00","91,00","205,00","194,00","12,00","11,00","35,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec",NA
"Strmilov","1 413,00","228,00","216,00","462,00","423,00","40,00","44,00","44,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec","7,00"
"Strojetice","125,00","24,00","22,00","37,00","32,00","5,00","5,00","1,00","Středočeský kraj","VLAŠIM","Benešov","2,00"
"Stropešín","114,00","20,00","15,00","40,00","30,00","4,00","5,00","9,00","Vysočina","TŘEBÍČ","Třebíč",NA
"Struhařov","689,00","91,00","113,00","216,00","218,00","25,00","26,00","9,00","Středočeský kraj","BENEŠOV","Benešov","5,00"
"Struhařov","635,00","104,00","116,00","186,00","190,00","17,00","22,00","5,00","Středočeský kraj","ŘÍČANY","Praha-východ","2,00"
"Strukov","158,00","33,00","12,00","54,00","48,00","5,00","6,00","7,00","Olomoucký kraj","ŠTERNBERK","Olomouc",NA
"Strunkovice nad Blanicí","1 170,00","174,00","182,00","394,00","364,00","30,00","26,00","30,00","Jihočeský kraj","PRACHATICE","Prachatice",NA
"Strunkovice nad Volyňkou","113,00","22,00","6,00","39,00","36,00","7,00","3,00","3,00","Jihočeský kraj","STRAKONICE","Strakonice","1,00"
"Strupčice","678,00","67,00","98,00","246,00","217,00","25,00","25,00","43,00","Ústecký kraj","CHOMUTOV","Chomutov","3,00"
"Stružinec","701,00","102,00","89,00","240,00","215,00","27,00","28,00","25,00","Liberecký kraj","SEMILY","Semily",NA
"Stružná","532,00","66,00","73,00","206,00","156,00","15,00","16,00","45,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary","1,00"
"Stružnice","927,00","96,00","161,00","310,00","299,00","35,00","26,00","36,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa",NA
"Strýčice","52,00","7,00","7,00","19,00","13,00","3,00","3,00","0,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice",NA
"Studánka","429,00","51,00","69,00","152,00","130,00","16,00","11,00","16,00","Plzeňský kraj","TACHOV","Tachov","2,00"
"Studená","44,00","10,00","2,00","17,00","13,00","0,00","2,00","0,00","Plzeňský kraj","KRALOVICE","Plzeň-sever",NA
"Studená","2 400,00","385,00","349,00","788,00","725,00","86,00","67,00","84,00","Jihočeský kraj","DAČICE","Jindřichův Hradec","1,00"
"Studené","161,00","27,00","36,00","48,00","41,00","6,00","3,00","4,00","Pardubický kraj","ŽAMBERK","Ústí nad Orlicí",NA
"Studenec","1 811,00","280,00","322,00","555,00","549,00","52,00","53,00","26,00","Liberecký kraj","JILEMNICE","Semily","7,00"
"Studenec","545,00","83,00","74,00","178,00","183,00","10,00","17,00","25,00","Vysočina","NÁMĚŠŤ NAD OSLAVOU","Třebíč",NA
"Studeněves","383,00","49,00","55,00","132,00","134,00","4,00","9,00","16,00","Středočeský kraj","SLANÝ","Kladno","12,00"
"Studénka","10 220,00","1 530,00","1 561,00","3 293,00","3 202,00","342,00","292,00","391,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín","11,00"
"Studený","96,00","13,00","14,00","37,00","25,00","5,00","2,00","1,00","Středočeský kraj","VLAŠIM","Benešov",NA
"Študlov","147,00","31,00","22,00","48,00","41,00","2,00","3,00","9,00","Pardubický kraj","SVITAVY","Svitavy",NA
"Študlov","518,00","67,00","88,00","182,00","155,00","12,00","14,00","20,00","Zlínský kraj","VALAŠSKÉ KLOBOUKY","Vsetín",NA
"Studnice","1 051,00","131,00","186,00","355,00","307,00","38,00","34,00","13,00","Královéhradecký kraj","NÁCHOD","Náchod","3,00"
"Studnice","468,00","86,00","75,00","142,00","136,00","15,00","14,00","12,00","Pardubický kraj","HLINSKO","Chrudim",NA
"Studnice","152,00","31,00","34,00","40,00","39,00","3,00","5,00","7,00","Vysočina","TŘEBÍČ","Třebíč",NA
"Studnice","468,00","87,00","57,00","155,00","140,00","16,00","13,00","11,00","Jihomoravský kraj","VYŠKOV","Vyškov","1,00"
"Stupava","147,00","41,00","16,00","48,00","34,00","3,00","5,00","7,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště",NA
"Stvolínky","325,00","25,00","70,00","118,00","97,00","7,00","8,00","16,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa","1,00"
"Stvolová","134,00","30,00","21,00","41,00","33,00","6,00","3,00","0,00","Jihomoravský kraj","BOSKOVICE","Blansko",NA
"Šubířov","264,00","60,00","39,00","81,00","67,00","9,00","8,00","8,00","Olomoucký kraj","KONICE","Prostějov","1,00"
"Suchá","257,00","27,00","38,00","90,00","88,00","7,00","7,00","6,00","Vysočina","JIHLAVA","Jihlava","1,00"
"Suchá Lhota","92,00","12,00","16,00","31,00","30,00","1,00","2,00","3,00","Pardubický kraj","LITOMYŠL","Svitavy",NA
"Suchá Loz","1 092,00","175,00","163,00","360,00","320,00","42,00","32,00","36,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště","4,00"
"Suchdol","1 075,00","145,00","160,00","391,00","305,00","37,00","37,00","35,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora","1,00"
"Suchdol","651,00","114,00","96,00","212,00","188,00","20,00","21,00","13,00","Olomoucký kraj","KONICE","Prostějov",NA
"Suchdol nad Lužnicí","3 637,00","589,00","483,00","1 165,00","1 150,00","132,00","118,00","72,00","Jihočeský kraj","TŘEBOŇ","Jindřichův Hradec","7,00"
"Suchdol nad Odrou","2 570,00","309,00","405,00","879,00","803,00","76,00","98,00","117,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín","3,00"
