"obce","Počet obyvatel dle Sčítání lidu 1930","kraj","orp","okres"
"Abertamy","3 824,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","1 148,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","301,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","632,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","1 490,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","700,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","1 641,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","877,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","2 098,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","1 890,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
"Albrechtičky","861,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Alojzov","282,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Andělská Hora","1 417,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Andělská Hora","792,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Anenská Studánka","534,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Archlebov","1 262,00","Jihomoravský kraj","KYJOV","Hodonín"
"Arneštovice","217,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Arnolec","354,00","Vysočina","JIHLAVA","Jihlava"
"Arnoltice","716,00","Ústecký kraj","DĚČÍN","Děčín"
"Aš","28 916,00","Karlovarský kraj","AŠ","Cheb"
"Babice","329,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Babice","371,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Babice","254,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Babice","391,00","Středočeský kraj","ŘÍČANY","Praha-východ"
"Babice","1 310,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Babice","585,00","Olomoucký kraj","ŠTERNBERK","Olomouc"
"Babice nad Svitavou","1 041,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Babice u Rosic","890,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Babylon","192,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bačalky","597,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bačetín","466,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bačice","384,00","Vysočina","TŘEBÍČ","Třebíč"
"Bačkov","245,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bačkovice","288,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bácovice","177,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bakov nad Jizerou","5 603,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Baliny","208,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Balkova Lhota","213,00","Jihočeský kraj","TÁBOR","Tábor"
"Banín","694,00","Pardubický kraj","SVITAVY","Svitavy"
"Bánov","1 911,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Báňovice","195,00","Jihočeský kraj","DAČICE","Jindřichův Hradec"
"Bantice","390,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Barchov","391,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Barchov","409,00","Pardubický kraj","PARDUBICE","Pardubice"
"Barchovice","776,00","Středočeský kraj","KOLÍN","Kolín"
"Bařice-Velké Těšany","651,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bartošovice","2 404,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Bartošovice v Orlických horách","1 834,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Bartoušov","338,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Baška","3 127,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek"
"Bašnice","396,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bašť","793,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Batelov","3 042,00","Vysočina","JIHLAVA","Jihlava"
"Batňovice","1 003,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bavorov","2 586,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bavory","451,00","Jihomoravský kraj","MIKULOV","Břeclav"
"Bavoryně","362,00","Středočeský kraj","BEROUN","Beroun"
"Bdeněves","575,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Bdín","208,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Běchary","661,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bechlín","1 492,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Bechyně","2 742,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","125,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","233,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice"
"Bečov","1 999,00","Ústecký kraj","MOST","Most"
"Bečov nad Teplou","2 853,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bečváry","1 624,00","Středočeský kraj","KOLÍN","Kolín"
"Bedihošť","1 528,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bednárec","306,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bednáreček","434,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bedřichov","1 248,00","Liberecký kraj","JABLONEC NAD NISOU","Jablonec n.Nisou"
"Bedřichov","444,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Běhařov","417,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běhařovice","932,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bělá","651,00","Liberecký kraj","SEMILY","Semily"
"Bělá","476,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bělá","170,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bělá","427,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bělá nad Radbuzou","6 786,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
