"obce","Počet obyvatel dle Sčítání lidu 1930","kraj","orp","okres"
"Bělá nad Svitavou","1 158,00","Pardubický kraj","SVITAVY","Svitavy"
"Bělá pod Bezdězem","5 662,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bělá pod Pradědem","3 596,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bělá u Jevíčka","852,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bělčice","2 135,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Běleč","400,00","Jihočeský kraj","TÁBOR","Tábor"
"Běleč","540,00","Středočeský kraj","KLADNO","Kladno"
"Běleč","276,00","Jihomoravský kraj","TIŠNOV","Blansko"
"Běleč nad Orlicí","294,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bělkovice-Lašťany","1 897,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Běloky","212,00","Středočeský kraj","KLADNO","Kladno"
"Bělotín","2 436,00","Olomoucký kraj","HRANICE","Přerov"
"Bělov","417,00","Zlínský kraj","OTROKOVICE","Kroměříž"
"Bělušice","650,00","Ústecký kraj","MOST","Most"
"Bělušice","445,00","Středočeský kraj","KOLÍN","Kolín"
"Benátky","265,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Benátky","456,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Benátky nad Jizerou","5 301,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Benecko","2 181,00","Liberecký kraj","JILEMNICE","Semily"
"Benešov","9 820,00","Středočeský kraj","BENEŠOV","Benešov"
"Benešov","918,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Benešov nad Černou","3 631,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Benešov nad Ploučnicí","4 531,00","Ústecký kraj","DĚČÍN","Děčín"
"Benešov u Semil","1 525,00","Liberecký kraj","SEMILY","Semily"
"Benešovice","675,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Benetice","252,00","Vysočina","TŘEBÍČ","Třebíč"
"Beňov","943,00","Olomoucký kraj","PŘEROV","Přerov"
"Bernardov","260,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bernartice","2 633,00","Jihočeský kraj","MILEVSKO","Písek"
"Bernartice","573,00","Středočeský kraj","VLAŠIM","Benešov"
"Bernartice","2 631,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bernartice","2 426,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bernartice nad Odrou","942,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Beroun","13 917,00","Středočeský kraj","BEROUN","Beroun"
"Beřovice","653,00","Středočeský kraj","SLANÝ","Kladno"
"Běrunice","1 788,00","Středočeský kraj","PODĚBRADY","Nymburk"
"Besednice","898,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Běšiny","1 374,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běštín","661,00","Středočeský kraj","HOŘOVICE","Beroun"
"Běstovice","368,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Běstvina","1 184,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bezděčí u Trnávky","343,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bezdědovice","503,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Bezděkov","370,00","Pardubický kraj","PARDUBICE","Pardubice"
"Bezděkov","1 274,00","Plzeňský kraj","KLATOVY","Klatovy"
"Bezděkov","360,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Bezděkov","239,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Bezděkov nad Metují","697,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Bezděkov pod Třemšínem","229,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bezděz","547,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bezdružice","2 013,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Bezkov","274,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bezměrov","737,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bezno","990,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bezuchov","296,00","Olomoucký kraj","PŘEROV","Přerov"
"Bezvěrov","2 399,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílá","984,00","Moravskoslezský kraj","FRÝDLANT N. OSTRAVICÍ","Frýdek-Místek"
"Bílá","1 573,00","Liberecký kraj","LIBEREC","Liberec"
"Bílá Hlína","221,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Bílá Lhota","2 046,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílá Třemešná","1 842,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílá Voda","1 104,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bílčice","1 228,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Bílé Podolí","1 404,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Bílé Poličany","390,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílence","942,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Bílichov","359,00","Středočeský kraj","SLANÝ","Kladno"
"Bílina","16 586,00","Ústecký kraj","BÍLINA","Teplice"
"Bílov","805,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílov","200,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílovec","7 422,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílovice","1 364,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Bílovice nad Svitavou","2 214,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Bílovice-Lutotín","820,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bílsko","506,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bílsko","286,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílsko u Hořic","221,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bílý Kámen","182,00","Vysočina","JIHLAVA","Jihlava"
"Bílý Kostel nad Nisou","1 652,00","Liberecký kraj","LIBEREC","Liberec"
"Bílý Potok","1 545,00","Liberecký kraj","FRÝDLANT","Liberec"
"Bílý Újezd","990,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Biřkov","291,00","Plzeňský kraj","KLATOVY","Klatovy"
"Biskoupky","285,00","Jihomoravský kraj","IVANČICE","Brno-venkov"
"Biskupice","355,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Biskupice","462,00","Zlínský kraj","LUHAČOVICE","Zlín"
"Biskupice","231,00","Pardubický kraj","CHRUDIM","Chrudim"
"Biskupice-Pulkov","789,00","Vysočina","TŘEBÍČ","Třebíč"
"Bítouchov","645,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bítov","475,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bítov","402,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bítovany","690,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bítovčice","544,00","Vysočina","JIHLAVA","Jihlava"
"Bitozeves","1 298,00","Ústecký kraj","ŽATEC","Louny"
"Blanné","167,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blansko","8 496,00","Jihomoravský kraj","BLANSKO","Blansko"
"Blatce","689,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blatec","582,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Blatná","4 476,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Blatnice","462,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Blatnice","1 052,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blatnice pod Svatým Antonínkem","2 129,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatnička","539,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatno","1 524,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Blatno","800,00","Ústecký kraj","PODBOŘANY","Louny"
"Blažejov","843,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Blažejovice","313,00","Středočeský kraj","VLAŠIM","Benešov"
"Blazice","311,00","Zlínský kraj","BYSTŘICE POD HOSTÝNEM","Kroměříž"
"Blažim","225,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blažim","554,00","Ústecký kraj","ŽATEC","Louny"
"Blažkov","370,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Blažovice","1 033,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Blešno","340,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Blevice","480,00","Středočeský kraj","KLADNO","Kladno"
"Blížejov","1 915,00","Plzeňský kraj","HORŠOVSKÝ TÝN","Domažlice"
"Blíževedly","1 341,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blízkov","536,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Blížkovice","1 405,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blovice","3 818,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Blšany","3 434,00","Ústecký kraj","PODBOŘANY","Louny"
"Blšany u Loun","441,00","Ústecký kraj","LOUNY","Louny"
"Blučina","1 843,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov"
"Bludov","128,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bobnice","1 255,00","Středočeský kraj","NYMBURK","Nymburk"
"Bobrová","1 106,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bobrůvka","340,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bocanovice","344,00","Moravskoslezský kraj","JABLUNKOV","Frýdek-Místek"
"Bochoř","1 662,00","Olomoucký kraj","PŘEROV","Přerov"
"Bochov","6 328,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bochovice","314,00","Vysočina","TŘEBÍČ","Třebíč"
"Boháňka","560,00","Královéhradecký kraj","HOŘICE","Jičín"
"Boharyně","859,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bohaté Málkovice","475,00","Jihomoravský kraj","BUČOVICE","Vyškov"
"Bohatice","358,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bohdalec","406,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
"Bohdalice-Pavlovice","858,00","Jihomoravský kraj","VYŠKOV","Vyškov"
"Bohdalín","447,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bohdalov","963,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
"Bohdalovice","1 317,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Bohdaneč","1 028,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bohdašín","442,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bohdíkov","2 283,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Bohostice","583,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bohumilice","480,00","Jihočeský kraj","VIMPERK","Prachatice"
"Bohumín","25 408,00","Moravskoslezský kraj","BOHUMÍN","Karviná"
"Bohunice","177,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Bohuňov","288,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Bohuňov","392,00","Pardubický kraj","SVITAVY","Svitavy"
"Bohuňovice","2 008,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Bohuňovice","269,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Bohušice","275,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bohuslavice","317,00","Olomoucký kraj","KONICE","Prostějov"
"Bohuslavice","1 273,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bohuslavice","215,00","Vysočina","TELČ","Jihlava"
"Bohuslavice","551,00","Olomoucký kraj","ZÁBŘEH","Šumperk"
"Bohuslavice nad Vláří","528,00","Zlínský kraj","LUHAČOVICE","Zlín"
"Bohuslavice u Zlína","724,00","Zlínský kraj","ZLÍN","Zlín"
"Bohuslávky","393,00","Olomoucký kraj","LIPNÍK NAD BEČVOU","Přerov"
"Bohušov","1 508,00","Moravskoslezský kraj","KRNOV","Bruntál"
"Bohušovice nad Ohří","2 083,00","Ústecký kraj","LITOMĚŘICE","Litoměřice"
"Bohutice","768,00","Jihomoravský kraj","MORAVSKÝ KRUMLOV","Znojmo"
"Bohutín","1 339,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bohutín","494,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Bohy","237,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bojanov","1 150,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bojanovice","719,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Bojanovice","337,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bojiště","410,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bojkovice","3 983,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Bolatice","2 487,00","Moravskoslezský kraj","KRAVAŘE","Opava"
"Boleboř","788,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Bolehošť","945,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Boleradice","1 376,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Bolešiny","1 067,00","Plzeňský kraj","KLATOVY","Klatovy"
"Boletice","6 493,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Bolkov","211,00","Plzeňský kraj","PŘEŠTICE","Plzeň-jih"
"Boňkov","170,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bor","5 229,00","Plzeňský kraj","TACHOV","Tachov"
"Bor u Skutče","389,00","Pardubický kraj","CHRUDIM","Chrudim"
"Borač","418,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Bořanovice","565,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Bordovice","590,00","Moravskoslezský kraj","FRENŠTÁT P. RADHOŠTĚM","Nový Jičín"
"Boreč","345,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Borek","159,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Mělník"
"Borek","265,00","Pardubický kraj","PARDUBICE","Pardubice"
"Borek","293,00","Královéhradecký kraj","HOŘICE","Jičín"
"Borek","374,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Borek","290,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Bořenovice","266,00","Zlínský kraj","HOLEŠOV","Kroměříž"
"Bořetice","1 212,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Bořetice","162,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bořetín","273,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bořetín","329,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bořice","416,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bořislav","661,00","Ústecký kraj","TEPLICE","Teplice"
"Bořitov","1 310,00","Jihomoravský kraj","BLANSKO","Blansko"
"Borkovany","1 373,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Borkovice","402,00","Jihočeský kraj","SOBĚSLAV","Tábor"
"Borohrádek","2 260,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Borotice","810,00","Středočeský kraj","DOBŘÍŠ","Příbram"
"Borotice","741,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Borotín","1 279,00","Jihočeský kraj","TÁBOR","Tábor"
"Borotín","726,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Borová","555,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Borová","1 611,00","Pardubický kraj","POLIČKA","Svitavy"
"Borová Lada","2 049,00","Jihočeský kraj","VIMPERK","Prachatice"
"Borovany","425,00","Jihočeský kraj","MILEVSKO","Písek"
"Borovany","2 915,00","Jihočeský kraj","TRHOVÉ SVINY","České Budějovice"
"Borovná","199,00","Vysočina","TELČ","Jihlava"
"Borovnice","478,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Borovnice","173,00","Středočeský kraj","VLAŠIM","Benešov"
"Borovnice","576,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Borovnice","1 181,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Borovnice","124,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Borovnička","853,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Borovník","137,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Borovno","218,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Borovy","396,00","Plzeňský kraj","PŘEŠTICE","Klatovy"
"Boršice","1 585,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Boršice u Blatnice","987,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Boršov","241,00","Vysočina","JIHLAVA","Jihlava"
"Boršov nad Vltavou","963,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Borušov","455,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bory","804,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Boseň","798,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Bošice","781,00","Jihočeský kraj","VIMPERK","Prachatice"
"Bošilec","461,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Bošín","164,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Boskovice","7 595,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Boskovštejn","408,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bošovice","1 207,00","Jihomoravský kraj","SLAVKOV U BRNA","Vyškov"
"Boudy","408,00","Jihočeský kraj","PÍSEK","Písek"
"Bousín","578,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bousov","459,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bouzov","2 700,00","Olomoucký kraj","LITOVEL","Olomouc"
"Božanov","1 176,00","Královéhradecký kraj","BROUMOV","Náchod"
"Božejov","647,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Božetice","676,00","Jihočeský kraj","MILEVSKO","Písek"
"Boží Dar","1 914,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Božičany","1 219,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Božice","2 593,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bozkov","1 036,00","Liberecký kraj","SEMILY","Semily"
"Brada-Rybníček","229,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bradáčov","340,00","Jihočeský kraj","TÁBOR","Tábor"
"Bradlec","319,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bradlecká Lhota","356,00","Liberecký kraj","SEMILY","Semily"
"Brambory","192,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Braňany","1 095,00","Ústecký kraj","MOST","Most"
"Brandov","2 473,00","Ústecký kraj","LITVÍNOV","Most"
"Brandýs nad Labem-Stará Boleslav","11 609,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Brandýs nad Orlicí","1 428,00","Pardubický kraj","ÚSTÍ NAD ORLICÍ","Ústí nad Orlicí"
"Brandýsek","2 630,00","Středočeský kraj","KLADNO","Kladno"
"Branice","310,00","Jihočeský kraj","MILEVSKO","Písek"
"Braníškov","225,00","Jihomoravský kraj","TIŠNOV","Brno-venkov"
"Branišov","207,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Branka u Opavy","758,00","Moravskoslezský kraj","OPAVA","Opava"
"Brankovice","1 173,00","Jihomoravský kraj","BUČOVICE","Vyškov"
"Branky","877,00","Zlínský kraj","VALAŠSKÉ MEZIŘÍČÍ","Vsetín"
"Branná","1 331,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Branov","523,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Bransouze","368,00","Vysočina","TŘEBÍČ","Třebíč"
"Brantice","2 120,00","Moravskoslezský kraj","KRNOV","Bruntál"
"Branžež","445,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Braškov","901,00","Středočeský kraj","KLADNO","Kladno"
