"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","kraj","orp","okres"
"Vysoká Pec","297,00","24,00","40,00","81,00","131,00","14,00","7,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Vysoká Srbská","243,00","36,00","31,00","81,00","82,00","4,00","9,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Vysoká u Příbramě","310,00","48,00","50,00","96,00","92,00","14,00","10,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Vysoké","122,00","16,00","30,00","36,00","34,00","3,00","3,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
"Vysoké Chvojno","354,00","62,00","42,00","122,00","106,00","12,00","10,00","Pardubický kraj","HOLICE","Pardubice"
"Vysoké Mýto","12 480,00","1 720,00","2 096,00","3 992,00","4 079,00","327,00","266,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Vysoké nad Jizerou","1 343,00","207,00","197,00","451,00","398,00","42,00","48,00","Liberecký kraj","SEMILY","Semily"
"Vysoké Pole","803,00","102,00","144,00","296,00","234,00","18,00","9,00","Zlínský kraj","VALAŠSKÉ KLOBOUKY","Zlín"
"Vysoké Popovice","629,00","126,00","90,00","192,00","190,00","10,00","21,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Vysoké Studnice","351,00","41,00","68,00","110,00","106,00","13,00","13,00","Vysočina","JIHLAVA","Jihlava"
"Vysoké Veselí","822,00","102,00","139,00","272,00","263,00","21,00","25,00","Královéhradecký kraj","JIČÍN","Jičín"
"Vysokov","438,00","55,00","71,00","142,00","133,00","18,00","19,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Vysoký Chlumec","798,00","89,00","105,00","296,00","254,00","32,00","22,00","Středočeský kraj","SEDLČANY","Příbram"
"Vysoký Újezd","543,00","57,00","96,00","190,00","173,00","13,00","14,00","Středočeský kraj","BEROUN","Beroun"
"Vysoký Újezd","2","2","2","2","2","2","2","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Vysoký Újezd","2","2","2","2","2","2","2","Středočeský kraj","BENEŠOV","Benešov"
"Výšovice","479,00","68,00","80,00","156,00","156,00","11,00","8,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Vyšší Brod","2 654,00","261,00","446,00","956,00","847,00","75,00","69,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Vystrčenovice","105,00","17,00","17,00","34,00","29,00","4,00","4,00","Vysočina","TELČ","Jihlava"
"Vystrkov","212,00","22,00","34,00","71,00","69,00","10,00","6,00","Vysočina","HUMPOLEC","Pelhřimov"
"Výžerky","2","2","2","2","2","2","2","Středočeský kraj","ŘÍČANY","Kolín"
"Vyžice","161,00","43,00","26,00","40,00","41,00","5,00","6,00","Pardubický kraj","CHRUDIM","Chrudim"
"Vyžlovka","2","2","2","2","2","2","2","Středočeský kraj","ŘÍČANY","Kolín"
"Xaverov","54,00","7,00","16,00","17,00","10,00","0,00","4,00","Středočeský kraj","BENEŠOV","Benešov"
"Žabčice","1 551,00","213,00","243,00","514,00","484,00","53,00","44,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov"
"Žabeň","621,00","104,00","85,00","194,00","195,00","22,00","21,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek"
"Zábeštní Lhota","151,00","24,00","27,00","44,00","42,00","7,00","7,00","Olomoucký kraj","PŘEROV","Přerov"
"Záblatí","353,00","46,00","55,00","132,00","110,00","7,00","3,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Záblatí","81,00","17,00","10,00","26,00","27,00","0,00","1,00","Jihočeský kraj","TŘEBOŇ","Jindřichův Hradec"
"Záblatí","170,00","27,00","29,00","54,00","49,00","7,00","4,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Žabonosy","220,00","44,00","33,00","58,00","67,00","9,00","9,00","Středočeský kraj","KOLÍN","Kolín"
"Záboří","312,00","37,00","49,00","108,00","98,00","5,00","15,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
