"obce","Počet obyvatel dle Sčítání lidu 1970","kraj","orp","okres"
"Abertamy","1 145,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","3 787,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","198,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","406,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","565,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","498,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","2 559,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","981,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","1 333,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","494,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
"Albrechtičky","787,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Alojzov","256,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Andělská Hora","501,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Andělská Hora","229,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Anenská Studánka","282,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Archlebov","1 142,00","Jihomoravský kraj","KYJOV","Hodonín"
"Arneštovice","154,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Arnolec","247,00","Vysočina","JIHLAVA","Jihlava"
"Arnoltice","307,00","Ústecký kraj","DĚČÍN","Děčín"
"Aš","12 843,00","Karlovarský kraj","AŠ","Cheb"
"Babice","235,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Babice","293,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Babice","117,00","Jihočeský kraj","PRACHATICE","Prachatice"
