"obce","Počet obyvatel dle Sčítání lidu 1970","kraj","orp","okres"
"Babice","288,00","Středočeský kraj","ŘÍČANY","Praha-východ"
"Babice","1 643,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Babice","397,00","Olomoucký kraj","ŠTERNBERK","Olomouc"
"Babice nad Svitavou","974,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Babice u Rosic","646,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Babylon","213,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bačalky","290,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bačetín","306,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bačice","301,00","Vysočina","TŘEBÍČ","Třebíč"
"Bačkov","141,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bačkovice","215,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bácovice","95,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bakov nad Jizerou","4 792,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Baliny","124,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Balkova Lhota","145,00","Jihočeský kraj","TÁBOR","Tábor"
"Banín","357,00","Pardubický kraj","SVITAVY","Svitavy"
"Bánov","2 286,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Báňovice","130,00","Jihočeský kraj","DAČICE","Jindřichův Hradec"
"Bantice","283,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Barchov","267,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Barchov","208,00","Pardubický kraj","PARDUBICE","Pardubice"
"Barchovice","317,00","Středočeský kraj","KOLÍN","Kolín"
"Bařice-Velké Těšany","527,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bartošovice","1 865,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Bartošovice v Orlických horách","286,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Bartoušov","221,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Baška","3 186,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek"
"Bašnice","288,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bašť","610,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Batelov","2 389,00","Vysočina","JIHLAVA","Jihlava"
"Batňovice","864,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bavorov","1 760,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bavory","341,00","Jihomoravský kraj","MIKULOV","Břeclav"
"Bavoryně","217,00","Středočeský kraj","BEROUN","Beroun"
"Bdeněves","425,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Bdín","119,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Běchary","299,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bechlín","1 250,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Bechyně","5 067,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","93,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","173,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice"
"Bečov","973,00","Ústecký kraj","MOST","Most"
"Bečov nad Teplou","1 250,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bečváry","1 230,00","Středočeský kraj","KOLÍN","Kolín"
"Bedihošť","1 050,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bednárec","196,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bednáreček","290,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bedřichov","177,00","Liberecký kraj","JABLONEC NAD NISOU","Jablonec n.Nisou"
"Bedřichov","311,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Běhařov","217,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běhařovice","630,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bělá","334,00","Liberecký kraj","SEMILY","Semily"
"Bělá","745,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bělá","85,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bělá","301,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bělá nad Radbuzou","1 712,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bělá nad Svitavou","708,00","Pardubický kraj","SVITAVY","Svitavy"
"Bělá pod Bezdězem","4 842,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bělá pod Pradědem","1 599,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bělá u Jevíčka","560,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bělčice","1 410,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Běleč","253,00","Jihočeský kraj","TÁBOR","Tábor"
"Běleč","349,00","Středočeský kraj","KLADNO","Kladno"
"Běleč","277,00","Jihomoravský kraj","TIŠNOV","Blansko"
"Běleč nad Orlicí","215,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bělkovice-Lašťany","1 805,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Běloky","188,00","Středočeský kraj","KLADNO","Kladno"
"Bělotín","1 843,00","Olomoucký kraj","HRANICE","Přerov"
"Bělov","318,00","Zlínský kraj","OTROKOVICE","Kroměříž"
"Bělušice","272,00","Ústecký kraj","MOST","Most"
"Bělušice","311,00","Středočeský kraj","KOLÍN","Kolín"
"Benátky","161,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Benátky","305,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Benátky nad Jizerou","5 931,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Benecko","1 276,00","Liberecký kraj","JILEMNICE","Semily"
"Benešov","10 769,00","Středočeský kraj","BENEŠOV","Benešov"
"Benešov","805,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Benešov nad Černou","1 441,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Benešov nad Ploučnicí","3 630,00","Ústecký kraj","DĚČÍN","Děčín"
"Benešov u Semil","923,00","Liberecký kraj","SEMILY","Semily"
"Benešovice","267,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Benetice","175,00","Vysočina","TŘEBÍČ","Třebíč"
"Beňov","795,00","Olomoucký kraj","PŘEROV","Přerov"
"Bernardov","252,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bernartice","1 737,00","Jihočeský kraj","MILEVSKO","Písek"
"Bernartice","326,00","Středočeský kraj","VLAŠIM","Benešov"
"Bernartice","1 067,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bernartice","1 143,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bernartice nad Odrou","752,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Beroun","17 805,00","Středočeský kraj","BEROUN","Beroun"
"Beřovice","418,00","Středočeský kraj","SLANÝ","Kladno"
"Běrunice","1 262,00","Středočeský kraj","PODĚBRADY","Nymburk"
"Besednice","776,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Běšiny","995,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běštín","422,00","Středočeský kraj","HOŘOVICE","Beroun"
"Běstovice","367,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Běstvina","803,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bezděčí u Trnávky","243,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bezdědovice","380,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Bezděkov","266,00","Pardubický kraj","PARDUBICE","Pardubice"
"Bezděkov","883,00","Plzeňský kraj","KLATOVY","Klatovy"
"Bezděkov","290,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Bezděkov","146,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Bezděkov nad Metují","523,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Bezděkov pod Třemšínem","160,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bezděz","349,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bezdružice","1 034,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Bezkov","242,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bezměrov","619,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bezno","841,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bezuchov","220,00","Olomoucký kraj","PŘEROV","Přerov"
"Bezvěrov","723,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílá","559,00","Moravskoslezský kraj","FRÝDLANT N. OSTRAVICÍ","Frýdek-Místek"
"Bílá","771,00","Liberecký kraj","LIBEREC","Liberec"
"Bílá Hlína","149,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Bílá Lhota","1 488,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílá Třemešná","1 410,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílá Voda","539,00","Olomoucký kraj","JESENÍK","Jeseník"
"Bílčice","330,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Bílé Podolí","843,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Bílé Poličany","245,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Bílence","317,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Bílichov","210,00","Středočeský kraj","SLANÝ","Kladno"
"Bílina","16 196,00","Ústecký kraj","BÍLINA","Teplice"
"Bílov","545,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílov","122,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bílovec","6 615,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bílovice","1 621,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Bílovice nad Svitavou","2 219,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Bílovice-Lutotín","583,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bílsko","257,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bílsko","193,00","Olomoucký kraj","LITOVEL","Olomouc"
"Bílsko u Hořic","158,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bílý Kámen","113,00","Vysočina","JIHLAVA","Jihlava"
"Bílý Kostel nad Nisou","893,00","Liberecký kraj","LIBEREC","Liberec"
"Bílý Potok","870,00","Liberecký kraj","FRÝDLANT","Liberec"
"Bílý Újezd","717,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Biřkov","184,00","Plzeňský kraj","KLATOVY","Klatovy"
"Biskoupky","243,00","Jihomoravský kraj","IVANČICE","Brno-venkov"
"Biskupice","305,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Biskupice","577,00","Zlínský kraj","LUHAČOVICE","Zlín"
"Biskupice","114,00","Pardubický kraj","CHRUDIM","Chrudim"
"Biskupice-Pulkov","495,00","Vysočina","TŘEBÍČ","Třebíč"
"Bítouchov","354,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bítov","453,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Bítov","224,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bítovany","502,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bítovčice","476,00","Vysočina","JIHLAVA","Jihlava"
"Bitozeves","528,00","Ústecký kraj","ŽATEC","Louny"
"Blanné","118,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blansko","14 903,00","Jihomoravský kraj","BLANSKO","Blansko"
"Blatce","144,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blatec","525,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Blatná","5 265,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Blatnice","431,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Blatnice","807,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blatnice pod Svatým Antonínkem","2 299,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatnička","538,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín"
"Blatno","304,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Blatno","578,00","Ústecký kraj","PODBOŘANY","Louny"
"Blažejov","435,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Blažejovice","199,00","Středočeský kraj","VLAŠIM","Benešov"
"Blazice","298,00","Zlínský kraj","BYSTŘICE POD HOSTÝNEM","Kroměříž"
"Blažim","100,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Blažim","266,00","Ústecký kraj","ŽATEC","Louny"
"Blažkov","272,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Blažovice","1 159,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Blešno","272,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Blevice","356,00","Středočeský kraj","KLADNO","Kladno"
"Blížejov","1 337,00","Plzeňský kraj","HORŠOVSKÝ TÝN","Domažlice"
"Blíževedly","630,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Blízkov","421,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Blížkovice","1 173,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Blovice","3 751,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Blšany","1 488,00","Ústecký kraj","PODBOŘANY","Louny"
"Blšany u Loun","302,00","Ústecký kraj","LOUNY","Louny"
"Blučina","1 939,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov"
"Bludov","47,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bobnice","908,00","Středočeský kraj","NYMBURK","Nymburk"
"Bobrová","953,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bobrůvka","319,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Bocanovice","216,00","Moravskoslezský kraj","JABLUNKOV","Frýdek-Místek"
"Bochoř","1 215,00","Olomoucký kraj","PŘEROV","Přerov"
"Bochov","2 166,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bochovice","228,00","Vysočina","TŘEBÍČ","Třebíč"
"Boháňka","281,00","Královéhradecký kraj","HOŘICE","Jičín"
"Boharyně","621,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Bohaté Málkovice","371,00","Jihomoravský kraj","BUČOVICE","Vyškov"
"Bohatice","193,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Bohdalec","345,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
"Bohdalice-Pavlovice","866,00","Jihomoravský kraj","VYŠKOV","Vyškov"
"Bohdalín","290,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bohdalov","967,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
"Bohdalovice","361,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Bohdaneč","614,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Bohdašín","284,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bohdíkov","1 577,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Bohostice","305,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bohumilice","389,00","Jihočeský kraj","VIMPERK","Prachatice"
"Bohumín","22 223,00","Moravskoslezský kraj","BOHUMÍN","Karviná"
"Bohunice","92,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Bohuňov","222,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Bohuňov","287,00","Pardubický kraj","SVITAVY","Svitavy"
"Bohuňovice","2 021,00","Olomoucký kraj","OLOMOUC","Olomouc"
"Bohuňovice","152,00","Pardubický kraj","LITOMYŠL","Svitavy"
"Bohušice","176,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bohuslavice","292,00","Olomoucký kraj","KONICE","Prostějov"
"Bohuslavice","1 438,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bohuslavice","111,00","Vysočina","TELČ","Jihlava"
"Bohuslavice","428,00","Olomoucký kraj","ZÁBŘEH","Šumperk"
"Bohuslavice nad Vláří","520,00","Zlínský kraj","LUHAČOVICE","Zlín"
"Bohuslavice u Zlína","782,00","Zlínský kraj","ZLÍN","Zlín"
"Bohuslávky","417,00","Olomoucký kraj","LIPNÍK NAD BEČVOU","Přerov"
"Bohušov","633,00","Moravskoslezský kraj","KRNOV","Bruntál"
"Bohušovice nad Ohří","1 651,00","Ústecký kraj","LITOMĚŘICE","Litoměřice"
"Bohutice","720,00","Jihomoravský kraj","MORAVSKÝ KRUMLOV","Znojmo"
"Bohutín","1 296,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Bohutín","618,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Bohy","127,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Bojanov","880,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bojanovice","524,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Bojanovice","231,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bojiště","308,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bojkovice","4 429,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Bolatice","3 398,00","Moravskoslezský kraj","KRAVAŘE","Opava"
"Boleboř","277,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Bolehošť","670,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Boleradice","995,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Bolešiny","629,00","Plzeňský kraj","KLATOVY","Klatovy"
"Boletice","271,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
"Bolkov","127,00","Plzeňský kraj","PŘEŠTICE","Plzeň-jih"
"Boňkov","117,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bor","3 416,00","Plzeňský kraj","TACHOV","Tachov"
"Bor u Skutče","207,00","Pardubický kraj","CHRUDIM","Chrudim"
"Borač","404,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou"
"Bořanovice","511,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Bordovice","610,00","Moravskoslezský kraj","FRENŠTÁT P. RADHOŠTĚM","Nový Jičín"
"Boreč","326,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Borek","187,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Mělník"
"Borek","204,00","Pardubický kraj","PARDUBICE","Pardubice"
"Borek","128,00","Královéhradecký kraj","HOŘICE","Jičín"
"Borek","242,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod"
"Borek","337,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Bořenovice","250,00","Zlínský kraj","HOLEŠOV","Kroměříž"
"Bořetice","1 380,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Bořetice","123,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bořetín","165,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bořetín","171,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bořice","254,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bořislav","414,00","Ústecký kraj","TEPLICE","Teplice"
"Bořitov","1 187,00","Jihomoravský kraj","BLANSKO","Blansko"
"Borkovany","1 078,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Borkovice","355,00","Jihočeský kraj","SOBĚSLAV","Tábor"
"Borohrádek","2 180,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Borotice","500,00","Středočeský kraj","DOBŘÍŠ","Příbram"
"Borotice","399,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Borotín","762,00","Jihočeský kraj","TÁBOR","Tábor"
"Borotín","654,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Borová","314,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Borová","846,00","Pardubický kraj","POLIČKA","Svitavy"
"Borová Lada","264,00","Jihočeský kraj","VIMPERK","Prachatice"
"Borovany","311,00","Jihočeský kraj","MILEVSKO","Písek"
"Borovany","2 682,00","Jihočeský kraj","TRHOVÉ SVINY","České Budějovice"
"Borovná","129,00","Vysočina","TELČ","Jihlava"
"Borovnice","327,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Borovnice","151,00","Středočeský kraj","VLAŠIM","Benešov"
"Borovnice","459,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Borovnice","635,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Borovnice","125,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Borovnička","339,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Borovník","98,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Borovno","150,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Borovy","311,00","Plzeňský kraj","PŘEŠTICE","Klatovy"
"Boršice","2 155,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Boršice u Blatnice","947,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Boršov","164,00","Vysočina","JIHLAVA","Jihlava"
"Boršov nad Vltavou","1 054,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Borušov","234,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bory","740,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Boseň","526,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Bošice","448,00","Jihočeský kraj","VIMPERK","Prachatice"
"Bošilec","280,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Bošín","106,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Boskovice","8 837,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Boskovštejn","285,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bošovice","1 105,00","Jihomoravský kraj","SLAVKOV U BRNA","Vyškov"
"Boudy","246,00","Jihočeský kraj","PÍSEK","Písek"
"Bousín","275,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bousov","255,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bouzov","1 810,00","Olomoucký kraj","LITOVEL","Olomouc"
"Božanov","453,00","Královéhradecký kraj","BROUMOV","Náchod"
"Božejov","505,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Božetice","449,00","Jihočeský kraj","MILEVSKO","Písek"
"Boží Dar","152,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Božičany","590,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Božice","1 429,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bozkov","651,00","Liberecký kraj","SEMILY","Semily"
"Brada-Rybníček","115,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bradáčov","197,00","Jihočeský kraj","TÁBOR","Tábor"
"Bradlec","178,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bradlecká Lhota","248,00","Liberecký kraj","SEMILY","Semily"
"Brambory","167,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Braňany","1 706,00","Ústecký kraj","MOST","Most"
"Brandov","419,00","Ústecký kraj","LITVÍNOV","Most"
"Brandýs nad Labem-Stará Boleslav","13 993,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Brandýs nad Orlicí","1 462,00","Pardubický kraj","ÚSTÍ NAD ORLICÍ","Ústí nad Orlicí"
"Brandýsek","1 918,00","Středočeský kraj","KLADNO","Kladno"
"Branice","308,00","Jihočeský kraj","MILEVSKO","Písek"
"Braníškov","224,00","Jihomoravský kraj","TIŠNOV","Brno-venkov"
"Branišov","164,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Branka u Opavy","641,00","Moravskoslezský kraj","OPAVA","Opava"
"Brankovice","897,00","Jihomoravský kraj","BUČOVICE","Vyškov"
"Branky","951,00","Zlínský kraj","VALAŠSKÉ MEZIŘÍČÍ","Vsetín"
"Branná","454,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Branov","305,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Bransouze","335,00","Vysočina","TŘEBÍČ","Třebíč"
"Brantice","1 394,00","Moravskoslezský kraj","KRNOV","Bruntál"
"Branžež","287,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Braškov","915,00","Středočeský kraj","KLADNO","Kladno"
"Břasy","2 802,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Bratčice","797,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov"
