"obce","Běžné výdaje","Celková plocha území obce","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet lůžek v ubytovacích zařízeních","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnik. subjektů - Administrativní a podpůrné činnosti","Počet podnik. subjektů - Činn.domác. jako zaměstnavatelů,činn.dom.produk.výr.a služ","Počet podnik. subjektů - Činnosti exteritoriálních organizací a orgánů","Počet podnik. subjektů - Činnosti v oblasti nemovitostí","Počet podnik. subjektů - Doprava a skladování","Počet podnik. subjektů - Informační a komunikační činnosti","Počet podnik. subjektů - Kulturní, zábavní a rekreační činnosti","Počet podnik. subjektů - Nezařazeno","Počet podnik. subjektů - Nezjištěno","Počet podnik. subjektů - Ostatní činnosti","Počet podnik. subjektů - Peněžnictví a pojišťovnictví","Počet podnik. subjektů - Profesní, vědecké a technické činnosti","Počet podnik. subjektů - Stavebnictví","Počet podnik. subjektů - Těžba a dobývání","Počet podnik. subjektů - Ubytování, stravování a pohostinství","Počet podnik. subjektů - Velkoobchod a maloobchod; opravy a údržba motorových vozid","Počet podnik. subjektů - Veřejná správa a obrana; povinné sociální zabezpečení","Počet podnik. subjektů - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného","Počet podnik. subjektů - Vzdělávání","Počet podnik. subjektů - Zásobování vodou; činnosti související s odp. vodami, odpa","Počet podnik. subjektů - Zdravotní a sociální péče","Počet podnik. subjektů - Zemědělství, lesnictví, rybářství","Počet podnik. subjektů - Zpracovatelský průmysl","Počet podnik. subjektů bez zaměstnanců","Počet podnik. subjektů s 1-9 zaměstnanci","Počet podnik. subjektů s 10 - 19 zaměstnanci","Počet podnik. subjektů s 100 - 249 zaměstnanci","Počet podnik. subjektů s 1000 - 2499 zaměstnanci","Počet podnik. subjektů s 20 - 49 zaměstnanci","Počet podnik. subjektů s 250 - 499 zaměstnanci","Počet podnik. subjektů s 2500 a více  zaměstnanci","Počet podnik. subjektů s 50 - 99 zaměstnanci","Počet podnik. subjektů s 500 - 999 zaměstnanci","Počet podnikatelských subjektů celkem","Počet pokojů v ubytovacích zařízeních","Počet ubytovacích zařízení","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Výměra chmelnic","Výměra lesní půdy","Výměra orné půdy","Výměra ostatních ploch","Výměra ovocných sadů","Výměra trvalých travních porostů","Výměra vinic","Výměra vodních ploch","Výměra zahrad","Výměra zastavěných ploch","Výměra zemědělské půdy","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Bernartice","17 110,17","1 793,26","13 284,18","0,00","0,00","13 865,55","4 452,11","2 395,25","1,00","87,00","955,00","158,00","164,00","280,00","293,00","34,00","26,00","1,00","0,00","0,00","12,00","5,00","0,00","4,00","7,00","138,00","16,00","7,00","6,00","42,00","0,00","17,00","45,00","2,00","2,00","1,00","0,00","0,00","27,00","24,00","66,00","13,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","218,00","31,00","4,00","29,00","2 395,25","20 131,54","35,00","-10 844,17","17 736,30","30 975,72","0,00","624,98","394,62","189,78","1,64","534,44","0,00","9,10","20,05","18,65","950,75","33,00","10,00","8,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bernartice nad Odrou","10 385,21","957,48","11 258,58","0,00","9,25","2 910,62","689,67","860,99","1,00",NA,"987,00","164,00","173,00","278,00","319,00","24,00","29,00","1,00","0,00","0,00","1,00","2,00","1,00","7,00","7,00","99,00","15,00","12,00","28,00","24,00","0,00","8,00","25,00","2,00","2,00","7,00","0,00","1,00","21,00","32,00","77,00","14,00","4,00","0,00","0,00","2,00","0,00","0,00","0,00","0,00","196,00",NA,"1,00","29,00","860,99","12 818,48","24,00","-477,35","11 957,50","13 295,83","0,00","191,29","513,85","47,44","0,00","129,59","0,00","18,85","41,28","15,19","684,72","9,00","9,00","6,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Beroun","280 698,59","3 125,11","283 669,68","40 120,86","35 976,76","60 645,09","24 960,94","47 902,61","54,00","781,00","19 307,00","3 573,00","3 362,00","5 645,00","5 575,00","627,00","525,00","169,00","0,00","0,00","441,00","141,00","130,00","154,00","113,00","2 975,00","467,00","172,00","702,00","583,00","0,00","253,00","1 098,00","6,00","27,00","116,00","15,00","114,00","85,00","459,00","1 730,00","439,00","33,00","7,00","1,00","41,00","2,00","0,00","14,00","3,00","5 245,00","356,00","14,00","650,00","88 023,47","432 630,85","665,00","91 287,17","344 607,38","341 343,68","0,00","1 216,00","571,02","696,59","43,68","254,50","0,00","55,27","141,59","146,47","1 010,78","624,00","189,00","248,00","Středočeský kraj","BEROUN","Beroun"
"Beřovice","1 631,26","570,46","4 235,45","0,00","0,00","621,63","281,82","72,51","1,00",NA,"370,00","49,00","72,00","108,00","118,00","13,00","10,00","1,00","0,00","0,00","4,00","8,00","1,00","4,00","1,00","56,00","4,00","2,00","7,00","12,00","0,00","3,00","17,00","1,00","0,00","1,00","2,00","0,00","5,00","12,00","25,00","3,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","85,00",NA,NA,"19,00","72,51","4 589,77","38,00","2 336,89","4 517,26","2 252,88","0,00","18,37","355,40","65,64","2,43","101,30","0,00","4,70","12,07","10,54","471,20","14,00","3,00","3,00","Středočeský kraj","SLANÝ","Kladno"
"Běrunice","8 442,25","2 664,03","13 364,79","4 843,86","885,22","18 826,07","1 082,59","766,41","0,00",NA,"831,00","175,00","110,00","240,00","236,00","30,00","40,00","1,00","0,00","0,00","1,00","8,00","2,00","2,00","0,00","107,00","16,00","3,00","14,00","25,00","0,00","11,00","37,00","4,00","1,00","3,00","0,00","0,00","17,00","43,00","66,00","13,00","1,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","188,00",NA,NA,"39,00","5 610,27","20 942,87","26,00","-6 325,45","15 332,60","27 268,32","0,00","358,79","2 000,83","121,82","69,26","16,32","0,00","34,05","27,30","35,67","2 113,71","24,00","10,00","10,00","Středočeský kraj","PODĚBRADY","Nymburk"
"Besednice","10 352,24","1 611,96","11 738,40","335,73","132,03","4 634,48","4 171,39","507,20","1,00",NA,"838,00","153,00","144,00","233,00","241,00","35,00","32,00","2,00","0,00","0,00","5,00","3,00","0,00","2,00","4,00","112,00","16,00","11,00","20,00","23,00","0,00","10,00","30,00","2,00","1,00","4,00","0,00","1,00","22,00","25,00","54,00","11,00","3,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","181,00",NA,NA,"20,00","842,93","16 884,74","27,00","1 898,03","16 041,82","14 986,72","0,00","805,42","374,61","95,49","0,40","277,12","0,00","18,21","26,37","14,32","678,51","18,00","11,00","5,00","Jihočeský kraj","KAPLICE","Český Krumlov"
"Běšiny","10 337,05","1 603,49","9 690,34","194,53","35,10","1 540,39","962,60","1 878,61","0,00",NA,"807,00","154,00","143,00","216,00","233,00","29,00","32,00","0,00","0,00","0,00","1,00","1,00","0,00","9,00","1,00","113,00","17,00","7,00","7,00","28,00","0,00","15,00","31,00","4,00","8,00","3,00","0,00","0,00","39,00","12,00","55,00","12,00","2,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","183,00",NA,"1,00","14,00","2 073,14","12 761,18","13,00","883,74","10 688,04","11 877,44","0,00","511,86","447,50","134,41","0,80","420,53","0,00","19,70","45,71","22,97","914,54","10,00","10,00","11,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běštín","2 375,91","300,64","3 453,46","480,74","0,00","1 007,77","45,98","234,40","5,00",NA,"313,00","70,00","42,00","83,00","89,00","12,00","17,00","0,00","0,00","0,00","0,00","6,00","1,00","1,00","3,00","28,00","9,00","2,00","5,00","9,00","0,00","1,00","6,00","2,00","0,00","1,00","0,00","0,00","3,00","8,00","25,00","4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","57,00",NA,NA,"13,00","715,14","4 214,58","18,00","830,90","3 499,43","3 383,68","0,00","173,30","22,22","15,20","5,48","56,59","0,00","2,28","17,47","8,11","101,76","11,00","5,00","1,00","Středočeský kraj","HOŘOVICE","Beroun"
"Běstovice","2 767,31","419,01","5 614,28","0,00","85,95","56,70","240,64","330,86","0,00",NA,"442,00","60,00","83,00","122,00","136,00","17,00","24,00","0,00","0,00","0,00","2,00","3,00","2,00","1,00","5,00","51,00","5,00","4,00","7,00","15,00","0,00","6,00","21,00","2,00","2,00","1,00","0,00","0,00","8,00","15,00","38,00","9,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","99,00",NA,NA,"10,00","330,86","6 271,73","6,00","3 447,72","5 940,87","2 824,01","0,00","12,53","232,09","49,48","0,00","93,78","0,00","7,57","13,19","10,37","339,06","15,00","7,00","3,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Běstvina","3 696,54","1 407,56","6 527,58","100,00","7,95","778,47","660,06","400,50","1,00",NA,"521,00","131,00","80,00","124,00","148,00","17,00","21,00","2,00","0,00","0,00","0,00","4,00","0,00","0,00","2,00","50,00","6,00","2,00","8,00","23,00","0,00","2,00","17,00","3,00","2,00","1,00","0,00","0,00","13,00","14,00","43,00","5,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","99,00",NA,"1,00","12,00","500,50","7 696,09","6,00","3 221,08","7 195,59","4 475,02","0,00","380,91","725,17","81,78","8,05","111,87","0,00","43,66","35,95","20,17","881,03","13,00","5,00","9,00","Pardubický kraj","CHRUDIM","Chrudim"
