"obce","Běžné výdaje","Celková plocha území obce","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet lůžek v ubytovacích zařízeních","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnik. subjektů - Administrativní a podpůrné činnosti","Počet podnik. subjektů - Činn.domác. jako zaměstnavatelů,činn.dom.produk.výr.a služ","Počet podnik. subjektů - Činnosti exteritoriálních organizací a orgánů","Počet podnik. subjektů - Činnosti v oblasti nemovitostí","Počet podnik. subjektů - Doprava a skladování","Počet podnik. subjektů - Informační a komunikační činnosti","Počet podnik. subjektů - Kulturní, zábavní a rekreační činnosti","Počet podnik. subjektů - Nezařazeno","Počet podnik. subjektů - Nezjištěno","Počet podnik. subjektů - Ostatní činnosti","Počet podnik. subjektů - Peněžnictví a pojišťovnictví","Počet podnik. subjektů - Profesní, vědecké a technické činnosti","Počet podnik. subjektů - Stavebnictví","Počet podnik. subjektů - Těžba a dobývání","Počet podnik. subjektů - Ubytování, stravování a pohostinství","Počet podnik. subjektů - Velkoobchod a maloobchod; opravy a údržba motorových vozid","Počet podnik. subjektů - Veřejná správa a obrana; povinné sociální zabezpečení","Počet podnik. subjektů - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného","Počet podnik. subjektů - Vzdělávání","Počet podnik. subjektů - Zásobování vodou; činnosti související s odp. vodami, odpa","Počet podnik. subjektů - Zdravotní a sociální péče","Počet podnik. subjektů - Zemědělství, lesnictví, rybářství","Počet podnik. subjektů - Zpracovatelský průmysl","Počet podnik. subjektů bez zaměstnanců","Počet podnik. subjektů s 1-9 zaměstnanci","Počet podnik. subjektů s 10 - 19 zaměstnanci","Počet podnik. subjektů s 100 - 249 zaměstnanci","Počet podnik. subjektů s 1000 - 2499 zaměstnanci","Počet podnik. subjektů s 20 - 49 zaměstnanci","Počet podnik. subjektů s 250 - 499 zaměstnanci","Počet podnik. subjektů s 2500 a více  zaměstnanci","Počet podnik. subjektů s 50 - 99 zaměstnanci","Počet podnik. subjektů s 500 - 999 zaměstnanci","Počet podnikatelských subjektů celkem","Počet pokojů v ubytovacích zařízeních","Počet ubytovacích zařízení","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Výměra chmelnic","Výměra lesní půdy","Výměra orné půdy","Výměra ostatních ploch","Výměra ovocných sadů","Výměra trvalých travních porostů","Výměra vinic","Výměra vodních ploch","Výměra zahrad","Výměra zastavěných ploch","Výměra zemědělské půdy","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Abertamy","14 406,18","869,68","13 090,71","98,69","586,08","895,86","2 395,92","1 017,04","2,00","145,00","1 050,00","152,00","161,00","312,00","343,00","35,00","47,00","4,00","0,00","0,00","27,00","1,00","2,00","9,00","23,00","207,00","24,00","7,00","14,00","43,00","1,00","31,00","76,00","3,00","0,00","1,00","3,00","1,00","16,00","26,00","90,00","13,00","1,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","312,00","53,00","7,00","57,00","1 115,73","17 188,44","18,00","1 886,40","16 072,71","15 302,04","0,00","147,29","0,08","181,90","0,00","513,88","0,00","8,02","6,23","12,27","520,19","58,00","12,00","8,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","55 001,00","378,11","54 232,93","0,00","150,00","8 225,96","11 252,80","3 538,16","1,00",NA,"4 582,00","894,00","691,00","1 304,00","1 381,00","172,00","140,00","12,00","0,00","0,00","73,00","13,00","9,00","25,00","30,00","522,00","63,00","40,00","79,00","105,00","0,00","33,00","171,00","2,00","2,00","12,00","6,00","14,00","28,00","127,00","263,00","48,00","5,00","2,00","0,00","3,00","0,00","0,00","1,00","0,00","844,00",NA,"2,00","137,00","3 538,16","69 173,88","128,00","5 946,91","65 635,72","63 226,97","0,00","229,12","0,05","89,59","0,99","9,56","0,00","14,47","11,37","22,95","21,98","154,00","46,00","61,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","919,84","275,82","1 274,48","0,00","0,00","6,68","28,72","202,96","0,00",NA,"116,00","30,00","17,00","30,00","31,00","3,00","5,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","13,00","0,00","1,00","2,00","1,00","0,00","0,00","7,00","1,00","0,00","0,00","0,00","0,00","3,00","1,00","4,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","19,00",NA,NA,"3,00","202,96","1 506,16","3,00","579,64","1 303,20","926,52","0,00","235,82","14,80","11,62","0,93","2,68","0,00","0,84","5,45","3,68","23,86","2,00","1,00","3,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","8 192,00","103,09","8 405,88","610,00","25,00","2 620,66","551,82","730,67","18,00",NA,"880,00","92,00","190,00","263,00","284,00","27,00","24,00","5,00","0,00","0,00","3,00","5,00","2,00","2,00","7,00","105,00","19,00","10,00","32,00","34,00","0,00","14,00","52,00","3,00","3,00","2,00","0,00","3,00","2,00","19,00","96,00","14,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","217,00",NA,NA,"21,00","1 340,67","10 323,37","67,00","-489,28","8 982,70","10 812,65","0,00","12,42","38,23","12,63","0,36","19,34","0,00","1,00","12,92","6,20","70,84","30,00","4,00","26,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","25 000,24","1 965,47","10 514,35","3 603,06","1 058,39","17 560,59","16 416,46","388,66","1,00","212,00","521,00","92,00","68,00","154,00","164,00","28,00","15,00","1,00","0,00","0,00","4,00","1,00","0,00","5,00","1,00","55,00","7,00","6,00","5,00","16,00","0,00","25,00","10,00","2,00","0,00","1,00","0,00","0,00","17,00","10,00","42,00","11,00","2,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","111,00","72,00","8,00","21,00","3 991,72","31 980,92","18,00","-10 579,92","27 989,20","42 560,83","0,00","947,45","465,33","94,90","0,00","429,19","0,00","10,66","4,95","13,00","899,46","8,00","7,00","4,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","3 930,54","1 006,60","5 557,84","54,60","33,45","3 367,24","202,80","744,26","10,00",NA,"464,00","89,00","70,00","122,00","138,00","26,00","19,00","0,00","0,00","0,00","0,00","1,00","1,00","2,00","4,00","47,00","6,00","6,00","1,00","9,00","0,00","2,00","16,00","2,00","0,00","2,00","1,00","0,00","17,00","15,00","25,00","13,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","85,00",NA,NA,"23,00","798,86","6 592,95","14,00","-704,82","5 794,09","7 297,77","0,00","576,25","200,89","50,59","0,36","142,72","0,00","6,29","21,86","7,64","365,83","17,00","2,00","7,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","43 853,61","1 268,78","43 654,56","620,98","18,13","4 968,12","5 838,63","2 888,44","14,00",NA,"3 906,00","641,00","579,00","1 161,00","1 218,00","154,00","153,00","8,00","0,00","0,00","13,00","9,00","13,00","21,00","27,00","372,00","59,00","43,00","91,00","60,00","1,00","36,00","144,00","3,00","2,00","7,00","1,00","8,00","32,00","62,00","215,00","47,00","3,00","1,00","0,00","2,00","0,00","0,00","0,00","0,00","640,00",NA,NA,"187,00","3 509,43","53 020,75","110,00","4 199,02","49 511,32","48 821,73","0,00","322,39","495,60","161,12","0,98","133,92","0,00","37,60","74,56","42,61","705,06","154,00","38,00","40,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","7 989,10","522,77","10 837,50","0,00","28,80","5 650,66","2 532,68","267,48","2,00",NA,"980,00","210,00","131,00","277,00","299,00","34,00","29,00","2,00","0,00","0,00","3,00","4,00","6,00","6,00","3,00","150,00","25,00","13,00","19,00","29,00","0,00","15,00","63,00","3,00","0,00","5,00","0,00","1,00","13,00","30,00","77,00","11,00","1,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","240,00",NA,NA,"9,00","267,48","13 666,46","25,00","26,70","13 398,98","13 639,76","0,00","336,65","82,29","30,01","0,00","34,20","0,00","11,08","15,42","13,12","131,91","25,00","16,00","12,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","12 544,74","3 672,81","12 747,14","4 529,51","937,80","4 062,01","3 581,44","521,30","2,00","297,00","867,00","185,00","131,00","224,00","264,00","30,00","33,00","1,00","0,00","0,00","6,00","5,00","0,00","5,00","3,00","145,00","22,00","7,00","16,00","34,00","0,00","14,00","46,00","6,00","2,00","1,00","0,00","0,00","39,00","30,00","83,00","6,00","3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","237,00","94,00","5,00","21,00","5 050,81","22 317,18","36,00","5 710,44","17 266,37","16 606,75","0,00","1 349,25","1 546,62","148,11","4,05","297,75","0,00","242,95","46,89","37,19","1 895,32","22,00","7,00","9,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","13 747,45","2 453,99","9 146,39","0,00","3 956,27","1 349,15","2 452,98","696,21","2,00","652,00","341,00","65,00","53,00","99,00","96,00","12,00","16,00","4,00","0,00","0,00","8,00","3,00","4,00","1,00","1,00","73,00","6,00","5,00","9,00","17,00","0,00","33,00","14,00","2,00","0,00","2,00","1,00","0,00","7,00","4,00","40,00","7,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","121,00","217,00","21,00","13,00","696,21","16 251,85","8,00","1 155,25","15 555,64","15 096,60","0,00","2 200,92","0,09","63,96","0,00","159,31","0,00","9,43","9,30","10,97","168,70","8,00","0,00","3,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
"Albrechtičky","7 125,75","395,61","7 238,99","497,13","669,58","2 182,32","2 260,22","553,46","1,00",NA,"686,00","134,00","101,00","192,00","205,00","23,00","31,00","1,00","0,00","0,00","1,00","2,00","2,00","2,00","5,00","90,00","18,00","6,00","6,00","20,00","0,00","6,00","32,00","2,00","2,00","3,00","1,00","0,00","15,00","19,00","44,00","7,00","1,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","143,00",NA,"1,00","15,00","1 050,59","11 219,37","9,00","1 911,30","10 168,79","9 308,07","0,00","25,83","158,47","141,70","0,00","17,18","0,00","19,79","21,36","11,27","197,01","9,00","11,00","14,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Alojzov","3 027,14","463,92","2 870,48","62,25","5 971,54","1 538,72","460,11","88,00","0,00",NA,"254,00","52,00","44,00","70,00","66,00","8,00","14,00","1,00","0,00","0,00","1,00","5,00","1,00","0,00","1,00","34,00","5,00","4,00","8,00","10,00","0,00","4,00","16,00","2,00","1,00","0,00","0,00","0,00","3,00","5,00","23,00","9,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","67,00",NA,NA,"9,00","150,25","9 452,38","9,00","4 886,52","9 302,13","4 565,86","0,00","310,36","109,49","11,41","0,77","8,34","0,00","0,81","18,31","4,43","136,91","2,00","3,00","3,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Andělská Hora","7 593,62","1 590,07","6 619,95","159,77","7,50","332,57","1 524,21","2 169,68","2,00",NA,"359,00","56,00","52,00","102,00","115,00","20,00","14,00","1,00","0,00","0,00","1,00","2,00","1,00","4,00","4,00","55,00","5,00","2,00","7,00","21,00","0,00","8,00","13,00","3,00","1,00","1,00","0,00","0,00","11,00","12,00","29,00","11,00","1,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","97,00",NA,"1,00","32,00","2 329,46","10 481,11","6,00","2 554,92","8 151,66","7 926,19","0,00","1 164,53","5,75","50,40","0,00","347,39","0,00","4,04","9,61","8,36","362,75","22,00","4,00","2,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Andělská Hora","5 971,65","808,13","3 792,00","0,00","700,22","64,18","643,56","1 331,08","1,00",NA,"354,00","66,00","61,00","105,00","99,00","10,00","13,00","2,00","0,00","0,00","0,00","3,00","1,00","4,00","4,00","57,00","10,00","2,00","10,00","12,00","0,00","12,00","17,00","1,00","0,00","0,00","0,00","1,00","7,00","7,00","29,00","6,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","93,00",NA,NA,"10,00","1 331,08","6 466,87","29,00","431,03","5 135,78","6 035,83","0,00","260,88","188,65","96,30","0,00","238,08","0,00","11,18","5,42","7,62","432,15","9,00","4,00","5,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Anenská Studánka","2 355,91","790,44","2 506,09","0,00","47,25","153,81","179,43","109,90","0,00",NA,"180,00","31,00","26,00","66,00","38,00","15,00","4,00","0,00","0,00","0,00","0,00","2,00","0,00","0,00","1,00","16,00","3,00","1,00","1,00","0,00","0,00","1,00","5,00","1,00","1,00","0,00","0,00","2,00","8,00","2,00","10,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","28,00",NA,NA,"5,00","109,90","2 842,67","3,00","332,95","2 732,77","2 509,72","0,00","324,04","256,45","31,15","3,32","157,03","0,00","0,96","13,06","4,45","429,85","11,00","4,00","2,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Archlebov","9 060,13","1 333,16","11 208,67","250,00","85,00","1 027,20","1 022,17","1 024,64","2,00",NA,"887,00","176,00","106,00","260,00","273,00","33,00","39,00","1,00","0,00","0,00","1,00","6,00","1,00","2,00","9,00","107,00","18,00","6,00","11,00","42,00","0,00","9,00","27,00","2,00","2,00","2,00","1,00","1,00","19,00","30,00","68,00","12,00","0,00","0,00","0,00","3,00","0,00","0,00","0,00","0,00","190,00",NA,NA,"52,00","1 274,64","13 590,48","16,00","3 503,15","12 315,84","10 087,33","0,00","442,06","692,78","49,50","19,36","20,14","66,50","11,30","13,32","18,20","812,10","8,00","9,00","8,00","Jihomoravský kraj","KYJOV","Hodonín"
"Arneštovice","1 132,93","542,23","1 288,68","120,50","17,97","812,74","213,15","63,83","0,00",NA,"84,00","11,00","12,00","30,00","26,00","1,00","4,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","0,00","15,00","1,00","0,00","2,00","2,00","0,00","1,00","4,00","2,00","0,00","0,00","0,00","0,00","6,00","4,00","7,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","23,00",NA,"1,00","5,00","184,33","1 704,13","7,00","-241,54","1 519,80","1 945,67","0,00","131,15","304,46","28,20","0,00","64,56","0,00","5,51","4,90","3,45","373,92","4,00","2,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Arnolec","2 434,07","1 135,85","2 637,63","270,74","371,81","890,80","1 242,60","75,58","0,00",NA,"160,00","33,00","28,00","40,00","42,00","8,00","9,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","18,00","2,00","2,00","3,00","5,00","0,00","0,00","3,00","1,00","1,00","0,00","0,00","0,00","8,00","1,00","7,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","27,00",NA,NA,"7,00","346,31","4 598,35","3,00","1 273,49","4 252,04","3 324,86","0,00","583,10","385,24","31,44","0,00","112,40","0,00","13,07","3,48","7,11","501,12","0,00","2,00","1,00","Vysočina","JIHLAVA","Jihlava"
"Arnoltice","6 190,14","553,55","4 840,31","0,00","12,85","252,36","1 015,66","1 917,94","0,00",NA,"396,00","60,00","72,00","107,00","127,00","12,00","18,00","4,00","0,00","0,00","0,00","1,00","0,00","5,00","3,00","80,00","9,00","3,00","6,00","23,00","0,00","13,00","20,00","1,00","3,00","4,00","0,00","1,00","12,00","8,00","27,00","7,00","1,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","116,00",NA,"1,00","33,00","1 917,94","7 786,76","7,00","1 344,27","5 868,82","6 442,49","0,00","299,34","148,21","30,33","0,00","54,85","0,00","2,61","13,56","4,64","216,63","15,00","2,00","4,00","Ústecký kraj","DĚČÍN","Děčín"
"Aš","197 224,65","5 585,61","216 092,88","39 238,41","3 947,28","29 600,19","18 634,23","19 724,34","4,00",NA,"13 227,00","2 257,00","2 279,00","3 858,00","3 953,00","436,00","444,00","52,00","0,00","0,00","206,00","52,00","29,00","56,00","137,00","2 012,00","266,00","82,00","178,00","311,00","0,00","286,00","759,00","2,00","11,00","36,00","24,00","32,00","94,00","319,00","730,00","140,00","18,00","4,00","0,00","19,00","0,00","0,00","9,00","0,00","2 932,00",NA,"4,00","278,00","58 962,75","297 637,14","342,00","70 812,30","238 674,39","226 824,84","0,00","3 162,14","671,88","646,26","0,86","848,60","0,00","31,42","127,01","97,44","1 648,35","331,00","114,00","140,00","Karlovarský kraj","AŠ","Cheb"
"Babice","1 816,51","255,14","2 305,50","0,00","0,00","0,00","104,88","76,00","1,00",NA,"195,00","34,00","18,00","58,00","75,00","3,00","7,00","2,00","0,00","0,00","1,00","0,00","0,00","1,00","1,00","24,00","3,00","4,00","1,00","5,00","0,00","3,00","7,00","2,00","0,00","0,00","0,00","0,00","4,00","9,00","18,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","43,00",NA,NA,"5,00","76,00","2 486,38","9,00","669,87","2 410,38","1 816,51","0,00","0,00","188,27","17,85","0,68","19,48","0,00","11,15","9,98","7,73","218,41","7,00","1,00","2,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Babice","2 231,10","956,92","2 882,58","290,04","0,58","1 346,50","1 154,30","477,06","0,00",NA,"201,00","43,00","29,00","50,00","61,00","9,00","9,00","0,00","0,00","0,00","0,00","0,00","0,00","2,00","4,00","34,00","2,00","1,00","0,00","12,00","0,00","4,00","11,00","3,00","1,00","0,00","0,00","0,00","5,00","4,00","9,00","6,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","49,00",NA,"1,00","3,00","767,10","4 804,56","3,00","1 226,96","4 037,46","3 577,60","0,00","373,81","472,43","38,82","0,00","44,99","0,00","8,80","10,34","7,74","527,76","7,00","2,00","5,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Babice","1 202,68","579,72","1 570,00","0,00","1,60","485,71","194,03","287,00","0,00",NA,"111,00","11,00","25,00","34,00","33,00","4,00","4,00","0,00","0,00","0,00","0,00","0,00","0,00","2,00","0,00","22,00","3,00","4,00","3,00","5,00","0,00","3,00","2,00","2,00","0,00","0,00","0,00","0,00","5,00","5,00","11,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","34,00",NA,NA,"5,00","287,00","2 052,62","5,00","364,23","1 765,62","1 688,39","0,00","27,10","340,85","33,91","0,00","160,89","0,00","7,44","4,51","5,01","506,25","4,00","0,00","2,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Babice","10 081,04","556,71","12 960,23","0,00","331,00","5 667,63","627,53","356,21","15,00",NA,"1 079,00","104,00","283,00","334,00","316,00","20,00","22,00","9,00","0,00","0,00","15,00","7,00","11,00","11,00","14,00","179,00","27,00","10,00","39,00","43,00","0,00","15,00","91,00","2,00","3,00","6,00","0,00","3,00","5,00","27,00","135,00","22,00","1,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","338,00",NA,NA,"17,00","356,21","14 274,97","89,00","-1 473,70","13 918,76","15 748,67","0,00","287,14","181,80","20,84","0,14","19,83","0,00","4,48","29,74","12,75","231,51","55,00","0,00","11,00","Středočeský kraj","ŘÍČANY","Praha-východ"
"Babice","17 810,42","661,34","22 263,69","1 000,00","39,55","5 677,47","3 764,82","1 511,25","4,00",NA,"1 801,00","302,00","231,00","562,00","590,00","57,00","59,00","5,00","0,00","0,00","4,00","5,00","2,00","6,00","10,00","228,00","39,00","18,00","28,00","79,00","1,00","21,00","85,00","2,00","0,00","4,00","1,00","2,00","14,00","85,00","154,00","22,00","3,00","0,00","0,00","3,00","0,00","0,00","1,00","0,00","411,00",NA,NA,"53,00","2 511,25","28 579,30","50,00","5 091,41","26 068,06","23 487,89","0,00","1,72","434,26","69,41","6,78","34,37","1,29","46,60","38,04","28,86","514,75","32,00","19,00","17,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Babice","4 468,08","594,32","5 946,06","0,00","0,00","331,54","490,10","252,14","3,00",NA,"463,00","84,00","75,00","131,00","148,00","13,00","12,00","0,00","0,00","0,00","5,00","5,00","1,00","1,00","2,00","32,00","4,00","2,00","3,00","14,00","0,00","2,00","7,00","2,00","0,00","2,00","0,00","0,00","5,00","9,00","25,00","6,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","64,00",NA,NA,"16,00","252,14","6 688,29","26,00","1 888,67","6 436,16","4 799,62","0,00","80,22","402,24","60,85","0,00","16,70","0,00","13,85","7,73","12,73","426,68","16,00","7,00","5,00","Olomoucký kraj","ŠTERNBERK","Olomouc"
"Babice nad Svitavou","9 927,24","1 741,97","13 433,44","902,31","94,30","4 181,21","1 231,30","520,30","17,00",NA,"1 208,00","203,00","237,00","350,00","345,00","33,00","40,00","3,00","0,00","0,00","6,00","6,00","10,00","6,00","10,00","154,00","22,00","6,00","44,00","45,00","0,00","9,00","76,00","2,00","1,00","6,00","2,00","2,00","5,00","44,00","132,00","15,00","4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","305,00",NA,NA,"29,00","1 422,61","16 181,65","66,00","2 073,20","14 759,04","14 108,45","0,00","1 448,42","192,40","36,54","4,82","10,36","0,00","8,65","26,68","14,11","234,26","21,00","6,00","17,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Babice u Rosic","6 837,71","569,26","7 588,37","0,00","59,21","2 602,41","430,53","297,51","2,00",NA,"744,00","108,00","150,00","230,00","230,00","15,00","11,00","2,00","0,00","0,00","1,00","1,00","2,00","4,00","6,00","82,00","14,00","7,00","13,00","20,00","0,00","6,00","42,00","1,00","5,00","0,00","1,00","1,00","2,00","19,00","57,00","7,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","147,00",NA,NA,"22,00","297,51","8 375,62","31,00","-1 064,50","8 078,11","9 440,12","0,00","266,38","229,94","44,17","1,01","5,05","0,00","1,69","11,93","9,09","247,93","23,00","10,00","10,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Babylon","4 067,85","665,17","4 497,98","0,00","1 734,86","267,13","549,85","424,11","1,00",NA,"310,00","51,00","48,00","87,00","98,00","12,00","14,00","3,00","0,00","0,00","2,00","6,00","3,00","3,00","2,00","63,00","7,00","4,00","7,00","3,00","0,00","28,00","21,00","3,00","2,00","3,00","0,00","0,00","1,00","6,00","26,00","14,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","104,00",NA,"4,00","10,00","424,11","7 206,80","14,00","2 871,82","6 782,69","4 334,98","0,00","541,35","8,51","48,86","0,00","25,26","0,00","24,90","10,08","6,20","43,85","8,00","1,00","3,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bačalky","2 973,17","569,90","2 294,70","0,00","3,07","86,04","707,48","248,87","0,00",NA,"153,00","34,00","17,00","41,00","47,00","4,00","10,00","0,00","0,00","0,00","0,00","4,00","0,00","0,00","1,00","29,00","4,00","0,00","1,00","4,00","0,00","4,00","9,00","1,00","2,00","0,00","0,00","0,00","2,00","10,00","11,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","42,00",NA,NA,"2,00","248,87","3 254,12","10,00","194,91","3 005,25","3 059,21","0,00","98,56","358,72","22,67","4,26","51,52","0,00","4,63","17,95","11,59","432,45","10,00","3,00","2,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bačetín","4 276,20","813,18","4 912,60","249,00","0,00","1 565,59","600,11","343,05","0,00",NA,"403,00","70,00","70,00","105,00","125,00","14,00","19,00","2,00","0,00","0,00","1,00","4,00","0,00","3,00","2,00","51,00","11,00","1,00","7,00","11,00","0,00","5,00","12,00","2,00","1,00","2,00","0,00","0,00","15,00","11,00","30,00","8,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","90,00",NA,NA,"5,00","592,05","6 104,76","16,00","262,96","5 512,71","5 841,80","0,00","148,71","463,43","33,81","0,38","127,47","0,00","6,75","18,90","13,73","610,18","13,00","1,00","2,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bačice","1 956,67","532,53","2 626,66","241,87","54,04","1 074,67","300,09","488,33","0,00",NA,"202,00","52,00","32,00","51,00","55,00","6,00","6,00","0,00","0,00","0,00","0,00","0,00","0,00","3,00","3,00","25,00","3,00","1,00","3,00","2,00","0,00","4,00","5,00","2,00","0,00","0,00","1,00","0,00","4,00","12,00","16,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","43,00",NA,NA,"13,00","730,20","3 710,99","10,00","679,66","2 980,79","3 031,34","0,00","18,68","455,53","20,00","8,32","9,40","0,00","4,48","8,05","8,06","481,30","1,00","2,00","1,00","Vysočina","TŘEBÍČ","Třebíč"
"Bačkov","1 613,64","313,90","1 503,19","750,00","3,80","1 377,46","158,55","176,04","0,00",NA,"119,00","23,00","12,00","34,00","43,00","4,00","3,00","0,00","0,00","0,00","2,00","0,00","0,00","1,00","2,00","13,00","0,00","1,00","2,00","4,00","0,00","0,00","3,00","2,00","0,00","0,00","0,00","0,00","12,00","0,00","14,00","1,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","29,00",NA,NA,"7,00","926,04","2 591,57","1,00","-399,53","1 665,53","2 991,10","0,00","26,94","215,05","18,67","0,00","41,62","0,00","3,72","3,20","4,69","259,88","1,00","4,00","1,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bačkovice","2 659,14","639,28","1 772,06","0,00","5,75","257,48","129,49","248,44","0,00",NA,"103,00","21,00","12,00","28,00","37,00","1,00","4,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","0,00","10,00","0,00","1,00","0,00","3,00","0,00","0,00","5,00","2,00","1,00","0,00","0,00","0,00","13,00","0,00","13,00","3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","26,00",NA,NA,"4,00","248,44","2 155,75","1,00","-760,87","1 907,30","2 916,62","0,00","100,07","441,70","43,83","0,00","36,20","0,00","7,12","4,64","5,72","482,54","5,00","2,00","1,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bácovice","956,45","472,22","1 203,50","0,00","0,00","237,96","108,93","185,20","0,00",NA,"86,00","13,00","22,00","21,00","29,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","10,00","2,00","1,00","3,00","4,00","0,00","1,00","3,00","2,00","0,00","0,00","0,00","0,00","3,00","2,00","10,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","21,00",NA,NA,"3,00","185,20","1 497,63","2,00","303,22","1 312,43","1 194,41","0,00","134,95","250,95","17,33","0,69","58,77","0,00","2,09","4,10","3,34","314,51","1,00","0,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov"
