"obce","Počet obyvatel dle Sčítání lidu 1921","kraj","orp","okres"
"Abertamy","3 512,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","998,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","375,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","650,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","1 449,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","768,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","1 387,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","656,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","2 342,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","1 890,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
"Albrechtičky","876,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Alojzov","300,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Andělská Hora","1 435,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Andělská Hora","777,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Anenská Studánka","530,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Archlebov","1 327,00","Jihomoravský kraj","KYJOV","Hodonín"
"Arneštovice","265,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Arnolec","376,00","Vysočina","JIHLAVA","Jihlava"
"Arnoltice","686,00","Ústecký kraj","DĚČÍN","Děčín"
"Aš","24 618,00","Karlovarský kraj","AŠ","Cheb"
"Babice","356,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Babice","428,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Babice","276,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Babice","444,00","Středočeský kraj","ŘÍČANY","Praha-východ"
"Babice","1 345,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Babice","512,00","Olomoucký kraj","ŠTERNBERK","Olomouc"
"Babice nad Svitavou","942,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Babice u Rosic","968,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Babylon","201,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bačalky","646,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bačetín","532,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bačice","366,00","Vysočina","TŘEBÍČ","Třebíč"
"Bačkov","272,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
