"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Abertamy","18 764,23","11 660,78","338,40","6 195,76","3 330,32","3 203,41","1 255,23","1,00","1 449,00","122,00","250,00","562,00","452,00","33,00","30,00","505,00","89,00","1 593,63","22 653,58","146,00","559,03","21 059,95","22 094,55","161,00","12,00","29,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Adamov","50 216,22","40 713,79","230,00","18 010,88","8 398,09","12 087,70","3 427,49","3,00","4 720,00","758,00","649,00","1 548,00","1 464,00","161,00","140,00","838,00","182,00","3 657,49","74 469,85","137,00","15 855,54","70 812,37","58 614,31","240,00","46,00","54,00","Jihomoravský kraj","BLANSKO","Blansko"
"Adamov","1 073,22","958,35","0,00","0,00","36,94","24,20","150,96",NA,"119,00","27,00","19,00","33,00","30,00","2,00","8,00","21,00","5,00","150,96","1 133,51","3,00","23,35","982,55","1 110,16","1,00","2,00","1,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Adamov","4 933,17","4 820,20","1 496,89","2 324,12","4 379,26","392,41","137,26","3,00","540,00","62,00","64,00","186,00","190,00","20,00","18,00","128,00","11,00","1 634,15","9 170,88","17,00","-141,55","7 536,73","9 312,43","14,00","7,00","6,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Adršpach","12 934,13","6 041,88","3 201,08","188,76","17 730,88","14 001,32","140,53","2,00","556,00","51,00","56,00","205,00","204,00","19,00","21,00","105,00","21,00","3 341,61","23 573,57","29,00","-7 091,44","20 231,96","30 665,01","16,00","3,00","6,00","Královéhradecký kraj","BROUMOV","Náchod"
"Albrechtice","2 350,31","4 133,47","100,00","178,48","2 959,44","359,39","127,88","3,00","474,00","54,00","73,00","157,00","152,00","21,00","17,00","93,00","17,00","227,88","4 899,22","16,00","-410,53","4 671,34","5 309,75","17,00","9,00","4,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Albrechtice","34 996,66","31 197,83","189,35","9,16","3 073,83","7 070,90","4 944,99","7,00","3 990,00","526,00","586,00","1 378,00","1 292,00","111,00","97,00","539,00","195,00","5 134,34","43 412,23","74,00","5 341,74","38 277,89","38 070,49","60,00","30,00","37,00","Moravskoslezský kraj","HAVÍŘOV","Karviná"
"Albrechtice nad Orlicí","7 638,60","8 460,66","0,00","991,32","5 277,21","2 206,08","364,59",NA,"1 033,00","210,00","109,00","336,00","316,00","35,00","27,00","212,00","10,00","364,59","12 022,65","19,00","-893,16","11 658,06","12 915,81","32,00","17,00","4,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Albrechtice nad Vltavou","9 861,68","10 192,83","138,86","948,21","4 115,81","2 169,85","706,76","2,00","844,00","162,00","105,00","265,00","239,00","29,00","44,00","228,00","23,00","845,62","14 156,51","34,00","179,02","13 310,89","13 977,49","27,00","16,00","11,00","Jihočeský kraj","PÍSEK","Písek"
"Albrechtice v Jizerských horách","10 939,01","4 642,05","0,00","10 550,39","69,00","1 956,15","397,59","3,00","321,00","48,00","44,00","104,00","100,00","13,00","12,00","116,00","12,00","397,59","17 546,18","15,00","6 538,17","17 148,59","11 008,01","10,00","4,00","2,00","Liberecký kraj","TANVALD","Jablonec n.Nisou"
"Albrechtičky","5 103,90","5 036,98","250,00","55,11","1 060,89","1 208,62","410,61","5,00","690,00","112,00","91,00","228,00","218,00","24,00","17,00","123,00","21,00","660,61","6 961,32","34,00","796,53","6 300,71","6 164,79","35,00","8,00","8,00","Moravskoslezský kraj","BÍLOVEC","Nový Jičín"
"Alojzov","2 157,61","2 049,12","0,00","0,00","533,37","365,22","79,89","3,00","243,00","46,00","26,00","75,00","81,00","9,00","6,00","58,00","7,00","79,89","2 494,23","13,00","-196,75","2 414,34","2 690,98","1,00","2,00","4,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Andělská Hora","12 642,02","4 173,59","0,00","2 114,43","3 597,40","935,11","3 003,67",NA,"369,00","36,00","50,00","131,00","129,00","14,00","9,00","88,00","29,00","3 003,67","10 226,80","12,00","-6 012,62","7 223,13","16 239,42","10,00","4,00","6,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Andělská Hora","3 346,25","2 103,54","127,60","1 444,18","1 850,85","891,15","94,20","1,00","250,00","41,00","36,00","78,00","77,00","9,00","9,00","66,00","7,00","221,80","4 660,67","16,00","-536,43","4 438,87","5 197,10","8,00","2,00","3,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Anenská Studánka","2 264,93","1 930,53","0,00","1,93","0,00","636,20","30,63",NA,"192,00","21,00","27,00","42,00","86,00","10,00","6,00","16,00","5,00","30,63","2 599,29","6,00","334,36","2 568,66","2 264,93","2,00","5,00","2,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Archlebov","7 420,84","8 671,15","405,00","29,00","1 504,38","769,75","1 589,22","3,00","875,00","168,00","103,00","287,00","269,00","23,00","25,00","171,00","44,00","1 994,22","11 464,12","18,00","2 538,90","9 469,90","8 925,22","12,00","5,00","13,00","Jihomoravský kraj","KYJOV","Hodonín"
"Arneštovice","715,88","983,57","203,00","10,64","725,53","603,54","27,33",NA,"85,00","25,00","6,00","23,00","29,00","0,00","2,00","15,00","4,00","230,33","1 828,08","1,00","386,67","1 597,75","1 441,41","2,00","2,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Arnolec","1 695,24","1 885,33","116,00","26,40","565,42","755,43","28,61",NA,"182,00","21,00","33,00","57,00","62,00","2,00","7,00","29,00","6,00","144,61","2 811,77","7,00","551,11","2 667,16","2 260,66","6,00","4,00","5,00","Vysočina","JIHLAVA","Jihlava"
"Arnoltice","4 266,14","2 897,50","1 100,00","551,89","1 997,10","789,36","1 315,28",NA,"317,00","24,00","54,00","113,00","96,00","12,00","18,00","119,00","23,00","2 415,28","6 654,03","17,00","390,79","4 238,75","6 263,24","9,00","3,00","4,00","Ústecký kraj","DĚČÍN","Děčín"
"Aš","184 937,42","144 151,92","100,00","42 414,68","56 435,57","24 746,62","61 895,88","10,00","13 373,00","1 608,00","2 108,00","4 409,00","4 428,00","463,00","357,00","3 152,00","455,00","61 995,88","273 309,10","460,00","31 936,11","211 313,22","241 372,99","422,00","116,00","190,00","Karlovarský kraj","AŠ","Cheb"
"Babice","1 757,69","1 609,50","0,00","0,00","70,49","152,58","149,20","3,00","192,00","36,00","17,00","68,00","59,00","7,00","5,00","40,00","6,00","149,20","1 911,28","1,00","83,10","1 762,08","1 828,18","7,00","1,00","0,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Babice","2 858,18","2 091,24","150,00","0,00","327,01","1 047,96","245,63",NA,"195,00","32,00","22,00","70,00","58,00","6,00","7,00","36,00","6,00","395,63","3 534,83","4,00","349,64","3 139,20","3 185,19","9,00","3,00","2,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Babice","1 114,58","1 044,71","0,00","167,41","48,77","124,46","266,24",NA,"91,00","16,00","19,00","29,00","25,00","1,00","1,00","23,00","6,00","266,24","1 602,82","4,00","439,47","1 336,58","1 163,35","4,00","1,00","1,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Babice","4 751,64","3 394,08","134,00","2 072,00","927,98","879,21","18,07","5,00","524,00","47,00","105,00","179,00","158,00","15,00","20,00","174,00","2,00","152,07","6 497,36","102,00","817,74","6 345,29","5 679,62","13,00","2,00","7,00","Středočeský kraj","ŘÍČANY","Praha-východ"
"Babice","13 631,65","14 758,66","740,00","279,02","2 852,49","2 316,06","1 852,42","11,00","1 796,00","246,00","232,00","616,00","596,00","56,00","50,00","398,00","44,00","2 592,42","19 946,16","81,00","3 462,02","17 353,74","16 484,14","34,00","14,00","9,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Babice","3 342,65","3 708,70","105,00","565,00","1 408,29","430,39","341,65","3,00","424,00","56,00","62,00","151,00","130,00","14,00","11,00","77,00","15,00","446,65","5 150,74","11,00","399,80","4 704,09","4 750,94","6,00","4,00","5,00","Olomoucký kraj","ŠTERNBERK","Olomouc"
"Babice nad Svitavou","6 616,95","7 991,36","3 080,00","2 697,22","5 155,40","266,10","182,59","16,00","1 018,00","149,00","150,00","331,00","306,00","45,00","37,00","218,00","13,00","3 262,59","14 217,27","56,00","2 444,92","10 954,68","11 772,35","42,00","3,00","12,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Babice u Rosic","3 760,24","4 631,21","100,00","0,75","741,91","336,32","260,53","10,00","619,00","99,00","107,00","189,00","190,00","14,00","20,00","113,00","14,00","360,53","5 328,81","39,00","826,66","4 968,28","4 502,15","13,00","2,00","11,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Babylon","3 023,60","3 121,21","250,00","32,03","1 348,50","903,14","106,40","3,00","289,00","32,00","47,00","97,00","86,00","13,00","14,00","114,00","11,00","356,40","4 412,78","20,00","40,68","4 056,38","4 372,10","4,00","1,00","2,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bačalky","952,25","1 531,27","5 288,02","8,19","6 897,85","845,30","27,20",NA,"157,00","32,00","14,00","51,00","47,00","5,00","8,00","32,00","5,00","5 315,22","7 699,98","9,00","-150,12","2 384,76","7 850,10","7,00","2,00","1,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bačetín","2 971,66","3 304,22","235,00","0,00","1 208,98","354,35","299,15","1,00","404,00","63,00","58,00","133,00","125,00","13,00","12,00","104,00","8,00","534,15","4 192,72","10,00","12,08","3 658,57","4 180,64","7,00","0,00","5,00","Královéhradecký kraj","DOBRUŠKA","Rychnov nad Kněžnou"
"Bačice","1 444,48","1 831,88","116,00","38,38","996,28","222,04","198,05","1,00","192,00","38,00","23,00","55,00","56,00","11,00","9,00","36,00","7,00","314,05","2 406,35","8,00","-34,41","2 092,30","2 440,76","3,00","1,00","0,00","Vysočina","TŘEBÍČ","Třebíč"
"Bačkov","979,43","1 209,39","2 925,20","0,00","3 640,81","115,44","135,28",NA,"133,00","29,00","24,00","40,00","35,00","4,00","1,00","41,00","10,00","3 060,48","4 385,31","2,00","-234,93","1 324,83","4 620,24","3,00","1,00","5,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Bačkovice","1 147,92","1 358,90","0,00","0,00","2,00","65,10","135,94",NA,"118,00","27,00","10,00","40,00","35,00","2,00","4,00","21,00","3,00","135,94","1 559,94","4,00","410,02","1 424,00","1 149,92","1,00","2,00","1,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Bácovice","972,12","667,44","0,00","1,65","0,00","94,81","156,30","1,00","62,00","12,00","16,00","14,00","16,00","2,00","2,00","9,00","2,00","156,30","920,20","8,00","-51,92","763,90","972,12","0,00","1,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bakov nad Jizerou","39 905,06","42 428,99","3 425,00","4 279,58","24 464,33","7 213,36","2 755,14","41,00","4 947,00","709,00","729,00","1 679,00","1 520,00","160,00","150,00","991,00","76,00","6 180,14","60 102,06","226,00","-4 267,33","53 921,93","64 369,39","224,00","52,00","58,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Baliny","807,88","1 047,83","0,00","0,00","129,75","90,87","33,52",NA,"126,00","26,00","23,00","37,00","33,00","3,00","4,00","25,00","6,00","33,52","1 172,22","2,00","234,59","1 138,70","937,63","1,00","0,00","3,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Balkova Lhota","790,62","1 221,23","0,00","0,00","0,00","75,29","27,20",NA,"114,00","20,00","22,00","34,00","30,00","5,00","3,00","32,00","4,00","27,20","1 323,72","2,00","533,10","1 296,52","790,62","6,00","1,00","3,00","Jihočeský kraj","TÁBOR","Tábor"
"Banín","3 349,06","3 299,94","234,00","0,00","511,01","367,13","272,54",NA,"310,00","44,00","37,00","106,00","104,00","9,00","10,00","63,00","13,00","506,54","4 173,61","15,00","313,54","3 667,07","3 860,07","7,00","2,00","1,00","Pardubický kraj","SVITAVY","Svitavy"
"Bánov","16 501,67","17 468,43","300,00","2 101,11","2 486,48","3 180,89","1 794,49","3,00","2 148,00","308,00","327,00","701,00","660,00","74,00","78,00","516,00","63,00","2 094,49","24 844,92","62,00","5 856,77","22 750,43","18 988,15","31,00","17,00","26,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Báňovice","685,75","1 031,45","0,00","0,00","18,45","115,18","61,32",NA,"105,00","18,00","14,00","35,00","32,00","3,00","3,00","22,00","3,00","61,32","1 207,95","3,00","503,75","1 146,63","704,20","1,00","1,00","0,00","Jihočeský kraj","DAČICE","Jindřichův Hradec"
"Bantice","4 027,23","3 726,65","100,00","75,37","3 612,98","1 380,25","392,39","1,00","273,00","27,00","58,00","92,00","81,00","6,00","9,00","70,00","11,00","492,39","5 674,66","6,00","-1 965,55","5 182,27","7 640,21","7,00","1,00","4,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Barchov","1 390,01","2 308,93","640,00","230,47","1 332,62","154,19","37,20",NA,"255,00","40,00","26,00","91,00","88,00","4,00","6,00","45,00","8,00","677,20","3 370,79","36,00","648,16","2 693,59","2 722,63","13,00","2,00","4,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Barchov","1 747,81","1 657,11","0,00","105,12","0,00","45,99","147,20",NA,"173,00","20,00","24,00","66,00","49,00","10,00","4,00","43,00","5,00","147,20","1 955,42","8,00","207,61","1 808,22","1 747,81","5,00","2,00","1,00","Pardubický kraj","PARDUBICE","Pardubice"
"Barchovice","2 128,76","2 824,85","80,00","73,58","963,16","117,29","161,37",NA,"206,00","32,00","28,00","68,00","65,00","9,00","4,00","55,00","7,00","241,37","3 257,09","7,00","165,17","3 015,72","3 091,92","6,00","2,00","3,00","Středočeský kraj","KOLÍN","Kolín"
"Bařice-Velké Těšany","3 276,05","3 900,79","0,00","424,18","1 407,62","667,43","184,09",NA,"449,00","72,00","48,00","160,00","141,00","13,00","15,00","83,00","18,00","184,09","5 176,49","11,00","492,82","4 992,40","4 683,67","17,00","5,00","3,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bartošovice","16 914,77","15 292,32","3 647,00","892,09","5 582,56","3 470,97","1 609,38","2,00","1 611,00","188,00","252,00","531,00","519,00","53,00","68,00","343,00","88,00","5 256,38","24 911,76","30,00","2 414,43","19 655,38","22 497,33","29,00","18,00","14,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Bartošovice v Orlických horách","5 973,24","3 749,05","215,00","34,60","727,89","559,43","1 070,44",NA,"194,00","24,00","30,00","72,00","54,00","8,00","6,00","53,00","8,00","1 285,44","5 628,52","10,00","-1 072,61","4 343,08","6 701,13","13,00","3,00","3,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Bartoušov","1 447,27","1 465,84","0,00","61,70","13,95","148,31","135,72","2,00","171,00","22,00","29,00","57,00","43,00","11,00","9,00","20,00","9,00","135,72","1 811,57","13,00","350,35","1 675,85","1 461,22","3,00","0,00","3,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Baška","27 199,74","31 927,40","5 135,97","498,60","18 669,64","3 684,33","1 189,33","4,00","3 433,00","520,00","508,00","1 111,00","1 053,00","132,00","109,00","711,00","97,00","6 325,30","42 435,63","111,00","-3 433,75","36 110,33","45 869,38","87,00","37,00","28,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek"
"Bašnice","1 028,54","2 095,44","0,00","2,23","344,00","147,80","32,20",NA,"187,00","39,00","24,00","56,00","54,00","8,00","6,00","48,00","9,00","32,20","2 277,67","4,00","905,13","2 245,47","1 372,54","10,00","2,00","2,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bašť","6 982,02","7 344,26","200,00","1 385,97","26 446,85","1 030,02","611,86","71,00","1 097,00","90,00","209,00","362,00","377,00","25,00","34,00","267,00","12,00","811,86","10 572,11","249,00","-22 856,76","9 760,25","33 428,87","15,00","8,00","26,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Batelov","25 285,89","21 080,23","0,00","397,84","1 095,43","2 855,03","1 673,81","8,00","2 354,00","365,00","370,00","754,00","705,00","84,00","76,00","333,00","63,00","1 673,81","26 006,91","57,00","-374,41","24 333,10","26 381,32","32,00","29,00","27,00","Vysočina","JIHLAVA","Jihlava"
"Batňovice","6 309,19","5 356,21","5 882,00","570,91","8 368,34","1 264,30","863,78","2,00","733,00","122,00","105,00","245,00","205,00","31,00","25,00","174,00","19,00","6 745,78","13 937,20","22,00","-740,33","7 191,42","14 677,53","12,00","8,00","9,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bavorov","18 698,50","14 613,41","101,40","954,43","1 059,83","3 512,64","2 309,68",NA,"1 487,00","224,00","219,00","487,00","452,00","54,00","51,00","310,00","57,00","2 411,08","21 491,56","70,00","1 733,23","19 080,48","19 758,33","51,00","17,00","21,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bavory","3 663,03","3 424,35","0,00","191,38","289,62","474,38","274,41","2,00","399,00","40,00","59,00","135,00","136,00","15,00","14,00","101,00","7,00","274,41","4 364,52","13,00","411,87","4 090,11","3 952,65","15,00","1,00","1,00","Jihomoravský kraj","MIKULOV","Břeclav"
"Bavoryně","3 739,02","1 779,93","8 136,00","5 520,63","12 315,03","273,26","19,81","1,00","197,00","17,00","38,00","60,00","63,00","10,00","9,00","47,00","8,00","8 155,81","15 729,63","4,00","-324,42","7 573,82","16 054,05","5,00","1,00","3,00","Středočeský kraj","BEROUN","Beroun"
"Bdeněves","3 181,07","4 101,03","320,00","91,96","1 835,63","745,66","90,52","9,00","558,00","75,00","95,00","180,00","172,00","22,00","14,00","108,00","18,00","410,52","5 349,17","29,00","332,47","4 938,65","5 016,70","16,00","3,00","9,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Bdín","307,14","584,73","0,00","0,00","0,00","132,89","19,71",NA,"58,00","14,00","10,00","13,00","17,00","3,00","1,00","13,00","1,00","19,71","737,33","0,00","430,19","717,62","307,14","0,00","3,00","0,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Běchary","2 246,04","2 595,01","2 900,00","0,00","1 587,98","246,15","151,02",NA,"232,00","37,00","34,00","78,00","72,00","3,00","8,00","46,00","9,00","3 051,02","5 892,18","11,00","2 058,16","2 841,16","3 834,02","6,00","6,00","4,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bechlín","10 192,62","11 054,33","300,00","102,41","2 331,45","1 040,74","535,78","4,00","1 245,00","162,00","211,00","402,00","392,00","33,00","45,00","249,00","46,00","835,78","13 033,26","64,00","509,19","12 197,48","12 524,07","15,00","12,00","19,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Bechyně","80 756,59","55 219,86","11 743,00","15 375,05","34 600,01","31 346,87","10 164,37","16,00","5 541,00","925,00","750,00","1 828,00","1 726,00","162,00","150,00","1 403,00","214,00","21 907,37","123 849,15","127,00","8 492,55","101 941,78","115 356,60","148,00","54,00","59,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","365,89","763,00","0,00","51,72","264,91","86,94","27,20","1,00","76,00","20,00","5,00","28,00","16,00","5,00","2,00","25,00","0,00","27,20","928,86","3,00","298,06","901,66","630,80","3,00","1,00","0,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","1 504,69","1 127,02","0,00","41,14","286,88","445,23","151,44",NA,"109,00","28,00","12,00","38,00","26,00","3,00","2,00","22,00","3,00","151,44","1 764,83","0,00","-26,74","1 613,39","1 791,57","0,00","1,00","1,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice"
"Bečov","45 500,11","19 492,13","3 162,54","1 227,69","8 240,21","27 581,75","2 961,01","4,00","1 956,00","152,00","426,00","662,00","620,00","48,00","48,00","216,00","218,00","6 123,55","54 425,12","64,00","684,80","48 301,57","53 740,32","79,00","17,00","26,00","Ústecký kraj","MOST","Most"
"Bečov nad Teplou","10 819,35","8 747,27","105,00","32,60","95,21","953,17","1 866,61",NA,"986,00","142,00","140,00","337,00","285,00","42,00","40,00","244,00","34,00","1 971,61","11 704,65","33,00","790,09","9 733,04","10 914,56","39,00","7,00","10,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Bečváry","8 118,44","9 707,04","144,02","346,43","1 616,20","1 481,46","367,52","4,00","988,00","157,00","118,00","300,00","328,00","51,00","34,00","158,00","24,00","511,54","12 046,47","30,00","2 311,83","11 534,93","9 734,64","27,00","4,00","6,00","Středočeský kraj","KOLÍN","Kolín"
"Bedihošť","10 106,88","8 522,75","450,00","710,60","7 237,44","1 402,54","1 645,48","1,00","1 036,00","133,00","159,00","349,00","332,00","34,00","29,00","242,00","23,00","2 095,48","12 731,38","28,00","-4 612,94","10 635,89","17 344,32","27,00","10,00","14,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bednárec","805,04","1 140,40","0,00","0,00","638,85","81,05","40,70",NA,"104,00","27,00","15,00","34,00","24,00","3,00","1,00","22,00","1,00","40,70","1 262,15","6,00","-181,74","1 221,45","1 443,89","2,00","2,00","2,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bednáreček","1 580,66","1 861,40","553,25","35,25","850,33","480,17","156,20",NA,"204,00","33,00","37,00","55,00","68,00","1,00","10,00","44,00","3,00","709,45","3 086,27","0,00","655,28","2 376,82","2 430,99","1,00","4,00","5,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bedřichov","13 233,61","5 132,52","2 149,13","781,40","4 826,21","2 825,75","3 826,41","31,00","298,00","23,00","53,00","99,00","102,00","7,00","14,00","131,00","4,00","5 975,54","14 715,21","13,00","-3 344,61","8 739,67","18 059,82","9,00","2,00","1,00","Liberecký kraj","JABLONEC NAD NISOU","Jablonec n.Nisou"
"Bedřichov","4 950,62","2 063,15","0,00","1 423,18","733,75","339,59","200,03","1,00","248,00","36,00","46,00","76,00","80,00","4,00","6,00","46,00","11,00","200,03","4 025,95","7,00","-1 658,42","3 825,92","5 684,37","6,00","0,00","2,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Běhařov","2 088,81","2 000,29","0,00","711,35","328,97","217,46","477,89","1,00","187,00","22,00","25,00","72,00","57,00","6,00","5,00","32,00","7,00","477,89","3 406,99","14,00","989,21","2 929,10","2 417,78","4,00","2,00","4,00","Plzeňský kraj","KLATOVY","Klatovy"
"Běhařovice","3 860,62","4 047,63","50,00","8,72","942,15","809,83","768,04",NA,"402,00","76,00","55,00","126,00","100,00","22,00","23,00","85,00","22,00","818,04","5 684,22","9,00","881,45","4 866,18","4 802,77","15,00","8,00","3,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bělá","2 662,82","2 226,13","319,00","74,87","257,02","737,42","63,01",NA,"253,00","35,00","30,00","88,00","80,00","10,00","10,00","56,00","8,00","382,01","3 420,43","7,00","500,59","3 038,42","2 919,84","6,00","5,00","6,00","Liberecký kraj","SEMILY","Semily"
"Bělá","4 725,64","5 718,71","0,00","738,99","1 592,25","416,20","523,16","4,00","689,00","123,00","81,00","234,00","215,00","20,00","16,00","93,00","24,00","523,16","7 397,06","9,00","1 079,17","6 873,90","6 317,89","13,00","7,00","7,00","Moravskoslezský kraj","HLUČÍN","Opava"
"Bělá","675,07","540,27","116,00","0,00","249,61","206,94","17,35",NA,"48,00","14,00","10,00","13,00","11,00","0,00","0,00","5,00","2,00","133,35","880,56","0,00","-44,12","747,21","924,68","1,00","0,00","0,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bělá","1 688,72","1 561,11","112,50","11,47","326,24","270,29","137,02",NA,"208,00","43,00","21,00","73,00","49,00","11,00","11,00","28,00","5,00","249,52","2 092,39","2,00","77,43","1 842,87","2 014,96","1,00","1,00","0,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Bělá nad Radbuzou","29 835,19","20 959,14","4 668,82","1 036,37","8 465,81","14 002,48","999,93","6,00","1 870,00","199,00","282,00","661,00","610,00","56,00","62,00","312,00","67,00","5 668,75","41 666,74","59,00","3 365,74","35 997,99","38 301,00","58,00","11,00","22,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Bělá nad Svitavou","5 567,46","4 131,69","0,00","53,17","5 213,84","1 499,33","151,26","37,00","509,00","90,00","78,00","152,00","142,00","23,00","24,00","70,00","39,00","151,26","5 835,45","48,00","-4 945,85","5 684,19","10 781,30","8,00","7,00","5,00","Pardubický kraj","SVITAVY","Svitavy"
"Bělá pod Bezdězem","64 014,87","51 988,50","2 210,00","16 004,87","25 663,08","6 370,92","5 658,29","7,00","4 998,00","703,00","714,00","1 680,00","1 563,00","174,00","164,00","905,00","155,00","7 868,29","82 232,58","145,00","-7 445,37","74 364,29","89 677,95","154,00","55,00","49,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bělá pod Pradědem","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Olomoucký kraj","JESENÍK","Jeseník"
"Bělá u Jevíčka","3 000,97","3 091,33","0,00","0,00","41,26","355,96","318,40",NA,"353,00","81,00","34,00","115,00","96,00","16,00","11,00","53,00","12,00","318,40","3 765,69","9,00","723,46","3 447,29","3 042,23","7,00","6,00","2,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bělčice","7 113,83","9 449,97","0,00","957,24","4 597,09","1 661,85","535,39",NA,"1 018,00","174,00","152,00","313,00","284,00","42,00","53,00","209,00","44,00","535,39","12 604,45","37,00","893,53","12 069,06","11 710,92","19,00","12,00","10,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Běleč","1 305,33","1 916,12","0,00","59,80","0,00","88,15","147,20","1,00","182,00","24,00","29,00","61,00","52,00","6,00","10,00","43,00","2,00","147,20","2 211,27","5,00","905,94","2 064,07","1 305,33","1,00","3,00","3,00","Jihočeský kraj","TÁBOR","Tábor"
"Běleč","2 370,28","3 518,83","134,00","36,55","2 458,45","681,82","367,85","3,00","329,00","41,00","51,00","119,00","91,00","16,00","11,00","68,00","9,00","501,85","4 739,05","8,00","-89,68","4 237,20","4 828,73","10,00","2,00","8,00","Středočeský kraj","KLADNO","Kladno"
"Běleč","1","1","1","1","1","1","1",NA,"2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Jihomoravský kraj","TIŠNOV","Blansko"
"Běleč nad Orlicí","2 278,29","2 977,63","0,00","0,00","1 375,40","452,26","40,88","3,00","258,00","32,00","41,00","86,00","80,00","9,00","10,00","59,00","2,00","40,88","3 470,77","11,00","-182,92","3 429,89","3 653,69","8,00","3,00","3,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
