"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Hraběšice","1 596,52","1 287,89","0,00","822,49","285,78","284,93","27,20",NA,"122,00","13,00","22,00","35,00","44,00","2,00","6,00","20,00","7,00","27,20","2 422,51","5,00","540,21","2 395,31","1 882,30","4,00","3,00","0,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Hraběšín","1 333,47","1 373,42","0,00","199,03","865,25","538,92","295,35",NA,"120,00","34,00","13,00","36,00","27,00","4,00","6,00","22,00","9,00","295,35","2 406,72","1,00","208,00","2 111,37","2 198,72","4,00","0,00","0,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Hrabětice","5 402,64","8 311,16","0,00","82,19","2 670,45","136,14","611,26","2,00","895,00","132,00","145,00","302,00","261,00","28,00","27,00","175,00","55,00","611,26","9 140,75","33,00","1 067,66","8 529,49","8 073,09","21,00","9,00","14,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Hrabišín","7 281,52","7 265,37","0,00","8,19","378,83","973,43","751,26","2,00","865,00","104,00","122,00","310,00","279,00","22,00","28,00","177,00","39,00","751,26","8 998,25","22,00","1 337,90","8 246,99","7 660,35","22,00","6,00","9,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Hrabová","6 666,08","5 325,12","500,00","2 214,38","3 755,75","1 352,92","466,14","1,00","514,00","90,00","69,00","176,00","144,00","16,00","19,00","112,00","14,00","966,14","9 858,56","18,00","-563,27","8 892,42","10 421,83","18,00","3,00","3,00","Olomoucký kraj","ZÁBŘEH","Šumperk"
"Hrabůvka","4 301,40","2 620,50","0,00","67,20","254,38","1 965,60","617,40","2,00","312,00","54,00","52,00","87,00","93,00","12,00","14,00","53,00","7,00","617,40","5 270,70","5,00","714,92","4 653,30","4 555,78","10,00","7,00","5,00","Olomoucký kraj","HRANICE","Přerov"
"Hrabyně","11 539,88","9 547,49","0,00","708,48","2 019,54","3 744,00","443,66","1,00","1 151,00","190,00","136,00","358,00","351,00","50,00","66,00","239,00","31,00","443,66","14 443,63","43,00","884,21","13 999,97","13 559,42","36,00","22,00","14,00","Moravskoslezský kraj","OPAVA","Opava"
"Hracholusky","10 984,21","4 644,52","0,00","37,90","354,05","1 284,31","2 609,39",NA,"488,00","65,00","81,00","164,00","147,00","14,00","17,00","154,00","18,00","2 609,39","8 576,12","12,00","-2 762,14","5 966,73","11 338,26","2,00","7,00","6,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Hracholusky","1 065,18","980,18","0,00","0,00","0,00","81,41","153,50","1,00","75,00","15,00","11,00","19,00","21,00","6,00","3,00","21,00","0,00","153,50","1 215,09","1,00","149,91","1 061,59","1 065,18","4,00","0,00","0,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Hrachoviště","817,22","825,62","0,00","0,00","0,00","320,37","27,20",NA,"82,00","16,00","9,00","30,00","23,00","3,00","1,00","25,00","1,00","27,20","1 173,19","2,00","355,97","1 145,99","817,22","0,00","0,00","0,00","Jihočeský kraj","TŘEBOŇ","Jindřichův Hradec"
"Hradčany","2 678,86","2 062,59","0,00","0,00","33,12","136,20","407,17","1,00","234,00","40,00","24,00","77,00","72,00","11,00","10,00","58,00","13,00","407,17","2 605,96","18,00","-106,02","2 198,79","2 711,98","21,00","3,00","1,00","Středočeský kraj","PODĚBRADY","Nymburk"
"Hradčany","3 122,68","7 233,31","0,00","3 064,89","720,50","389,79","94,00","7,00","533,00","76,00","74,00","182,00","170,00","13,00","18,00","97,00","23,00","94,00","10 781,99","18,00","6 938,81","10 687,99","3 843,18","4,00","3,00","8,00","Jihomoravský kraj","TIŠNOV","Brno-venkov"
"Hradčany","6 868,49","16 401,97","0,00","0,42","8 162,29","806,67","120,57","2,00","272,00","41,00","49,00","82,00","80,00","9,00","11,00","44,00","6,00","120,57","17 329,63","5,00","2 298,85","17 209,06","15 030,78","3,00","2,00","3,00","Olomoucký kraj","PŘEROV","Přerov"
"Hradčany-Kobeřice","4 617,30","4 711,62","0,00","704,02","1 379,81","467,57","206,34",NA,"458,00","67,00","99,00","123,00","146,00","13,00","10,00","82,00","15,00","206,34","6 089,55","19,00","92,44","5 883,21","5 997,11","14,00","4,00","8,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Hradce","333,59","485,32","0,00","0,00","13,50","2,96","27,20","1,00","62,00","10,00","7,00","21,00","19,00","1,00","4,00","15,00","2,00","27,20","515,48","4,00","168,39","488,28","347,09","0,00","0,00","2,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Hradčovice","5 299,41","8 198,79","300,00","1 013,19","2 008,93","942,01","523,94","3,00","1 026,00","160,00","147,00","342,00","314,00","32,00","31,00","177,00","37,00","823,94","10 977,93","23,00","3 669,59","10 153,99","7 308,34","11,00","12,00","14,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Hradec","4 114,60","4 265,09","500,00","44,74","1 724,83","646,00","430,34","2,00","497,00","51,00","73,00","176,00","159,00","19,00","19,00","90,00","4,00","930,34","5 886,17","15,00","46,74","4 955,83","5 839,43","21,00","2,00","6,00","Plzeňský kraj","STOD","Plzeň-jih"
"Hradec","1 268,14","1 901,22","116,00","0,00","525,88","98,48","21,92","1,00","205,00","40,00","23,00","65,00","60,00","8,00","9,00","43,00","5,00","137,92","2 137,62","4,00","343,60","1 999,70","1 794,02","9,00","3,00","3,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod"
"Hradec Králové","1 676 781,32","1 275 070,80","60 768,35","146 543,92","565 317,76","253 351,43","431 107,65","590,00","94 497,00","17 297,00","11 938,00","28 769,00","29 405,00","3 943,00","3 145,00","26 216,00","1 800,00","491 876,00","2 166 842,15","2 344,00","-75 256,93","1 674 966,15","2 242 099,08","2 242,00","939,00","1 082,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Hradec nad Moravicí","50 574,29","48 896,39","643,60","1 223,87","13 600,76","10 272,33","3 098,21","39,00","5 387,00","758,00","853,00","1 744,00","1 702,00","180,00","150,00","1 110,00","156,00","3 741,81","64 134,40","105,00","-40,65","60 392,59","64 175,05","102,00","56,00","69,00","Moravskoslezský kraj","OPAVA","Opava"
